"region","site","latitude","longitude","date_yyyy.mm.dd","year","replicate","n_otter"
"west prince of wales island, alaska","Blanquizal Bay",55.637764,-133.435822,"2017-08-06",2017,1,1
"west prince of wales island, alaska","Blanquizal Bay",55.633087,-133.444138,"2017-08-06",2017,1,1
"west prince of wales island, alaska","Blanquizal Bay",55.62627,-133.447556,"2017-08-06",2017,1,1
"west prince of wales island, alaska","Blanquizal Bay",55.627949,-133.438065,"2017-08-06",2017,1,1
"west prince of wales island, alaska","Blanquizal Bay",55.614414,-133.398987,"2017-08-06",2017,1,1
"west prince of wales island, alaska","Blanquizal Bay",55.612476,-133.399628,"2017-08-06",2017,1,1
"west prince of wales island, alaska","Blanquizal Bay",55.613003,-133.393555,"2017-08-06",2017,1,1
"west prince of wales island, alaska","Blanquizal Bay",55.616554,-133.386642,"2017-08-06",2017,1,1
"west prince of wales island, alaska","Blanquizal Bay",55.615608,-133.380981,"2017-08-06",2017,1,2
"west prince of wales island, alaska","Blanquizal Bay",55.610676,-133.377457,"2017-08-06",2017,1,1
"west prince of wales island, alaska","Blanquizal Bay",55.617313,-133.419739,"2017-08-06",2017,1,1
"west prince of wales island, alaska","Blanquizal Bay",55.634641,-133.402951,"2017-08-18",2017,2,1
"west prince of wales island, alaska","Blanquizal Bay",55.632118,-133.400299,"2017-08-18",2017,2,2
"west prince of wales island, alaska","Blanquizal Bay",55.630951,-133.399261,"2017-08-18",2017,2,1
"west prince of wales island, alaska","Blanquizal Bay",55.62653,-133.398422,"2017-08-18",2017,2,1
"west prince of wales island, alaska","Blanquizal Bay",55.630482,-133.411957,"2017-08-18",2017,2,1
"west prince of wales island, alaska","Blanquizal Bay",55.63345,-133.407928,"2017-08-18",2017,2,1
"west prince of wales island, alaska","Blanquizal Bay",55.624031,-133.403564,"2017-08-18",2017,2,2
"west prince of wales island, alaska","Blanquizal Bay",55.629482,-133.396286,"2017-08-18",2017,2,2
"west prince of wales island, alaska","Blanquizal Bay",55.625046,-133.39502,"2017-08-18",2017,2,1
"west prince of wales island, alaska","Blanquizal Bay",55.625599,-133.402679,"2017-08-18",2017,2,1
"west prince of wales island, alaska","Blanquizal Bay",55.626617,-133.393112,"2017-08-18",2017,2,2
"west prince of wales island, alaska","Blanquizal Bay",55.622452,-133.410294,"2017-08-18",2017,2,1
"west prince of wales island, alaska","Blanquizal Bay",55.631229,-133.42305,"2017-08-18",2017,2,12
"west prince of wales island, alaska","Blanquizal Bay",55.632355,-133.437057,"2017-08-18",2017,2,1
"west prince of wales island, alaska","Blanquizal Bay",55.637291,-133.434525,"2017-08-18",2017,2,1
"west prince of wales island, alaska","Blanquizal Bay",55.638657,-133.434692,"2017-08-18",2017,2,1
"west prince of wales island, alaska","Chusini Cove 1",55.838356,-133.213821,"2017-06-24",2017,1,1
"west prince of wales island, alaska","Chusini Cove 1",55.834488,-133.201035,"2017-06-24",2017,1,1
"west prince of wales island, alaska","Chusini Cove 1",55.830719,-133.208679,"2017-06-24",2017,1,1
"west prince of wales island, alaska","Chusini Cove 1",55.832222,-133.203293,"2017-06-24",2017,1,1
"west prince of wales island, alaska","Chusini Cove 1",55.826572,-133.213333,"2017-06-24",2017,1,1
"west prince of wales island, alaska","Chusini Cove 1",55.804684,-133.229126,"2017-06-24",2017,1,1
"west prince of wales island, alaska","Chusini Cove 1",55.805607,-133.194901,"2017-06-24",2017,1,2
"west prince of wales island, alaska","Chusini Cove 1",55.808239,-133.191467,"2017-06-24",2017,1,1
"west prince of wales island, alaska","Chusini Cove 1",55.808186,-133.185974,"2017-06-24",2017,1,1
"west prince of wales island, alaska","Chusini Cove 1",55.81609,-133.196945,"2017-06-24",2017,1,1
"west prince of wales island, alaska","Chusini Cove 1",55.817642,-133.199142,"2017-06-24",2017,1,1
"west prince of wales island, alaska","Chusini Cove 1",55.815845,-133.191345,"2017-06-24",2017,1,19
"west prince of wales island, alaska","Chusini Cove 1",55.816597,-133.192734,"2017-06-24",2017,1,1
"west prince of wales island, alaska","Chusini Cove 1",55.812252,-133.182541,"2017-06-24",2017,1,1
"west prince of wales island, alaska","Chusini Cove 1",55.816872,-133.186264,"2017-06-24",2017,1,1
"west prince of wales island, alaska","Chusini Cove 1",55.814094,-133.177369,"2017-06-24",2017,1,1
"west prince of wales island, alaska","Chusini Cove 1",55.815479,-133.17598,"2017-06-24",2017,1,1
"west prince of wales island, alaska","Chusini Cove 1",55.81168,-133.172348,"2017-06-24",2017,1,1
"west prince of wales island, alaska","Chusini Cove 1",55.812042,-133.177826,"2017-06-24",2017,1,1
"west prince of wales island, alaska","Chusini Cove 1",55.813354,-133.172226,"2017-06-24",2017,1,1
"west prince of wales island, alaska","Chusini Cove 1",55.809444,-133.171265,"2017-06-24",2017,1,1
"west prince of wales island, alaska","Chusini Cove 1",55.819069,-133.182693,"2017-06-24",2017,1,1
"west prince of wales island, alaska","Chusini Cove 1",55.819378,-133.183563,"2017-06-24",2017,1,1
"west prince of wales island, alaska","Chusini Cove 1",55.822891,-133.189026,"2017-06-24",2017,1,1
"west prince of wales island, alaska","Chusini Cove 1",55.83247,-133.188873,"2017-06-24",2017,1,3
"west prince of wales island, alaska","Chusini Cove 1",55.832893,-133.181061,"2017-06-24",2017,1,8
"west prince of wales island, alaska","Chusini Cove 1",55.836807,-133.202042,"2017-06-24",2017,1,1
"west prince of wales island, alaska","Chusini Cove 1",55.835556,-133.169937,"2017-06-24",2017,1,1
"west prince of wales island, alaska","Chusini Cove 1",55.834114,-133.166443,"2017-06-24",2017,1,1
"west prince of wales island, alaska","Chusini Cove 1",55.816036,-133.213104,"2017-08-08",2017,2,1
"west prince of wales island, alaska","Chusini Cove 1",55.814785,-133.212738,"2017-08-08",2017,2,1
"west prince of wales island, alaska","Chusini Cove 1",55.818649,-133.202377,"2017-08-08",2017,2,1
"west prince of wales island, alaska","Chusini Cove 1",55.82814,-133.194733,"2017-08-08",2017,2,1
"west prince of wales island, alaska","Chusini Cove 1",55.83046,-133.187592,"2017-08-08",2017,2,1
"west prince of wales island, alaska","Chusini Cove 1",55.836605,-133.169388,"2017-08-08",2017,2,2
"west prince of wales island, alaska","Chusini Cove 1",55.831657,-133.175934,"2017-08-08",2017,2,1
"west prince of wales island, alaska","Chusini Cove 1",55.830627,-133.171097,"2017-08-08",2017,2,3
"west prince of wales island, alaska","Chusini Cove 1",55.827496,-133.174774,"2017-08-08",2017,2,2
"west prince of wales island, alaska","Chusini Cove 1",55.829765,-133.172852,"2017-08-08",2017,2,1
"west prince of wales island, alaska","Chusini Cove 1",55.822613,-133.180832,"2017-08-08",2017,2,1
"west prince of wales island, alaska","Chusini Cove 1",55.824234,-133.177826,"2017-08-08",2017,2,1
"west prince of wales island, alaska","Chusini Cove 1",55.820896,-133.18103,"2017-08-08",2017,2,1
"west prince of wales island, alaska","Chusini Cove 1",55.820911,-133.17691,"2017-08-08",2017,2,1
"west prince of wales island, alaska","Chusini Cove 1",55.819321,-133.178268,"2017-08-08",2017,2,1
"west prince of wales island, alaska","Chusini Cove 1",55.816048,-133.18071,"2017-08-08",2017,2,1
"west prince of wales island, alaska","Chusini Cove 1",55.817085,-133.175507,"2017-08-08",2017,2,1
"west prince of wales island, alaska","Chusini Cove 1",55.813923,-133.179306,"2017-08-08",2017,2,1
"west prince of wales island, alaska","Chusini Cove 1",55.812546,-133.181168,"2017-08-08",2017,2,11
"west prince of wales island, alaska","Chusini Cove 1",55.810814,-133.171906,"2017-08-08",2017,2,1
"west prince of wales island, alaska","Chusini Cove 1",55.810562,-133.175262,"2017-08-08",2017,2,1
"west prince of wales island, alaska","Chusini Cove 1",55.808769,-133.17308,"2017-08-08",2017,2,1
"west prince of wales island, alaska","Chusini Cove 1",55.810482,-133.17749,"2017-08-08",2017,2,2
"west prince of wales island, alaska","Chusini Cove 1",55.815712,-133.191757,"2017-08-08",2017,2,3
"west prince of wales island, alaska","Chusini Cove 1",55.811935,-133.191177,"2017-08-08",2017,2,1
"west prince of wales island, alaska","Chusini Cove 1",55.809216,-133.196243,"2017-08-08",2017,2,1
"west prince of wales island, alaska","Chusini Cove 1",55.814438,-133.19133,"2017-08-08",2017,2,1
"west prince of wales island, alaska","Chusini Cove 1",55.815292,-133.194839,"2017-08-08",2017,2,1
"west prince of wales island, alaska","Chusini Cove 1",55.808689,-133.189468,"2017-08-08",2017,2,3
"west prince of wales island, alaska","Chusini Cove 1",55.807007,-133.187851,"2017-08-08",2017,2,1
"west prince of wales island, alaska","Chusini Cove 1",55.806152,-133.192429,"2017-08-08",2017,2,1
"west prince of wales island, alaska","Chusini Cove 1",55.806229,-133.186981,"2017-08-08",2017,2,1
"west prince of wales island, alaska","Dunbar Inlet",55.079666,-132.832458,"2017-06-28",2017,1,1
"west prince of wales island, alaska","Dunbar Inlet",55.072689,-132.869583,"2017-07-24",2017,2,1
"west prince of wales island, alaska","Dunbar Inlet",55.081757,-132.89888,"2017-07-24",2017,2,1
"west prince of wales island, alaska","Farallon Bay",55.19112,-133.105314,"2017-07-25",2017,1,0
"west prince of wales island, alaska","Farallon Bay",55.19112,-133.105314,"2017-08-20",2017,2,0
"west prince of wales island, alaska","Garcia Cove",55.568992,-133.385819,"2017-07-26",2017,1,1
"west prince of wales island, alaska","Garcia Cove",55.564701,-133.396118,"2017-07-26",2017,1,3
"west prince of wales island, alaska","Garcia Cove",55.572803,-133.428833,"2017-07-26",2017,1,2
"west prince of wales island, alaska","Garcia Cove",55.56831,-133.431259,"2017-07-26",2017,1,1
"west prince of wales island, alaska","Garcia Cove",55.569275,-133.441177,"2017-07-26",2017,1,1
"west prince of wales island, alaska","Garcia Cove",55.567822,-133.443787,"2017-07-26",2017,1,1
"west prince of wales island, alaska","Garcia Cove",55.565426,-133.432602,"2017-07-26",2017,1,1
"west prince of wales island, alaska","Garcia Cove",55.567451,-133.452927,"2017-07-26",2017,1,6
"west prince of wales island, alaska","Garcia Cove",55.566513,-133.456131,"2017-07-26",2017,1,1
"west prince of wales island, alaska","Garcia Cove",55.562248,-133.456619,"2017-07-26",2017,1,1
"west prince of wales island, alaska","Garcia Cove",55.557133,-133.458572,"2017-07-26",2017,1,2
"west prince of wales island, alaska","Garcia Cove",55.558895,-133.45137,"2017-07-26",2017,1,1
"west prince of wales island, alaska","Garcia Cove",55.55022,-133.458191,"2017-07-26",2017,1,1
"west prince of wales island, alaska","Garcia Cove",55.548729,-133.456482,"2017-07-26",2017,1,1
"west prince of wales island, alaska","Garcia Cove",55.554329,-133.466125,"2017-07-26",2017,1,1
"west prince of wales island, alaska","Garcia Cove",55.547607,-133.459183,"2017-08-19",2017,2,1
"west prince of wales island, alaska","Garcia Cove",55.546917,-133.45842,"2017-08-19",2017,2,1
"west prince of wales island, alaska","Garcia Cove",55.5457,-133.457352,"2017-08-19",2017,2,9
"west prince of wales island, alaska","Garcia Cove",55.544029,-133.458084,"2017-08-19",2017,2,1
"west prince of wales island, alaska","Garcia Cove",55.542931,-133.460953,"2017-08-19",2017,2,1
"west prince of wales island, alaska","Garcia Cove",55.543438,-133.462982,"2017-08-19",2017,2,1
"west prince of wales island, alaska","Garcia Cove",55.563354,-133.449188,"2017-08-19",2017,2,1
"west prince of wales island, alaska","Garcia Cove",55.564201,-133.45285,"2017-08-19",2017,2,7
"west prince of wales island, alaska","Garcia Cove",55.576454,-133.465302,"2017-08-19",2017,2,1
"west prince of wales island, alaska","Garcia Cove",55.563843,-133.427475,"2017-08-19",2017,2,1
"west prince of wales island, alaska","Garcia Cove",55.574669,-133.424988,"2017-08-19",2017,2,1
"west prince of wales island, alaska","Garcia Cove",55.577259,-133.413406,"2017-08-19",2017,2,1
"west prince of wales island, alaska","Goat Mouth Inlet",55.19286,-132.9,"2017-06-27",2017,1,0
"west prince of wales island, alaska","Goat Mouth Inlet",55.19286,-132.9,"2017-07-22",2017,2,0
"west prince of wales island, alaska","Guktu Cove 1",55.766502,-133.318039,"2017-07-21",2017,1,16
"west prince of wales island, alaska","Guktu Cove 1",55.765156,-133.318375,"2017-07-21",2017,1,10
"west prince of wales island, alaska","Guktu Cove 1",55.765476,-133.328369,"2017-07-21",2017,1,1
"west prince of wales island, alaska","Guktu Cove 1",55.764671,-133.265076,"2017-08-18",2017,2,25
"west prince of wales island, alaska","Guktu Cove 1",55.759293,-133.261353,"2017-08-18",2017,2,1
"west prince of wales island, alaska","Guktu Cove 1",55.759048,-133.258179,"2017-08-18",2017,2,1
"west prince of wales island, alaska","Guktu Cove 1",55.75481,-133.260727,"2017-08-18",2017,2,1
"west prince of wales island, alaska","Guktu Cove 1",55.751282,-133.268631,"2017-08-18",2017,2,1
"west prince of wales island, alaska","Guktu Cove 1",55.752544,-133.262253,"2017-08-18",2017,2,1
"west prince of wales island, alaska","Guktu Cove 1",55.749714,-133.269119,"2017-08-18",2017,2,1
"west prince of wales island, alaska","Guktu Cove 1",55.750175,-133.264343,"2017-08-18",2017,2,1
"west prince of wales island, alaska","Guktu Cove 1",55.754292,-133.273926,"2017-08-18",2017,2,1
"west prince of wales island, alaska","Guktu Cove 1",55.746658,-133.281616,"2017-08-18",2017,2,1
"west prince of wales island, alaska","Guktu Cove 1",55.752186,-133.285675,"2017-08-18",2017,2,1
"west prince of wales island, alaska","Guktu Cove 1",55.745209,-133.284378,"2017-08-18",2017,2,1
"west prince of wales island, alaska","Guktu Cove 1",55.743504,-133.285858,"2017-08-18",2017,2,2
"west prince of wales island, alaska","Guktu Cove 1",55.755043,-133.287903,"2017-08-18",2017,2,6
"west prince of wales island, alaska","Guktu Cove 1",55.76012,-133.280289,"2017-08-18",2017,2,18
"west prince of wales island, alaska","Guktu Cove 1",55.759949,-133.283997,"2017-08-18",2017,2,2
"west prince of wales island, alaska","Guktu Cove 1",55.766926,-133.289566,"2017-08-18",2017,2,1
"west prince of wales island, alaska","Guktu Cove 1",55.764164,-133.295959,"2017-08-18",2017,2,1
"west prince of wales island, alaska","Guktu Cove 1",55.759823,-133.298492,"2017-08-18",2017,2,1
"west prince of wales island, alaska","Guktu Cove 1",55.756977,-133.293304,"2017-08-18",2017,2,1
"west prince of wales island, alaska","Guktu Cove 1",55.751614,-133.296783,"2017-08-18",2017,2,1
"west prince of wales island, alaska","Guktu Cove 1",55.755219,-133.303772,"2017-08-18",2017,2,1
"west prince of wales island, alaska","Guktu Cove 1",55.748077,-133.301758,"2017-08-18",2017,2,1
"west prince of wales island, alaska","Guktu Cove 1",55.754513,-133.305008,"2017-08-18",2017,2,1
"west prince of wales island, alaska","Guktu Cove 1",55.756649,-133.311096,"2017-08-18",2017,2,1
"west prince of wales island, alaska","Guktu Cove 1",55.759247,-133.305649,"2017-08-18",2017,2,1
"west prince of wales island, alaska","Guktu Cove 1",55.753021,-133.303375,"2017-08-18",2017,2,1
"west prince of wales island, alaska","Guktu Cove 1",55.750942,-133.305191,"2017-08-18",2017,2,1
"west prince of wales island, alaska","Guktu Cove 1",55.748508,-133.307907,"2017-08-18",2017,2,1
"west prince of wales island, alaska","Guktu Cove 1",55.749886,-133.3125,"2017-08-18",2017,2,1
"west prince of wales island, alaska","Guktu Cove 1",55.750347,-133.30777,"2017-08-18",2017,2,1
"west prince of wales island, alaska","Guktu Cove 1",55.746841,-133.307831,"2017-08-18",2017,2,1
"west prince of wales island, alaska","Guktu Cove 1",55.745411,-133.30928,"2017-08-18",2017,2,1
"west prince of wales island, alaska","Guktu Cove 1",55.747749,-133.303101,"2017-08-18",2017,2,1
"west prince of wales island, alaska","Guktu Cove 1",55.741943,-133.312759,"2017-08-18",2017,2,1
"west prince of wales island, alaska","Guktu Cove 1",55.763676,-133.318344,"2017-08-18",2017,2,1
"west prince of wales island, alaska","Guktu Cove 1",55.763279,-133.317429,"2017-08-18",2017,2,1
"west prince of wales island, alaska","Guktu Cove 1",55.765293,-133.315887,"2017-08-18",2017,2,15
"west prince of wales island, alaska","Guktu Cove 1",55.762077,-133.307022,"2017-08-18",2017,2,1
"west prince of wales island, alaska","Guktu Cove 1",55.767059,-133.31839,"2017-08-18",2017,2,5
"west prince of wales island, alaska","Guktu Cove 1",55.761868,-133.329453,"2017-08-18",2017,2,1
"west prince of wales island, alaska","Hetta Cove",55.155625,-132.589934,"2017-07-23",2017,1,0
"west prince of wales island, alaska","Hetta Cove",55.155625,-132.589934,"2017-08-11",2017,2,0
"west prince of wales island, alaska","Kaguk Cove",55.760426,-133.269135,"2017-06-25",2017,1,4
"west prince of wales island, alaska","Kaguk Cove",55.757675,-133.253143,"2017-06-25",2017,1,1
"west prince of wales island, alaska","Kaguk Cove",55.757675,-133.264801,"2017-06-25",2017,1,2
"west prince of wales island, alaska","Kaguk Cove",55.756676,-133.260513,"2017-06-25",2017,1,1
"west prince of wales island, alaska","Kaguk Cove",55.755161,-133.257965,"2017-06-25",2017,1,1
"west prince of wales island, alaska","Kaguk Cove",55.752285,-133.263245,"2017-06-25",2017,1,1
"west prince of wales island, alaska","Kaguk Cove",55.750641,-133.257874,"2017-06-25",2017,1,2
"west prince of wales island, alaska","Kaguk Cove",55.749557,-133.261475,"2017-06-25",2017,1,2
"west prince of wales island, alaska","Kaguk Cove",55.749454,-133.2715,"2017-06-25",2017,1,1
"west prince of wales island, alaska","Kaguk Cove",55.751717,-133.271133,"2017-06-25",2017,1,1
"west prince of wales island, alaska","Kaguk Cove",55.752438,-133.279831,"2017-06-25",2017,1,1
"west prince of wales island, alaska","Kaguk Cove",55.749382,-133.264328,"2017-06-25",2017,1,1
"west prince of wales island, alaska","Kaguk Cove",55.747978,-133.286118,"2017-06-25",2017,1,1
"west prince of wales island, alaska","Kaguk Cove",55.740875,-133.293808,"2017-06-25",2017,1,1
"west prince of wales island, alaska","Kaguk Cove",55.743412,-133.292587,"2017-06-25",2017,1,1
"west prince of wales island, alaska","Kaguk Cove",55.751457,-133.286469,"2017-06-25",2017,1,2
"west prince of wales island, alaska","Kaguk Cove",55.754612,-133.281219,"2017-06-25",2017,1,1
"west prince of wales island, alaska","Kaguk Cove",55.754566,-133.285217,"2017-06-25",2017,1,1
"west prince of wales island, alaska","Kaguk Cove",55.752182,-133.275589,"2017-06-25",2017,1,1
"west prince of wales island, alaska","Kaguk Cove",55.75948,-133.276764,"2017-06-25",2017,1,1
"west prince of wales island, alaska","Kaguk Cove",55.764259,-133.265167,"2017-06-25",2017,1,25
"west prince of wales island, alaska","Kaguk Cove",55.760597,-133.280304,"2017-06-25",2017,1,1
"west prince of wales island, alaska","Kaguk Cove",55.762501,-133.287262,"2017-06-25",2017,1,1
"west prince of wales island, alaska","Kaguk Cove",55.761089,-133.288788,"2017-06-25",2017,1,1
"west prince of wales island, alaska","Kaguk Cove",55.756905,-133.289474,"2017-06-25",2017,1,1
"west prince of wales island, alaska","Kaguk Cove",55.753536,-133.292175,"2017-06-25",2017,1,1
"west prince of wales island, alaska","Kaguk Cove",55.762825,-133.294571,"2017-06-25",2017,1,3
"west prince of wales island, alaska","Kaguk Cove",55.761433,-133.295059,"2017-06-25",2017,1,1
"west prince of wales island, alaska","Kaguk Cove",55.768036,-133.300003,"2017-06-25",2017,1,12
"west prince of wales island, alaska","Kaguk Cove",55.755276,-133.298492,"2017-06-25",2017,1,1
"west prince of wales island, alaska","Kaguk Cove",55.753643,-133.301453,"2017-06-25",2017,1,5
"west prince of wales island, alaska","Kaguk Cove",55.754459,-133.309357,"2017-06-25",2017,1,1
"west prince of wales island, alaska","Kaguk Cove",55.751457,-133.307571,"2017-06-25",2017,1,2
"west prince of wales island, alaska","Kaguk Cove",55.750187,-133.313324,"2017-06-25",2017,1,1
"west prince of wales island, alaska","Kaguk Cove",55.751938,-133.312866,"2017-06-25",2017,1,1
"west prince of wales island, alaska","Kaguk Cove",55.747978,-133.305939,"2017-06-25",2017,1,2
"west prince of wales island, alaska","Kaguk Cove",55.746971,-133.307648,"2017-06-25",2017,1,3
"west prince of wales island, alaska","Kaguk Cove",55.747959,-133.300583,"2017-06-25",2017,1,2
"west prince of wales island, alaska","Kaguk Cove",55.758522,-133.25975,"2017-07-21",2017,2,1
"west prince of wales island, alaska","Kaguk Cove",55.75713,-133.261032,"2017-07-21",2017,2,1
"west prince of wales island, alaska","Kaguk Cove",55.755348,-133.262329,"2017-07-21",2017,2,1
"west prince of wales island, alaska","Kaguk Cove",55.752464,-133.264252,"2017-07-21",2017,2,1
"west prince of wales island, alaska","Kaguk Cove",55.752899,-133.262894,"2017-07-21",2017,2,1
"west prince of wales island, alaska","Kaguk Cove",55.75103,-133.261063,"2017-07-21",2017,2,1
"west prince of wales island, alaska","Kaguk Cove",55.750156,-133.261398,"2017-07-21",2017,2,1
"west prince of wales island, alaska","Kaguk Cove",55.747997,-133.266022,"2017-07-21",2017,2,1
"west prince of wales island, alaska","Kaguk Cove",55.749001,-133.278717,"2017-07-21",2017,2,1
"west prince of wales island, alaska","Kaguk Cove",55.746925,-133.27301,"2017-07-21",2017,2,1
"west prince of wales island, alaska","Kaguk Cove",55.750114,-133.286118,"2017-07-21",2017,2,1
"west prince of wales island, alaska","Kaguk Cove",55.744926,-133.283813,"2017-07-21",2017,2,1
"west prince of wales island, alaska","Kaguk Cove",55.743008,-133.290237,"2017-07-21",2017,2,1
"west prince of wales island, alaska","Kaguk Cove",55.739601,-133.291702,"2017-07-21",2017,2,1
"west prince of wales island, alaska","Kaguk Cove",55.75832,-133.274307,"2017-07-21",2017,2,1
"west prince of wales island, alaska","Kaguk Cove",55.759945,-133.276672,"2017-07-21",2017,2,3
"west prince of wales island, alaska","Kaguk Cove",55.758621,-133.28688,"2017-07-21",2017,2,1
"west prince of wales island, alaska","Kaguk Cove",55.760052,-133.285828,"2017-07-21",2017,2,1
"west prince of wales island, alaska","Kaguk Cove",55.762386,-133.28894,"2017-07-21",2017,2,1
"west prince of wales island, alaska","Kaguk Cove",55.7626,-133.296799,"2017-07-21",2017,2,1
"west prince of wales island, alaska","Kaguk Cove",55.760483,-133.296341,"2017-07-21",2017,2,1
"west prince of wales island, alaska","Kaguk Cove",55.764252,-133.282669,"2017-07-21",2017,2,1
"west prince of wales island, alaska","Kaguk Cove",55.757587,-133.30011,"2017-07-21",2017,2,1
"west prince of wales island, alaska","Kaguk Cove",55.752853,-133.303757,"2017-07-21",2017,2,10
"west prince of wales island, alaska","Kaguk Cove",55.749382,-133.308884,"2017-07-21",2017,2,1
"west prince of wales island, alaska","Kaguk Cove",55.750584,-133.307556,"2017-07-21",2017,2,1
"west prince of wales island, alaska","Kaguk Cove",55.750519,-133.313934,"2017-07-21",2017,2,2
"west prince of wales island, alaska","Kaguk Cove",55.752209,-133.312943,"2017-07-21",2017,2,1
"west prince of wales island, alaska","Kaguk Cove",55.748436,-133.314651,"2017-07-21",2017,2,1
"west prince of wales island, alaska","Kaguk Cove",55.747025,-133.310104,"2017-07-21",2017,2,1
"west prince of wales island, alaska","Kaguk Cove",55.746101,-133.312531,"2017-07-21",2017,2,1
"west prince of wales island, alaska","Kaguk Cove",55.747623,-133.310287,"2017-07-21",2017,2,1
"west prince of wales island, alaska","Kaguk Cove",55.743683,-133.314011,"2017-07-21",2017,2,1
"west prince of wales island, alaska","Kaguk Cove",55.742737,-133.312454,"2017-07-21",2017,2,1
"west prince of wales island, alaska","Kaguk Cove",55.757397,-133.308548,"2017-07-21",2017,2,1
"west prince of wales island, alaska","Kaguk Cove",55.763309,-133.315231,"2017-07-21",2017,2,1
"west prince of wales island, alaska","Natzuhini Bay 1",55.25051,-132.883,"2017-06-28",2017,1,0
"west prince of wales island, alaska","Natzuhini Bay 1",55.25051,-132.883,"2017-07-25",2017,2,0
"west prince of wales island, alaska","N Fish Egg Island",55.472855,-133.159195,"2017-07-21",2017,1,1
"west prince of wales island, alaska","N Fish Egg Island",55.467472,-133.17366,"2017-06-21",2017,1,4
"west prince of wales island, alaska","N Fish Egg Island",55.478146,-133.211517,"2017-06-21",2017,1,1
"west prince of wales island, alaska","N Fish Egg Island",55.472572,-133.204391,"2017-06-21",2017,1,1
"west prince of wales island, alaska","N Fish Egg Island",55.476574,-133.193527,"2017-06-21",2017,1,1
"west prince of wales island, alaska","N Fish Egg Island",55.476768,-133.195023,"2017-06-21",2017,1,2
"west prince of wales island, alaska","N Fish Egg Island",55.487724,-133.18721,"2017-06-21",2017,1,1
"west prince of wales island, alaska","N Fish Egg Island",55.493855,-133.19487,"2017-06-21",2017,1,10
"west prince of wales island, alaska","N Fish Egg Island",55.485275,-133.186432,"2017-06-21",2017,1,1
"west prince of wales island, alaska","N Fish Egg Island",55.492455,-133.188492,"2017-06-21",2017,1,1
"west prince of wales island, alaska","N Fish Egg Island",55.494236,-133.216248,"2017-06-21",2017,1,1
"west prince of wales island, alaska","N Fish Egg Island",55.506054,-133.213745,"2017-06-21",2017,1,2
