"","site","date","YYYYMMDD","trans_type","trans_bin","trans_m","pit_bin","sed1_type","sed2_type","sed1_no","sed2_no","field_collector"
"83","2017_H_06","7/23/2013",20170724,"Outside",3,30,14,"Muddy Sand","Pebble",3,6,"Tiff Stephens, Wendel Raymond, Cathy Mattson"
"84","2017_H_06","7/23/2013",20170724,"Outside",4,40,22,"Muddy Sand","Pebble",3,6,"Tiff Stephens, Wendel Raymond, Cathy Mattson"
"85","2017_H_06","7/23/2013",20170724,"Outside",5,50,19,"Mud","Cobble",1,8,"Tiff Stephens, Wendel Raymond, Cathy Mattson"
"86","2017_H_06","7/23/2013",20170724,"Outside",6,60,12,"Mud","Gravel",1,7,"Tiff Stephens, Wendel Raymond, Cathy Mattson"
"87","2017_H_06","7/23/2013",20170724,"Outside",7,70,7,"Mud","Mud",1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson"
"88","2017_H_06","7/23/2013",20170724,"Outside",8,80,4,"Mud","Mud",1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson"
"89","2017_H_06","7/23/2013",20170724,"Outside",9,90,2,"Mud","Mud",1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson"
"90","2017_H_06","7/23/2013",20170724,"Outside",10,100,3,"Mud","Sandy mud",1,2,"Tiff Stephens, Wendel Raymond, Cathy Mattson"
"91","2017_L_01","7/8/2013",20170709,"Edge",1,10,0,"Sand","Gravel",4,7,"Wendel Raymond"
"92","2017_L_01","7/8/2013",20170709,"Edge",2,20,0,"Sand","Gravel",4,7,"Wendel Raymond"
"93","2017_L_01","7/8/2013",20170709,"Edge",3,30,0,"Sand","Gravel",4,7,"Wendel Raymond"
"94","2017_L_01","7/8/2013",20170709,"Edge",4,40,0,"Sand","Sand",4,4,"Wendel Raymond"
"95","2017_L_01","7/8/2013",20170709,"Edge",5,50,0,"Sand","Gravel",4,7,"Wendel Raymond"
"96","2017_L_01","7/8/2013",20170709,"Edge",6,60,0,"Sand","Sand",4,4,"Wendel Raymond"
"97","2017_L_01","7/8/2013",20170709,"Edge",7,70,0,"Sand","Sand",4,4,"Wendel Raymond"
"98","2017_L_01","7/8/2013",20170709,"Edge",8,80,0,"Sand","Sand",4,4,"Wendel Raymond"
"99","2017_L_01","7/8/2013",20170709,"Edge",9,90,0,"Muddy Sand","Muddy Sand",3,3,"Wendel Raymond"
"100","2017_L_01","7/8/2013",20170709,"Edge",10,100,0,"Muddy Sand","Muddy Sand",3,3,"Wendel Raymond"
