sample_serial,data_file,site_type,site,otter_region,latitude,longitude,date_YYYYMMDD,date,month,depth_m,time_24hr,temperature_c,salinity_ppt,DO_mg/L,DO_%,conductivity,light_umol_water,light_umol_air,nox_umol,nh4_umol,po4_umol,tot_N,N:P
envEGL02201705270,env,EG,EGL02,low,55.19286,-132.9,20170527,5/27/2017,5,0,11:00,11.3,30.6,9.88,109.1,47115,1647.3,2100,1.753,2.626,0.562,4.379,7.793
envEGL02201708141,env,EG,EGL02,low,55.19286,-132.9,20170814,8/14/2017,8,1,09:38,14.1,28,,,,,,0.888,8.696,0.831,9.584,9.247
envEGL02201708144,env,EG,EGL02,low,55.19286,-132.9,20170814,8/14/2017,8,4,09:33,13.7,32,,,,,,0.415,1.501,0.412,1.916,4.708
envEGL03201705261,env,EG,EGL03,low,55.22962,-132.925,20170526,5/26/2017,5,1,10:00,9.9,30,9.87,105,46422,1082.9,2181,,,,,
envEGL03201705260,env,EG,EGL03,low,55.22962,-132.925,20170526,5/26/2017,5,0,10:00,10.3,30,9.74,104.9,46392,1680.4,2181,2.793,2.361,0.683,5.154,7.563
envEGL03201708141,env,EG,EGL03,low,55.22962,-132.925,20170814,8/14/2017,8,1,07:21,13,30,,,,,,0.557,2.49,0.492,3.047,5.544
envEGL03201708144,env,EG,EGL03,low,55.22962,-132.925,20170814,8/14/2017,8,4,07:15,12.8,31,,,,,,0.744,1.436,0.537,2.18,4.082
envEGL04201706281,env,EG,EGL04,low,55.25051,-132.883,20170628,6/28/2017,6,1,12:30,12.5,29.8,9.43,106.7,45.992,524.4,1204.2,,,,,
envEGL04201706280,env,EG,EGL04,low,55.25051,-132.883,20170628,6/28/2017,6,0,12:30,12.7,29.8,9.57,104.1,45.971,631.5,1204.2,0.798,2.351,0.607,3.149,5.187
envEGL04201708141,env,EG,EGL04,low,55.25051,-132.883,20170814,8/14/2017,8,1,07:46,13.4,27,,,,,,0.349,2.196,0.338,2.545,7.508
envEGL04201708144,env,EG,EGL04,low,55.25051,-132.883,20170814,8/14/2017,8,4,07:41,12.7,31,,,,,,0.331,1.676,0.591,2.007,3.728
envEGL05201706271,env,EG,EGL05,low,55.0848,-132.826,20170627,6/27/2017,6,1,12:00,13.1,30.1,9.8,113,46324,900.8,2583,,,,,
envEGL05201706270,env,EG,EGL05,low,55.0848,-132.826,20170627,6/27/2017,6,0,12:00,13.6,30.1,9.97,115.3,46325,1976.2,2583,0.015,1.526,0.333,1.541,4.629
envEGL05201708141,env,EG,EGL05,low,55.0848,-132.826,20170814,8/14/2017,8,1,10:13,14,21,,,,,,0.254,1.611,0.303,1.865,5.726
envEGL05201708144,env,EG,EGL05,low,55.0848,-132.826,20170814,8/14/2017,8,4,10:08,13.7,31,,,,,,0.512,1.501,0.343,2.013,5.931
envEGL06201707231,env,EG,EGL06,low,55.19112,-133.105314,20170723,7/23/2017,7,1,09:40,12.4,28.7,6.52,72,44277,118.2,612.5,,,,,
envEGL06201707230,env,EG,EGL06,low,55.19112,-133.105314,20170723,7/23/2017,7,0,09:40,13.1,8.6,9.91,99.2,14912,401.3,612.5,1.803,0.991,0.295,2.794,10.274
envEGL06201708141,env,EG,EGL06,low,55.19112,-133.105314,20170814,8/14/2017,8,1,10:53,12.9,29,,,,,,2.433,3.111,0.556,5.544,9.897
envEGL06201708144,env,EG,EGL06,low,55.19112,-133.105314,20170814,8/14/2017,8,4,10:44,12.2,32,,,,,,2.238,2.621,0.72,4.859,6.854
envEGL07201707221,env,EG,EGL07,low,55.155625,-132.589934,20170722,7/22/2017,7,1,08:30,13.4,29.3,8.61,98.2,45200,39.8,235.6,,,,,
envEGL07201707220,env,EG,EGL07,low,55.155625,-132.589934,20170722,7/22/2017,7,0,08:30,12.8,3.8,10.9,104.4,65000,85.5,235.6,0.388,1.371,0.533,1.759,3.351
envEGL07201708141,env,EG,EGL07,low,55.155625,-132.589934,20170814,8/14/2017,8,1,08:35,13.4,19,,,,,,1.004,0.46,0.196,1.464,7.645
envEGL07201708144,env,EG,EGL07,low,55.155625,-132.589934,20170814,8/14/2017,8,4,08:32,13.6,31,,,,,,0.613,2.598,0.366,3.211,7.675
envEGM02201705241,env,EG,EGM02,moderate,55.49709,-133.17,20170524,5/24/2017,5,1,07:30,10,24.3,9.86,101.8,38426,328.9,1091.6,,,,,
envEGM02201705240,env,EG,EGM02,moderate,55.49709,-133.17,20170524,5/24/2017,5,0,07:30,10.1,24.1,9.88,102.3,38162,1020.9,1091.6,0.233,1.184,0.275,1.416,5.143
envEGM02201708141,env,EG,EGM02,moderate,55.49709,-133.17,20170814,8/14/2017,8,1,14:23,14,31,,,,,,0.082,1.154,0.297,1.236,4.458
envEGM02201708144,env,EG,EGM02,moderate,55.49709,-133.17,20170814,8/14/2017,8,4,14:19,13.8,32,,,,,,0.169,1.646,0.363,1.815,5.008
envEGM03201705251,env,EG,EGM03,moderate,55.48442,-133.175,20170525,5/25/2017,5,1,09:20,10.7,30.3,10.44,113.8,46819,290.7,874,,,,,
envEGM03201705250,env,EG,EGM03,moderate,55.48442,-133.175,20170525,5/25/2017,5,0,09:20,10.7,30.3,10.35,113.2,46814,609.6,874,0.51,1.731,0.462,2.241,4.852
envEGM03201708141,env,EG,EGM03,moderate,55.48442,-133.175,20170814,8/14/2017,8,1,13:31,14.7,31,,,,,,0,1.176,0.315,1.176,3.734
envEGM03201708144,env,EG,EGM03,moderate,55.48442,-133.175,20170814,8/14/2017,8,4,13:27,14.7,31,,,,,,0,0.901,0.203,0.901,4.44
