"ID","Batch","Species_common","Species_scientific","sp_code","sp_group","a.C17.0","a.C18.0","C14.0","C15.0","C16.0","C16.1w7","C16.2w3","C16.2w6","C16.3w3","C16.4w3","C17.0","C17.1w","C17.1w9","C18.0","C18.1w7","C18.1w9","C18.2w3","C18.2w6","C18.3w3","C18.3w6","C18.4w3","C20.0","C20.1w7","C20.1w9","C20.2w3","C20.2w6","C20.3w3","C20.3w6","C20.4w3","C20.4w6","C20.5w3","C22.0","C22.1w9","C22.2w6","C22.3w3","C22.4w3","C22.4w6","C22.5w3","C22.6w3","i.C15.0","i.C16.0","i.C17.0"
"B_055","5","Graceful crab","Metacarcinus gracilis","CRBDUN","SC",0.9795,0.2956,0.998,2.2652,27.1185,6.8946,0,0.0855,0,0.0031,3.2882,0.103,1.7172,11.2995,5.0842,5.857,0,2.4569,0.6614,0.1329,0.3397,0.4197,1.8141,1.3693,0,1.15,0.1866,0.2505,0.6059,7.5427,58.1185,0.2328,0.3893,0,0.1363,1.5948,1.042,9.5458,29.3547,0.1349,0.5065,1.9546
"B_056","5","Limpet","Lottia_sp","LIMPET","PC",0.6654,3e-04,26.136,2.1723,99.2741,39.1299,0,2.6403,0,2e-04,1.2623,0.0292,0.4278,32.6254,44.6739,17.2993,0,13.0013,4.3082,3.505,9.3002,2.2647,26.4787,30.0508,0,10.1427,4.7611,3.8002,9.2307,35.7348,143.0949,0.9835,0.3742,16.1232,0.3013,2.5421,2.1149,34.1399,12.5436,2.3833,1.2634,0.9929
"B_057","5","Limpet","Lottia_sp","LIMPET","PC",0.7259,0,25.5721,2.282,96.6024,33.8317,0,2.2432,0,0,1.3372,0.0349,0.437,32.1317,44.5961,17.8145,0,12.4787,3.9641,2.9335,7.6676,2.0905,26.0386,31.0252,0,10.6001,4.8771,3.5193,8.3737,36.3473,144.3131,0.9599,0.1821,17.1655,0.3209,2.4391,2.3211,34.4444,12.9967,2.5136,1.2851,1.0546
"B_058","8","Limpet","Lottia_sp","LIMPET","PC",0.3684,1e-04,16.7736,1.1778,66.7337,25.3598,0,1.2105,0,0,0.7162,0,0.1753,21.7802,31.2108,11.3055,0,7.1492,2.2344,1.7929,0,1.2633,17.6245,39.9279,0,5.9216,2.8098,2.0378,4.6606,23.9537,99.9761,0.4892,0.1341,4.0437,0.1756,1.305,1.2121,23.1169,7.674,1.303,0.6379,0.5504
"B_060","1","Sugar kelp","Saccharina lattisima","SUGKLP","PP",0,0,12.8229,0.6313,21.0271,1.8379,0,0.6375,0,0,0.1556,0,0.1095,1.5001,0.547,15.1405,0,12.5332,3.6704,5.1073,6.7833,0.5939,0.0667,0.0453,0,0.0623,0.0329,0.9107,0.9048,12.4588,7.7448,0.073,0,0,1e-04,0,1e-04,0.0949,0.0406,0.0213,0,0
"B_061","1","Sugar kelp","Saccharina lattisima","SUGKLP","PP",0,0,12.3136,0.4036,20.8716,1.1398,0,0.4301,0,0,0.1326,0,0.0959,1.3169,0.1619,14.6555,0,10.6636,2.9988,3.8192,5.725,0.4522,0.0112,0.0455,0,0.0363,0.0413,0.7273,0.4818,11.174,6.4209,0.06,0,0,0,0,0,0.0231,0.0209,0.0088,0,1e-04
"B_062","8","Sugar kelp","Saccharina lattisima","SUGKLP","PP",0.003,0,16.2116,0.368,29.3249,2.7062,0,0.1784,0,0,0.1179,0,0.0562,1.592,0.1022,13.907,0,12.0996,3.3878,5.3434,0,0.5414,0,0,0,0.0335,0,0.9521,0.3272,23.0623,17.8372,0.0092,0.101,0,0,0.0018,0,0,0,0,0,0
"B_063","1","Eelgrass","Zostera marina","EELGRS","PP",1e-04,0,0.733,0.3155,36.2961,3.0873,0,1.1016,15.1641,0,0.2949,0,5e-04,6.3132,1.112,2.872,0,21.2735,76.9461,0.0276,1e-04,2.9939,0,0.1557,0,0.2037,0.3001,0.0185,0.0205,0.1646,0.3546,18.4015,2e-04,0,0,0,0,1e-04,0.1272,0.0079,0,0
"B_064","1","Eelgrass","Zostera marina","EELGRS","PP",0,0,0.6409,0.1523,31.9714,3.3357,0,0.83,13.2214,0,0.1957,0,0.0012,5.0248,0.823,2.2275,0,15.2561,71.272,0.0302,0,2.8946,0,0.1145,0,0.1925,0.2961,0.0102,0.0147,0.1261,0.245,17.7632,3e-04,4e-04,2e-04,0,0,1e-04,0.1171,0.0084,0,0
"B_066","1","Fucus","Fucus sp.","FUCUS","PP",0,0,44.9291,1.8505,79.1443,8.7188,0,2.4607,0,0,0.9014,0,1.1521,6.5147,0.3812,136.6997,0,63.7044,24.1295,3.2218,11.1243,2.9718,0,0.276,0,0.6373,0.3316,5.0567,1.9756,26.9684,10.0053,2.3741,0.0758,1e-04,0,0,0.0196,0.0243,0.028,0.0346,0,0
"B_067","1","Fucus","Fucus sp.","FUCUS","PP",0,0,48.1617,1.9805,83.2483,10.5003,0,2.9987,0,0,0.9486,0,1.234,6.6286,0.3704,144.7566,0,65.8826,23.5948,3.9427,9.7558,2.9416,0,0.2645,0,0.5402,0.2626,5.5665,1.8784,27.4306,8.9434,2.4072,0.2119,0.0065,1e-04,0,0.0096,0.0298,0.0651,0.0306,0,0
"B_069","1","Ulva","Ulva sp.","ULVA","PP",0.0111,0,2.7538,0.3492,45.9642,4.3544,0,2.0679,8.434,0,0.0665,0,1.3675,2.1703,20.1541,6.3334,0,14.0024,42.677,0.6841,20.8213,0.0955,10.9991,0.2248,0,1.1337,0.8986,0.0955,0.5977,0.5213,2.1496,2.2797,0.1829,0.0873,0.025,0,0.4025,17.0554,0.3012,0.0959,0,0
"B_070","1","Ulva","Ulva sp.","ULVA","PP",0.0079,0,2.6773,0.3836,59.0321,4.0538,0,4.77,13.5984,0,0.0779,0,1.9043,1.981,28.5642,10.9013,0,21.1661,50.6505,1.0437,24.7792,0.1013,16.0122,0.3648,0,1.7573,1.0273,0.1213,0.9358,0.5354,2.1971,2.4356,0.0152,0.1161,0.0271,0,0.5449,20.6894,0.2655,0.0932,0,0
"B_078","5","Idotea","Idotea_rascata","IDORES","PC",0.1733,0.0427,3.8938,0.5909,30.0287,6.5729,0,0.6832,0,0,0.559,0.0149,0.1206,13.7651,6.3271,9.7093,0,5.0074,4.2722,0.7867,3.5323,0.5658,1.0159,2.5249,0,2.4263,2.7165,0.7043,1.853,10.1359,52.3644,1.6351,1.757,0,0.0782,1.3549,0.1211,1.9539,10.1146,0.3256,0.1621,0.3051
"B_079","1","Idotea","Idotea_rascata","IDORES","PC",0.1018,0.0011,2.3074,0.387,20.7059,5.5143,0,0.5539,0,0,0.2262,0,0.0906,8.9584,7.0232,15.5842,0,3.9479,2.6032,0.5191,2.2764,0.4164,0.1269,0.9022,0,1.1012,0.8755,0.4342,1.1861,7.2287,18.0369,4.5046,0.1047,0.5717,0.0429,0,0.0755,1.2326,8.2667,0.1662,0.0923,0.146
"B_080","5","Butter clam","Saxidomus gigantea","CLMBUT","PC",1.1684,0.0973,1.6292,0.9724,33.114,3.2087,0,0,0,0,1.7451,0.0196,0.0406,15.8209,1.3792,2.3429,0,1.3201,0.2475,0.0663,0.6364,0.1252,7.8224,4.2583,0,1.1377,0.0496,0.4265,0.5443,7.1414,19.6352,0.057,0.17,13.1076,0.2863,2.4445,8.2687,19.0988,38.1004,0.0785,0.7348,2.8062
"B_081","5","Butter clam","Saxidomus gigantea","CLMBUT","PC",1.1933,0.1031,1.3965,0.8585,37.5843,2.9387,0,0,0,0.0044,1.7379,0.0197,0.0497,16.3523,2.2088,2.1868,0,1.9345,0.3156,0.0874,0.889,0.1231,9.6316,4.9759,0,1.7016,0.0884,0.6512,0.9412,7.5836,26.4172,0.0588,0.2279,14.7568,0.2955,2.8825,6.3378,18.3576,42.192,0.0843,0.789,3.1002
"B_086","5","Pointed Macoma","Macoma inquinata","CLMPOI","PC",1.0508,0.4512,1.9363,2.0673,21.0475,4.0484,0,0,0,0,2.037,0.1208,0.4647,14.8172,0.3991,4.9487,0,0.7584,0.2396,0.2393,0.9105,0.1755,6.4573,11.6591,0,0.4463,0.0304,0.5067,0.6117,9.4643,21.0277,0.0554,0.3008,0.3351,0.2438,1.7068,2.4763,9.893,14.3672,0.0957,0.7569,2.7294
"B_088","5","Limpet","Lottia_sp","LIMPET","PC",0.549,3e-04,27.3079,2.1204,95.4702,34.3212,0,2.6757,0,0,1.2936,0.0302,0.317,35.0956,39.377,21.004,0,14.29,7.452,3.3379,11.2702,2.839,27.4056,28.0505,0,10.0402,8.7821,4.5985,13.5478,35.8086,125.5144,1.4063,0.3549,14.2714,0.3809,2.719,2.2953,34.092,11.7625,2.3181,1.1311,0.9363
"B_089","8","Limpet","Lottia_sp","LIMPET","PC",0.3313,0,19.9555,1.1691,71.5684,23.6198,0,1.2808,0,0,0.7297,0,0.1551,23.8128,30.252,16.3283,0,9.4194,4.7784,1.7887,0,1.6333,21.393,36.5404,0,6.5942,6.4453,3.0353,9.3432,25.9188,110.3249,0.865,0.0408,4.1905,0.2351,1.5616,1.4207,23.4341,7.4246,1.3559,0.6575,0.5544
"B_090","5","Red rock crab","Cancer productus","CRBRR","SC",0.6721,0.2528,0.8826,0.9719,22.8566,7.7263,0,0.0811,0,0,0.871,0.0416,0.6581,8.7774,3.7168,8.5764,0,1.5755,0.3113,0.092,0.2486,0.5005,1.5238,1.5703,0,1.0555,0.1512,0.13,0.2086,9.5607,53.2771,0.5144,0.4247,0,0.0786,0.95,0.3269,3.0296,19.4008,0.0315,0.2882,1.5037
"B_091","5","Helmet crab","Telmessus cheiragonus","CRBHEL","SC",0.2025,0.0547,1.1066,1.0387,35.7084,3.0644,0,0.0554,0,0,1.1734,0.0152,0.148,15.2886,7.8336,9.1127,0,5.358,2.1781,0.4194,0.8591,0.7676,1.9244,1.5691,0,1.9523,0.9904,0.3916,1.3965,10.458,80.6555,0.5174,0.3363,0,0.0931,1.972,0.2318,8.3078,31.086,0.0487,0.1411,0.5582
"B_092","5","Helmet crab","Telmessus cheiragonus","CRBHEL","SC",0.2115,0.0781,0.7662,0.4854,29.4267,1.8193,0,0.0344,0,0,1.0317,0.0135,0.1259,11.9005,5.1279,9.4874,0,4.0842,1.3267,0.2991,0.497,0.8389,1.0896,1.2466,0,1.803,0.7871,0.2678,0.7804,9.7273,65.2626,0.4911,0.3234,0,0.0737,1.4391,0.1778,5.7277,28.8769,0.0462,0.1309,0.6037
"B_093","5","Helmet crab","Telmessus cheiragonus","CRBHEL","SC",0.2455,0.0695,1.118,0.687,32.0202,2.6432,0,0.0558,0,0,1.2362,0.0119,0.1589,11.6318,5.4307,8.3845,0,4.6849,2.338,0.3494,0.7243,0.4962,1.2646,1.2431,0,1.8076,0.9634,0.2884,1.0924,9.2076,70.5931,0.3206,0.197,0,0.062,1.5331,0.2229,8.5135,33.4623,0.045,0.1465,0.727
"B_094","5","Graceful crab","Metacarcinus gracilis","CRBDUN","SC",0.7696,0.1657,0.5644,1.056,25.9196,4.7393,0,0.0586,0,0,1.1877,0.0361,0.5403,7.5377,3.6693,8.8102,0,3.5103,0.897,0.0853,0.2109,0.3563,0.6282,0.992,0,1.408,0.2643,0.0687,0.1541,8.5598,56.1308,0.3404,0.1939,0,0.0628,0.8685,0.7039,4.5792,28.9512,0.0573,0.2888,1.3057
"B_095","5","Graceful crab","Metacarcinus gracilis","CRBDUN","SC",0.9038,0.2196,0.3652,0.9611,21.8289,3.4092,0,0.0346,0,1e-04,1.2945,0.0229,0.5568,9.7087,2.8688,8.0401,0,2.8103,0.7203,0.0557,0.1249,0.3375,0.6071,0.8524,0,1.5228,0.552,0.0881,0.1456,9.7292,51.1853,0.3,0.2091,0,0.0603,0.6507,0.6066,4.3999,27.7994,0.0358,0.2735,1.5634
"B_096","5","Helmet crab","Telmessus cheiragonus","CRBHEL","SC",0.186,0.0653,1.7332,0.5978,38.002,3.1285,0,0.1078,0,0,0.9051,0.0107,0.1035,14.897,7.0229,8.4524,0,5.6812,1.9913,0.4341,1.2198,0.5794,1.7223,1.2811,0,2.0397,0.8631,0.307,1.4971,8.6234,85.4072,0.4655,0.2927,0,0.0644,2.2785,0.2543,7.3664,36.5371,0.0533,0.1223,0.4536
"B_101","5","Ulva","Ulva sp.","ULVA","PP",0,0,1.9185,0.1727,52.602,4.3062,0,0.8316,3.9944,0,0.0977,2e-04,0.0826,4.4678,9.2034,1.8921,0,19.0948,38.2397,1.7832,27.0155,0.6891,0.3529,0.316,0,0.1392,0.216,0.4102,2.2195,1.109,5.79,3.5859,0.4966,0,0,0.0056,0.4118,12.3242,0.316,0.0476,0,0.0198
