"site","date_set","YYYYMMDD_set","time_set","date_pulled","YYYYMMDD_pulled","time_pulled","time_soak_hr","string","sp_code","mass_g"
"2017_H_07","8/6/2017",20170806,1216,"8/7/2017",20170806,1114,23.97,"1","CRABHEL",0
"2017_H_07","8/6/2017",20170806,1216,"8/7/2017",20170806,1114,23.97,"1","CRABDEC",0
"2017_H_07","8/6/2017",20170806,1216,"8/7/2017",20170806,1114,23.97,"1","CRABDUN",120.176407536337
"2017_H_07","8/6/2017",20170806,1216,"8/7/2017",20170806,1114,23.97,"1","CRABGRA",0
"2017_H_07","8/6/2017",20170806,1216,"8/7/2017",20170806,1114,23.97,"3","CRABRR",122.441806159484
"2017_H_07","8/6/2017",20170806,1216,"8/7/2017",20170806,1114,23.97,"2","CRABDEC",0
"2017_H_07","8/6/2017",20170806,1216,"8/7/2017",20170806,1114,23.97,"3","CRABGRA",0
"2017_H_07","8/6/2017",20170806,1216,"8/7/2017",20170806,1114,23.97,"3","CRABHEL",0
"2017_H_07","8/6/2017",20170806,1216,"8/7/2017",20170806,1114,23.97,"3","UNRKCB",0
"2017_H_07","8/6/2017",20170806,1216,"8/7/2017",20170806,1114,23.97,"1","CRABRR",0
"2017_L_01","5/26/2017",20170526,1015,"5/27/2017",20170526,934,23.32,"1","CRABDUN",0
"2017_L_01","5/26/2017",20170526,1015,"5/27/2017",20170526,934,23.32,"1","CRABGRA",0
"2017_L_01","5/26/2017",20170526,1015,"5/27/2017",20170526,934,23.32,"1","CRABHEL",0
"2017_L_01","5/26/2017",20170526,1015,"5/27/2017",20170526,934,23.32,"1","CRABRR",571.084671924037
"2017_L_01","5/26/2017",20170526,1015,"5/27/2017",20170526,934,23.32,"2","CRABGRA",0
"2017_L_01","5/26/2017",20170526,1015,"5/27/2017",20170526,934,23.32,"2","CRABHEL",0
"2017_L_01","5/26/2017",20170526,1015,"5/27/2017",20170526,934,23.32,"2","CRABRR",128.499077606054
"2017_L_01","5/26/2017",20170526,1015,"5/27/2017",20170526,934,23.32,"2","UNRKCB",0
"2017_L_01","5/26/2017",20170526,1015,"5/27/2017",20170526,934,23.32,"3","CRABDEC",5.57103197107383
"2017_L_01","5/26/2017",20170526,1015,"5/27/2017",20170526,934,23.32,"1","CRABDEC",0
"2017_L_01","5/26/2017",20170526,1015,"5/27/2017",20170526,934,23.32,"3","CRABGRA",0
"2017_L_01","5/26/2017",20170526,1015,"5/27/2017",20170526,934,23.32,"3","CRABHEL",0
"2017_L_01","5/26/2017",20170526,1015,"5/27/2017",20170526,934,23.32,"3","CRABRR",0
"2017_L_01","5/26/2017",20170526,1015,"5/27/2017",20170526,934,23.32,"3","UNRKCB",0
"2017_L_01","5/26/2017",20170526,1015,"5/27/2017",20170526,934,23.32,"1","UNRKCB",0
"2017_L_01","5/26/2017",20170526,1015,"5/27/2017",20170526,934,23.32,"2","CRABDEC",0
"2017_L_01","5/26/2017",20170526,1015,"5/27/2017",20170526,934,23.32,"2","CRABDUN",68.8013145616566
"2017_L_01","5/26/2017",20170526,1015,"5/27/2017",20170526,934,23.32,"3","CRABDUN",309.31487129515
"2017_L_02","5/26/2017",20170526,1120,"5/27/2017",20170526,1045,23.42,"1","CRABDEC",0
"2017_L_02","5/26/2017",20170526,1120,"5/27/2017",20170526,1045,23.42,"1","CRABHEL",59.2842256427419
"2017_L_02","5/26/2017",20170526,1120,"5/27/2017",20170526,1045,23.42,"1","CRABRR",3444.52965894509
