"ID","Batch","Species_common","Species_scientific","sp_code","sp_group","a.C17.0","C14.0","C15.0","C16.0","C16.1w7","C16.2w6","C16.3w3","C16.4w3","C17.0","C17.3w","C18.0","C18.1w7","C18.1w9","C18.2w6","C18.3w3","C18.3w6","C18.4w3","C20.0","C20.1w7","C20.1w9","C20.2w6","C20.3w6","C20.4w3","C20.4w6","C20.5w3","C22.0","C22.1w9","C22.2w","C22.4w6","C22.5w3","C22.6w3","i.C17.0"
"B_048","1","Butter clam","Saxidomus gigantea","CLMBUT","PC",0.0158010419459694,0.0108257193197041,0.00872838040692292,0.302019153097941,0.0102977204740407,0.00219972234752659,0,0,0.0186052425634208,0,0.13902499461601,0.00642511905540997,0.00853601664728456,0.00480177538576657,0.00171309288068813,0.000225817489162975,4.5221276294641e-05,0.00130459915402317,0.0293826590888545,0.00636718651746522,0.00419273261734006,0.000836401016577373,0.00279339604504887,0.0281711025182126,0.0766175725642594,0.000574009760939302,0.0520005195439307,0.00485242783749353,0.0204507444196309,0.0405786613123238,0.161957266202053,0.0406717038957051
"B_049","5","Butter clam","Saxidomus gigantea","CLMBUT","PC",0.00790039888794875,0.00667929140309172,0.00554037901070416,0.177555904750393,0.0155536752756625,0,0,0,0.0103812939011779,0,0.0786419006943605,0.00819855755671058,0.0118769222504264,0.00604053346226681,0.0015375317297232,0.000253031951327612,0.00373477309050862,0.000697315228924077,0.0404539532884752,0.0223796285104154,0.0054554978041017,0.00170890581140793,0.00295848610607465,0.0397937064345864,0.104673032757162,0.000241213049142458,0.000968612756356017,0.0797931692117598,0.0376002256335872,0.0844100621835422,0.226076796003062,0.0188952012571014
"B_050","1","Macoma sp.","Macoma sp.","CLMMAC","PC",0.0138621165344747,0.0219360184339882,0.0306309493413347,0.279852867721042,0.0201490823166713,0.00218279929736771,0,0,0.0314630851231789,0,0.193763563948587,0.00189584544741323,0.0283812521495989,0.00426370498105922,0.0011114662549012,0.00140156889096549,1.10483723151212e-07,0.00241735624161774,0.0266707983896334,0.0077113495619928,0.000747367145256376,0.00136635220421104,0.00236048474512565,0.0521032952101881,0.105252733173964,0.00069350633022016,0.00180914334567031,0,0.0104077876882905,0.0337797354511443,0.0845412610855225,0.0392443985028572
"B_051","5","Macoma sp.","Macoma sp.","CLMMAC","PC",0.00744154136229292,0.0104244241300996,0.01782338731122,0.16120340400508,0.0239192974760779,0,0,4.01680954458217e-06,0.0199402459412148,0,0.108579182161509,0.00231930583104174,0.0399415473875072,0.0051672237981505,0.00157057253193163,0.00182202480942247,0.00499209090200672,0.00136330515943119,0.0418583689021819,0.0975618769426295,0.00259887577534466,0.00276356496667253,0.00290576002455074,0.0728102965289142,0.141700186942316,0.00044827594517537,0.00334519898872803,0.00397985489677201,0.0165934402286689,0.07006279880042,0.114945825289672,0.0219141061514225
"B_055","5","Dungeness crab","Metacarcinus magister","CRBDUN","SC",0.00539953231615957,0.00550151429456585,0.0124870041884274,0.149491798995174,0.0380067539632402,0.000471322116418217,0,1.70888720572687e-05,0.0181263319673261,0,0.0622889386487443,0.0280268526817953,0.0322869431094912,0.0135437579862914,0.00364599354150887,0.000732616482713228,0.00187260962511425,0.00231361277497925,0.0100002976771262,0.00754832016387677,0.00633942027930934,0.00138089111301477,0.00334004760629003,0.041579430731084,0.320380519567861,0.00128331916610714,0.00214603157803055,0.000829637175683527,0.0057440660269916,0.0526215983497662,0.161818939541776,0.0107748094590766
"B_056","5","Limpet","Lottia_sp","LIMPET","PC",0.00107379855674632,0.0421773355562394,0.0035055795082958,0.160204967391478,0.0631464234229451,0.00426082105406868,0,3.22752797338839e-07,0.00203705428040408,0,0.0526496955714927,0.0720931309651777,0.0279169873350189,0.0209810297202072,0.00695241800747592,0.00565624277336315,0.0150083278290533,0.00365469130066634,0.0427303724744795,0.0484948988113499,0.0163679239878432,0.00613262590223527,0.0148961712319781,0.0576675333117197,0.230921396299607,0.00158713688091374,0.000603870483820967,0.0189278377999362,0.00341294945545955,0.0550937411293411,0.0202424099434973,0.00160230626238866
"B_057","5","Limpet","Lottia_sp","LIMPET","PC",0.00118865136784969,0.0418739656203183,0.00373674393364512,0.158185114888501,0.0553989481769946,0.00367320946185484,0,0,0.00218964679582395,0,0.0526152213202038,0.0730255066341942,0.0291710012295885,0.0204337013693152,0.00649115978412034,0.00480356631435055,0.0125555906159585,0.00342316529065956,0.0426378530195495,0.0508033426337102,0.0173575194439227,0.00576280583947295,0.0137118197533585,0.0595182089304905,0.236310736621613,0.00157182318225502,0.00029818627095389,0.0200506933035485,0.00380076965135131,0.0564022360859097,0.0212819193174433,0.00172689314304213
"B_058","8","Limpet","Lottia_sp","LIMPET","PC",0.00159069225676353,0.0796666375383304,0.00547207589437731,0.299581956794368,0.0422430274443509,0.00214140162365811,0,0,0.00309232082711121,0,0.0928079624304856,0.0617407348867308,0.0186517665379412,0.0126047389233593,0.00426106484307151,0.0028466993665534,0,0.00506107188038753,0.0296435402493682,0.0671568517396378,0.0098575410533703,0.00295990224732898,0.00786187489216373,0.0396166380831972,0.168646174385029,0.00163359700198333,0.000221322838729494,0,0.00180920166957697,0.0237038073211382,0.0127510558271668,0.0023763414438213
"B_060","1","Sugar kelp","Saccharina lattisima","SUGKLP","PP",0,0.2054359057879,0.0102856274198117,0.321697449493589,0.00672471491385193,0.00431889262023812,0,0,0.00246073150854815,0,0.0233609424630963,0.0019388610184874,0.0479972762367128,0.0866145943169096,0.0300991350933412,0.0311563205115436,8.00676188678845e-05,0.00884451011512599,0.000439639780907573,0.000298606294306537,0.000431486594447627,0.00560143876785585,0.00620350999003281,0.100855781745654,0.104161416319638,0.000319904414038642,0,3.9933974497698e-07,3.9933974497698e-07,0.000421436544199039,0.000250485855036811,4.6589636913981e-07
"B_061","1","Sugar kelp","Saccharina lattisima","SUGKLP","PP",0,0.215801021530718,0.00719257136874545,0.349302814094777,0.00456186111556443,0.00345844514561771,0,0,0.00229419950704306,0,0.022433188201243,0.000627663163664062,0.0508222962613816,0.0805818738217209,0.0269010927789686,0.0254863206415925,2.08954098099508e-05,0.00736643282737319,8.08149996133985e-05,0.000328138020952781,0.000275025820756408,0.00489363945181511,0.00361363178676722,0.0989492666730445,0.0944636701629711,0.000287621311687145,0,2.83944593236265e-06,0,0.000112303726940241,0.000141098620946636,1.27411035426529e-06
