region,site,latitude,longitude,date_yyyy.mm.dd,year,replicate,n_otter
"west prince of wales island, alaska",Dunbar Inlet,55.067772,-132.864655,7/24/2018,2018,1,1
"west prince of wales island, alaska",Dunbar Inlet,55.080021,-132.8517,7/24/2018,2018,1,1
"west prince of wales island, alaska",Dunbar Inlet,55.076439,-132.847565,7/24/2018,2018,1,1
"west prince of wales island, alaska",Dunbar Inlet,55.082912,-132.822647,7/24/2018,2018,1,1
"west prince of wales island, alaska",Dunbar Inlet,55.090267,-132.870193,8/10/2018,2018,2,2
"west prince of wales island, alaska",Dunbar Inlet,55.088593,-132.87674,8/10/2018,2018,2,1
"west prince of wales island, alaska",Dunbar Inlet,55.079983,-132.870895,8/10/2018,2018,2,1
"west prince of wales island, alaska",Dunbar Inlet,55.076935,-132.868332,8/10/2018,2018,2,2
"west prince of wales island, alaska",Dunbar Inlet,55.071541,-132.861374,8/10/2018,2018,2,2
"west prince of wales island, alaska",Dunbar Inlet,55.07053,-132.852188,8/10/2018,2018,2,1
"west prince of wales island, alaska",Dunbar Inlet,55.076431,-132.854492,8/10/2018,2018,2,1
"west prince of wales island, alaska",Dunbar Inlet,55.079681,-132.841644,8/10/2018,2018,2,4
"west prince of wales island, alaska",Dunbar Inlet,55.075226,-132.841202,8/10/2018,2018,2,1
"west prince of wales island, alaska",Dunbar Inlet,55.080471,-132.819992,8/10/2018,2018,2,7
"west prince of wales island, alaska",Dunbar Inlet,55.085915,-132.815109,8/10/2018,2018,2,2
"west prince of wales island, alaska",Dunbar Inlet,55.084122,-132.81897,8/10/2018,2018,2,2
"west prince of wales island, alaska",Dunbar Inlet,55.087788,-132.817032,8/10/2018,2018,2,1
"west prince of wales island, alaska",Dunbar Inlet,55.088291,-132.810989,8/10/2018,2018,2,1
"west prince of wales island, alaska",Garcia Cove,55.571144,-133.408615,5/23/2018,2018,1,1
"west prince of wales island, alaska",Garcia Cove,55.572372,-133.417526,5/23/2018,2018,1,1
"west prince of wales island, alaska",Garcia Cove,55.573215,-133.436829,5/23/2018,2018,1,1
"west prince of wales island, alaska",Garcia Cove,55.569866,-133.42598,5/23/2018,2018,1,1
"west prince of wales island, alaska",Garcia Cove,55.563629,-133.430984,5/23/2018,2018,1,1
"west prince of wales island, alaska",Garcia Cove,55.561798,-133.434387,5/23/2018,2018,1,1
"west prince of wales island, alaska",Garcia Cove,55.563274,-133.441254,5/23/2018,2018,1,1
"west prince of wales island, alaska",Garcia Cove,55.56382,-133.447556,5/23/2018,2018,1,1
"west prince of wales island, alaska",Garcia Cove,55.564392,-133.446381,5/23/2018,2018,1,1
"west prince of wales island, alaska",Garcia Cove,55.565678,-133.451477,5/23/2018,2018,1,23
"west prince of wales island, alaska",Garcia Cove,55.569313,-133.448288,5/23/2018,2018,1,1
"west prince of wales island, alaska",Garcia Cove,55.56546,-133.457382,5/23/2018,2018,1,2
"west prince of wales island, alaska",Garcia Cove,55.558716,-133.456207,5/23/2018,2018,1,1
"west prince of wales island, alaska",Garcia Cove,55.557762,-133.457825,5/23/2018,2018,1,2
"west prince of wales island, alaska",Garcia Cove,55.558914,-133.460007,5/23/2018,2018,1,1
"west prince of wales island, alaska",Garcia Cove,55.552109,-133.460037,5/23/2018,2018,1,1
"west prince of wales island, alaska",Garcia Cove,55.553585,-133.457657,5/23/2018,2018,1,1
"west prince of wales island, alaska",Garcia Cove,55.550152,-133.457825,5/23/2018,2018,1,2
"west prince of wales island, alaska",Garcia Cove,55.546383,-133.451538,5/23/2018,2018,1,2
"west prince of wales island, alaska",Garcia Cove,55.550697,-133.449249,5/23/2018,2018,1,1
"west prince of wales island, alaska",Garcia Cove,55.565861,-133.468246,5/23/2018,2018,1,1
"west prince of wales island, alaska",Garcia Cove,55.571682,-133.409592,7/25/2018,2018,2,1
"west prince of wales island, alaska",Garcia Cove,55.570847,-133.422546,7/25/2018,2018,2,2
"west prince of wales island, alaska",Garcia Cove,55.569324,-133.428253,7/25/2018,2018,2,2
"west prince of wales island, alaska",Garcia Cove,55.555939,-133.431931,7/25/2018,2018,2,1
"west prince of wales island, alaska",Garcia Cove,55.566093,-133.450928,7/25/2018,2018,2,3
