otter_region,site,latitude,longitude,core_letter,layer_number,layer_thickness,layer_volume,sample_volume,pan_number,pan_weight,pan_sed_ww_pre_60C,pan_sed_dw_post_60C,dry_bulk_density,pan_sed_dw_pre_450C,pan_sed_dw_post450C,crucible_weight,crucible_sed_dw_pre_950C,crucible_sed_dw_post_950C
High,H06,55.739816,-133.312022,A,16,1.1,21.5875,21.5875,16,1.28744,33.19788,21.16308,0.9207,21.16308,17.53705,,,
High,H06,55.739816,-133.312022,A,17,1,19.625,19.625,17,1.28202,19.68686,19.68686,0.93783,19.68686,17.50331,25.76036,44.20559,41.17408
High,H06,55.739816,-133.312022,A,18,1.3,25.5125,25.5125,18,1.29198,25.04663,25.04663,0.9311,25.04663,22.6117,,,
High,H06,55.739816,-133.312022,A,19,1,19.625,19.625,19,1.2913,17.49275,17.49275,0.82555,17.49275,15.32896,,,
High,H06,55.739816,-133.312022,A,20,1.3,25.5125,25.5125,20,1.28454,24.01746,24.01746,0.89105,24.01746,22.4167,,,
High,H06,55.739816,-133.312022,A,21,0.9,17.6625,17.6625,21,1.28227,18.57781,18.57781,0.97922,18.57781,15.99294,,,
High,H06,55.739816,-133.312022,A,22,1.2,23.55,23.55,22,1.28628,33.10723,33.10723,1.35121,33.10723,29.42333,25.90963,56.61356,52.81994
High,H01,55.67264,-133.378,A,1,1,19.625,19.625,1,1.2975,32.91782,21.4355,1.02614,21.4355,19.34504,,,
High,H01,55.67264,-133.378,A,2,1,19.625,19.625,2,1.29017,33.07367,22.18318,1.06461,22.18318,19.96383,26.91961,47.44278,45.17108
High,H01,55.67264,-133.378,A,3,0.9,17.6625,17.6625,3,1.29366,30.22783,20.37146,1.08013,20.37146,18.39091,,,
High,H01,55.67264,-133.378,A,4,1,19.625,19.625,4,1.28849,32.05987,21.15412,1.01226,21.15412,19.27152,,,
High,H01,55.67264,-133.378,A,5,0.9,17.6625,17.6625,5,1.2953,32.00376,22.68181,1.21084,22.68181,20.69939,,,
High,H01,55.67264,-133.378,A,6,1,19.625,19.625,6,1.30059,36.40771,26.79312,1.29898,26.79312,24.46749,,,
High,H01,55.67264,-133.378,A,7,0.9,17.6625,17.6625,7,1.29462,33.89468,25.23197,1.35526,25.23197,23.06074,26.73605,50.25197,47.98225
High,H01,55.67264,-133.378,A,8,0.9,17.6625,17.6625,8,1.29041,31.55688,23.43192,1.25359,23.43192,21.20235,,,
High,H01,55.67264,-133.378,A,9,0.9,17.6625,17.6625,9,1.2702,34.03141,24.78254,1.3312,24.78254,22.63592,,,
High,H01,55.67264,-133.378,A,10,0.9,17.6625,17.6625,10,1.27653,32.94226,23.98555,1.28572,23.98555,21.63157,,,
High,H01,55.67264,-133.378,A,11,0.9,17.6625,17.6625,11,1.28245,34.14386,25.66709,1.38059,25.66709,23.45582,,,
High,H01,55.67264,-133.378,A,12,0.9,17.6625,17.6625,12,1.28335,37.94031,29.94762,1.62289,29.94762,28.03093,27.12313,55.67862,53.27965
High,H01,55.67264,-133.378,A,13,0.8,15.7,15.7,13,1.28029,29.01294,21.68776,1.29984,21.68776,19.71014,,,
High,H01,55.67264,-133.378,A,14,0.9,17.6625,17.6625,14,1.29542,30.59581,22.18805,1.18288,22.18805,20.41719,,,
High,H01,55.67264,-133.378,A,15,0.9,17.6625,17.6625,15,1.29186,34.92765,25.98728,1.39818,25.98728,23.7796,,,
High,H01,55.67264,-133.378,A,16,0.9,17.6625,17.6625,16,1.29424,34.70211,27.2846,1.4715,27.2846,25.26674,,,
High,H01,55.67264,-133.378,A,17,1,19.625,19.625,17,1.27953,42.6356,34.927,1.71452,34.927,32.70384,24.96815,58.22798,53.75194
High,H01,55.67264,-133.378,A,18,0.7,13.7375,13.7375,18,1.29405,31.0239,26.36844,1.82525,26.36844,24.42393,,,
High,H01,55.67264,-133.378,A,19,1,19.625,19.625,19,1.28679,42.02636,36.05597,1.77168,36.05597,34.28464,,,
High,H01,55.67264,-133.378,A,20,1,19.625,19.625,20,1.28756,41.22818,35.66005,1.75146,35.66005,33.74538,,,
Low,L01,55.26366,-132.995,A,1,1.5,29.4375,29.4375,1,1.3127,55.38067,40.64282,1.33606,40.64282,38.25293,,,
Low,L01,55.26366,-132.995,A,2,1.3,25.5125,25.5125,2,1.29973,53.16598,40.05411,1.51903,40.05411,37.59172,26.92544,65.1572,62.46189
Low,L01,55.26366,-132.995,A,3,1.3,25.5125,25.5125,3,1.30294,51.56751,39.31645,1.49,39.31645,35.13885,,,
Low,L01,55.26366,-132.995,A,4,1.2,23.55,23.55,4,1.26919,49.45623,37.56088,1.54105,37.56088,35.23741,,,
Low,L01,55.26366,-132.995,A,5,1.4,27.475,27.475,5,1.32715,52.81782,39.64214,1.39454,39.64214,37.15544,,,
Low,L01,55.26366,-132.995,A,6,1.3,25.5125,25.5125,6,1.28462,49.24359,36.40923,1.37676,36.40923,33.68014,,,
Low,L01,55.26366,-132.995,A,7,1.2,23.55,23.55,7,1.29831,45.87103,33.28286,1.35815,33.28286,30.38641,26.70549,57.92757,54.80498
Low,L01,55.26366,-132.995,A,8,1.3,25.5125,25.5125,8,1.29578,51.54713,38.59706,1.46208,38.59706,36.04487,,,
Low,L01,55.26366,-132.995,A,9,1.2,23.55,23.55,9,1.28319,47.84339,36.05944,1.4767,36.05944,33.50217,,,
Low,L01,55.26366,-132.995,A,10,1.3,25.5125,25.5125,10,1.28174,51.17329,39.0877,1.48186,39.0877,36.40145,,,
Low,L01,55.26366,-132.995,A,11,1.3,25.5125,25.5125,11,1.29089,51.10914,39.32175,1.49068,39.32175,37.25215,,,
Low,L01,55.26366,-132.995,A,12,1.4,27.475,27.475,12,1.29725,54.71964,41.81554,1.47473,41.81554,38.97783,28.00084,67.75336,64.76268
Low,L01,55.26366,-132.995,A,13,1.3,25.5125,25.5125,13,1.29277,53.20262,40.73557,1.54602,40.73557,37.69081,,,
Low,L01,55.26366,-132.995,A,14,1.4,27.475,27.475,14,1.2607,53.68241,41.33775,1.45867,41.33775,38.90745,,,
Low,L01,55.26366,-132.995,A,15,1.2,23.55,23.55,15,1.2923,50.62334,39.16674,1.60826,39.16674,36.6057,,,
Low,L01,55.26366,-132.995,A,16,1.3,25.5125,25.5125,16,1.29781,50.8622,39.05067,1.47978,39.05067,36.82535,,,
Low,L01,55.26366,-132.995,A,17,1.2,23.55,23.55,17,1.2954,49.87483,38.22054,1.56795,38.22054,35.84657,25.75641,62.28393,59.32626
Low,L01,55.26366,-132.995,A,18,1.1,21.5875,21.5875,18,1.29554,43.73773,33.2774,1.4815,33.2774,30.85387,,,
Low,L01,55.26366,-132.995,A,19,1.3,25.5125,25.5125,19,1.27834,51.38042,38.47168,1.45785,38.47168,35.97865,,,
Low,L05,55.0848,-132.826,A,1,1.1,21.5875,21.5875,1,1.30343,34.26089,21.85335,0.95194,21.85335,19.6409,26.70737,46.66426,44.55102
Low,L05,55.0848,-132.826,A,2,0.8,15.7,15.7,2,1.32089,33.60274,27.23109,1.65033,27.23109,25.1266,,,
Low,L05,55.0848,-132.826,A,3,0.9,17.6625,17.6625,3,1.27498,38.80583,31.32908,1.70158,31.32908,28.20695,,,
Low,L05,55.0848,-132.826,A,4,0.9,17.6625,17.6625,4,1.24966,38.64811,31.03898,1.68659,31.03898,28.45014,,,
Low,L05,55.0848,-132.826,A,5,0.8,15.7,15.7,5,1.30298,32.50758,26.12023,1.58072,26.12023,23.94263,,,
Low,L05,55.0848,-132.826,A,6,1,19.625,19.625,6,1.29853,39.06652,31.35117,1.53134,31.35117,29.3849,25.18351,54.9244,52.63207
Low,L05,55.0848,-132.826,A,7,0.6,11.775,11.775,7,1.28897,25.87755,20.67617,1.64647,20.67617,17.48553,,,
Low,L05,55.0848,-132.826,A,8,1,19.625,19.625,8,1.27704,38.03399,29.47939,1.43706,29.47939,27.44191,,,
Low,L05,55.0848,-132.826,A,9,0.8,15.7,15.7,9,1.2743,29.6053,23.77829,1.43338,23.77829,21.97111,,,
Low,L05,55.0848,-132.826,A,10,0.9,17.6625,17.6625,10,1.29648,40.5063,34.04466,1.85411,34.04466,31.34516,,,
Low,L05,55.0848,-132.826,A,11,0.9,17.6625,17.6625,11,1.27823,35.58289,29.67543,1.60777,29.67543,27.92614,28.14649,56.41686,54.13839
Low,L05,55.0848,-132.826,A,12,1,19.625,19.625,12,1.29096,41.02454,33.3988,1.63607,33.3988,31.09908,,,
Low,L05,55.0848,-132.826,A,13,0.8,15.7,15.7,13,1.2818,36.9162,31.67875,1.93611,31.67875,29.60266,,,
Low,L05,55.0848,-132.826,A,14,0.9,17.6625,17.6625,14,1.29452,45.02112,40.08909,2.19644,40.08909,38.41425,,,
Low,L05,55.0848,-132.826,A,15,0.9,17.6625,17.6625,15,1.30714,34.72462,29.90043,1.61887,29.90043,28.01439,,,
Low,L05,55.0848,-132.826,A,16,0.8,15.7,15.7,16,1.28188,39.54759,34.89626,2.14104,34.89626,33.11949,26.40811,59.78589,57.34262
Low,L05,55.0848,-132.826,A,17,0.9,17.6625,17.6625,17,1.25153,43.43618,38.26904,2.09583,38.26904,36.38583,,,
Low,L05,55.0848,-132.826,A,18,0.8,15.7,15.7,18,1.28604,36.34306,31.89184,1.94941,31.89184,30.08753,,,
Low,L05,55.0848,-132.826,A,19,0.9,17.6625,17.6625,19,1.29194,39.29634,33.63072,1.83093,33.63072,31.63181,,,
Low,L05,55.0848,-132.826,A,20,0.8,15.7,15.7,20,1.25774,32.63294,28.0874,1.7089,28.0874,26.09344,,,
Low,L05,55.0848,-132.826,A,21,0.9,17.6625,17.6625,21,1.29804,41.0332,35.09534,1.91351,35.09534,33.06244,28.56188,61.95224,59.28931
Low,L05,55.0848,-132.826,A,22,0.8,15.7,15.7,22,1.31074,34.26401,29.87649,1.81947,29.87649,27.91047,,,
Low,L05,55.0848,-132.826,A,23,0.9,17.6625,17.6625,23,1.31855,40.09972,35.23236,1.9201,35.23236,33.08586,,,
Low,L05,55.0848,-132.826,A,24,0.8,15.7,15.7,24,1.27724,33.1242,28.86552,1.75722,28.86552,26.99309,,,
Low,L05,55.0848,-132.826,A,25,0.9,17.6625,17.6625,25,1.28062,38.23022,33.41997,1.81964,33.41997,31.38003,,,
Low,L05,55.0848,-132.826,A,26,0.8,15.7,15.7,26,1.28782,37.68366,32.67362,1.9991,32.67362,29.99898,28.68294,59.37626,55.86641
Low,L05,55.0848,-132.826,A,27,0.9,17.6625,17.6625,27,1.28905,42.3408,38.09953,2.0841,38.09953,36.22883,,,
Low,L05,55.0848,-132.826,A,28,1,19.625,19.625,28,1.2812,44.90201,40.37559,1.99207,40.37559,38.44245,,,
Low,L05,55.0848,-132.826,A,29,0.8,15.7,15.7,29,1.28537,36.78506,33.41907,2.04673,33.41907,31.67126,,,
Low,L05,55.0848,-132.826,A,30,0.9,17.6625,17.6625,30,1.28528,42.06188,37.09705,2.02756,37.09705,34.79639,26.3005,61.55035,57.27148
Low,L05,55.0848,-132.826,A,31,0.9,17.6625,17.6625,31,1.28804,40.15832,35.4732,1.93547,35.4732,33.39701,,,
Mid,M05,55.59929,-133.16,B,1,1,19.625,19.625,1,1.27322,46.94349,12.84608,0.5897,12.84608,10.46088,,,
Mid,M05,55.59929,-133.16,B,2,1,19.625,19.625,2,1.25269,25.62122,8.01568,0.34461,8.01568,6.48711,23.06715,30.39599,27.86273
Mid,M05,55.59929,-133.16,B,3,1.3,25.5125,25.5125,3,1.25617,30.84944,10.87921,0.37719,10.87921,8.96509,,,
Mid,M05,55.59929,-133.16,B,4,1.2,23.55,23.55,4,1.2779,32.20044,11.50084,0.4341,11.50084,9.42506,,,
Mid,M05,55.59929,-133.16,B,5,0.9,17.6625,17.6625,5,1.28501,22.46186,8.01569,0.38107,8.01569,6.37034,,,
