"","otter_region","site","latitude","longitude","core_letter","layer_number","layer_thickness","layer_volume","sample_volume","pan_number","pan_weight","pan_sed_ww_pre_60C","pan_sed_dw_post_60C","dry_bulk_density","pan_sed_dw_pre_450C","pan_sed_dw_post450C","crucible_weight","crucible_sed_dw_pre_950C","crucible_sed_dw_post_950C","sed_ww_pre_60C","na.rm","sed_dw_post_60C","sed_dw_pre_450C","sed_dw_post_450C","om_weight","sed_dw_pre_950C","sed_dw_post_950C","im_weight","om_percent","im_percent","om.im_ratio","om_density","im_density","core_depth"
"26","Low","L06",55.19112,-133.105314,"A",26,1.3,25.5125,25.5125,26,1.3002,44.06041,32.42995,1.22017638412543,32.42995,11.08425,NA,NA,NA,42.76021,TRUE,31.12975,31.12975,9.78405,21.3457,NA,NA,NA,68.5700977360885,NA,NA,26.0455190426262,NA,52
"27","Low","L06",55.19112,-133.105314,"A",27,1.1,21.5875,21.5875,27,1.26125,42.08234,32.28478,1.43710619571511,32.28478,11.38028,24.97717,35.32026,34.87266,40.82109,TRUE,31.02353,31.02353,10.11903,20.9045,10.34309,9.89549,0.447599999999994,67.3827253055987,4.32752688026493,46.7035299374447,30.0419864683266,0.643248733202076,54
"28","Low","L06",55.19112,-133.105314,"A",28,1.2,23.55,23.55,28,1.27401,45.51101,35.62807,1.45877112526539,35.62807,11.1566,NA,NA,NA,44.237,TRUE,34.35406,34.35406,9.88259,24.47147,NA,NA,NA,71.2331235376546,NA,NA,35.6982738287983,NA,56
"29","Low","L06",55.19112,-133.105314,"A",29,1.1,21.5875,21.5875,29,1.30522,41.45744,31.89644,1.41708025477707,31.89644,11.55447,NA,NA,NA,40.15222,TRUE,30.59122,30.59122,10.24925,20.34197,NA,NA,NA,66.496105745374,NA,NA,28.8262040302675,NA,58
"30","Low","L06",55.19112,-133.105314,"A",30,1.1,21.5875,21.5875,30,1.27443,42.65996,33.73925,1.50387122177186,33.73925,11.26737,NA,NA,NA,41.38553,TRUE,32.46482,32.46482,9.99294,22.47188,NA,NA,NA,69.2191732466097,NA,NA,33.7948136311106,NA,60
"31","Mid","M08",55.282137,-133.334028,"A",1,1.1,21.5875,21.5875,1,1.2987,35.53727,21.28956,0.926038679791546,21.28956,19.02408,NA,NA,NA,34.23857,TRUE,19.99086,19.99086,17.72538,2.26548,NA,NA,NA,11.3325789885978,NA,NA,2.09792210829415,NA,2
"32","Mid","M08",55.282137,-133.334028,"A",2,1.1,21.5875,21.5875,2,1.28076,33.16456,19.75047,0.855574290677475,19.75047,17.86721,28.01184,46.80922,45.15714,31.8838,TRUE,18.46971,18.46971,16.58645,1.88326,18.79738,17.1453,1.65208000000001,10.1964784503926,8.78888440835906,1.13993269091085,1.61126883866126,1.41347717414245,4
"33","Mid","M08",55.282137,-133.334028,"A",3,1,19.625,19.625,3,1.29038,26.99028,14.24553,0.660135031847134,14.24553,12.57679,NA,NA,NA,25.6999,TRUE,12.95515,12.95515,11.28641,1.66874,NA,NA,NA,12.8809006456892,NA,NA,1.10159373304459,NA,6
"34","Mid","M08",55.282137,-133.334028,"A",4,1,19.625,19.625,4,1.2831,27.19499,14.15712,0.65600101910828,14.15712,12.2234,NA,NA,NA,25.91189,TRUE,12.87402,12.87402,10.9403,1.93372,NA,NA,NA,15.0203277608703,NA,NA,1.26852229067006,NA,8
"35","Mid","M08",55.282137,-133.334028,"A",5,0.9,17.6625,17.6625,5,1.26625,26.34577,13.4209,0.68816135881104,13.4209,11.54752,NA,NA,NA,25.07952,TRUE,12.15465,12.15465,10.28127,1.87338,NA,NA,NA,15.4128666806531,NA,NA,1.28918772636943,NA,10
"36","Mid","M08",55.282137,-133.334028,"A",6,0.9,17.6625,17.6625,6,1.27614,26.7762,14.22653,0.733213871196037,14.22653,12.20966,NA,NA,NA,25.50006,TRUE,12.95039,12.95039,10.93352,2.01687,NA,NA,NA,15.5738166958679,NA,NA,1.47879706039915,NA,12
"37","Mid","M08",55.282137,-133.334028,"A",7,0.9,17.6625,17.6625,7,1.28676,30.00836,18.45379,0.971947912243454,18.45379,16.18262,25.85583,42.90735,36.24903,28.7216,TRUE,17.16703,17.16703,14.89586,2.27117,17.05152,10.3932,6.65832,13.2298364947227,39.0482490710506,0.341102560405628,2.20745893984996,6.47154022304883,14
