PreyCat,Season,C,N,Mean,SD,2.50%,5%,25%,50%,75%,95%,97.50%
Snail,Spring,1.8,3.1,0.013,0.011,0.002,0.002,0.006,0.01,0.018,0.035,0.042
Snail,Summer,1.8,3.1,0.021,0.015,0.003,0.004,0.01,0.017,0.028,0.05,0.06
Snail,Winter,1.8,3.1,0.013,0.014,0.001,0.001,0.004,0.009,0.017,0.04,0.05
Urchin,Fall,1.8,3.1,0.072,0.023,0.031,0.036,0.055,0.07,0.087,0.113,0.122
Urchin,Spring,1.8,3.1,0.084,0.047,0.008,0.014,0.051,0.079,0.111,0.172,0.194
Urchin,Summer,1.8,3.1,0.122,0.034,0.061,0.069,0.099,0.121,0.144,0.181,0.194
Urchin,Winter,1.8,3.1,0.02,0.023,0.001,0.002,0.006,0.014,0.025,0.058,0.07
Clam,Fall,2,2.8,0.74,0.036,0.667,0.679,0.716,0.741,0.765,0.795,0.806
Clam,Spring,2,2.8,0.742,0.083,0.596,0.619,0.687,0.735,0.791,0.903,0.933
Clam,Summer,2,2.8,0.596,0.068,0.46,0.485,0.551,0.594,0.64,0.709,0.728
Clam,Winter,2,2.8,0.921,0.049,0.803,0.829,0.899,0.931,0.955,0.978,0.983
Crab,Fall,2,2.8,0.093,0.022,0.054,0.059,0.077,0.091,0.107,0.131,0.139
Crab,Spring,2,2.8,0.019,0.012,0.003,0.004,0.01,0.016,0.025,0.042,0.048
Crab,Summer,2,2.8,0.031,0.018,0.006,0.009,0.018,0.028,0.042,0.067,0.074
Crab,Winter,2,2.8,0.022,0.021,0.002,0.003,0.008,0.016,0.029,0.06,0.079
Cucumber,Fall,2,2.8,0.023,0.012,0.005,0.007,0.014,0.021,0.03,0.046,0.053
Cucumber,Spring,2,2.8,0.01,0.008,0.001,0.001,0.004,0.007,0.013,0.026,0.032
Cucumber,Summer,2,2.8,0.027,0.022,0.002,0.003,0.01,0.021,0.038,0.071,0.084
Cucumber,Winter,2,2.8,0.006,0.006,0,0.001,0.002,0.004,0.008,0.019,0.023
Mussel,Fall,2,2.8,0.053,0.022,0.019,0.022,0.037,0.051,0.066,0.092,0.101
Mussel,Spring,2,2.8,0.185,0.073,0.011,0.04,0.144,0.193,0.234,0.294,0.312
Mussel,Summer,2,2.8,0.259,0.057,0.145,0.165,0.224,0.261,0.297,0.349,0.364
Mussel,Winter,2,2.8,0.024,0.029,0.001,0.002,0.006,0.013,0.03,0.082,0.108
Snail,Fall,2,2.8,0.055,0.019,0.024,0.027,0.041,0.053,0.067,0.089,0.097
Snail,Spring,2,2.8,0.016,0.012,0.002,0.003,0.007,0.013,0.022,0.041,0.049
Snail,Summer,2,2.8,0.026,0.017,0.004,0.005,0.013,0.022,0.035,0.06,0.069
Snail,Winter,2,2.8,0.019,0.02,0.001,0.002,0.006,0.013,0.027,0.061,0.074
Urchin,Fall,2,2.8,0.037,0.015,0.012,0.015,0.025,0.035,0.046,0.064,0.071
Urchin,Spring,2,2.8,0.028,0.021,0.002,0.003,0.011,0.023,0.04,0.069,0.078
Urchin,Summer,2,2.8,0.061,0.025,0.015,0.021,0.044,0.06,0.078,0.104,0.112
Urchin,Winter,2,2.8,0.008,0.008,0.001,0.001,0.003,0.006,0.01,0.022,0.028
Clam,Fall,1,3.4,0.427,0.034,0.362,0.371,0.403,0.426,0.449,0.484,0.494
Clam,Spring,1,3.4,0.478,0.076,0.294,0.33,0.44,0.49,0.528,0.58,0.598
Clam,Summer,1,3.4,0.378,0.073,0.194,0.237,0.342,0.389,0.427,0.476,0.492
Clam,Winter,1,3.4,0.42,0.083,0.214,0.277,0.378,0.428,0.475,0.535,0.555
Crab,Fall,1,3.4,0.156,0.031,0.098,0.105,0.134,0.155,0.176,0.21,0.22
Crab,Spring,1,3.4,0.045,0.028,0.008,0.01,0.024,0.04,0.06,0.098,0.113
Crab,Summer,1,3.4,0.036,0.023,0.007,0.009,0.019,0.032,0.048,0.081,0.091
Crab,Winter,1,3.4,0.156,0.063,0.031,0.05,0.112,0.158,0.2,0.258,0.276
Cucumber,Fall,1,3.4,0.034,0.02,0.007,0.009,0.019,0.029,0.045,0.072,0.08
Cucumber,Spring,1,3.4,0.044,0.048,0.002,0.003,0.011,0.027,0.059,0.141,0.18
Cucumber,Summer,1,3.4,0.08,0.111,0.002,0.003,0.012,0.034,0.097,0.333,0.418
Cucumber,Winter,1,3.4,0.021,0.039,0.002,0.002,0.006,0.013,0.025,0.057,0.07
Mussel,Fall,1,3.4,0.008,0.007,0,0.001,0.003,0.007,0.012,0.023,0.028
Mussel,Spring,1,3.4,0.026,0.043,0,0,0.002,0.007,0.027,0.12,0.161
Mussel,Summer,1,3.4,0.024,0.037,0,0,0.002,0.007,0.027,0.107,0.131
Mussel,Winter,1,3.4,0.012,0.026,0,0,0.001,0.004,0.011,0.043,0.068
Snail,Fall,1,3.4,0.024,0.013,0.006,0.008,0.015,0.022,0.031,0.048,0.054
Snail,Spring,1,3.4,0.019,0.019,0.001,0.002,0.006,0.013,0.025,0.059,0.072
Snail,Summer,1,3.4,0.016,0.016,0.001,0.002,0.006,0.011,0.021,0.048,0.062
Snail,Winter,1,3.4,0.037,0.053,0.001,0.002,0.007,0.017,0.043,0.152,0.196
Tegula,Fall,1,3.4,0.073,0.032,0.024,0.03,0.049,0.068,0.091,0.133,0.15
Tegula,Spring,1,3.4,0.084,0.056,0.007,0.011,0.037,0.075,0.12,0.189,0.21
Tegula,Summer,1,3.4,0.205,0.091,0.017,0.031,0.148,0.214,0.27,0.338,0.359
Tegula,Winter,1,3.4,0.025,0.019,0.003,0.004,0.011,0.02,0.034,0.063,0.075
Urchin,Fall,1,3.4,0.278,0.027,0.225,0.234,0.259,0.278,0.297,0.324,0.333
Urchin,Spring,1,3.4,0.304,0.036,0.233,0.245,0.28,0.304,0.328,0.363,0.377
Urchin,Summer,1,3.4,0.261,0.039,0.182,0.196,0.237,0.262,0.286,0.322,0.335
Urchin,Winter,1,3.4,0.33,0.036,0.267,0.277,0.307,0.329,0.352,0.388,0.401
Clam,Fall,2.3,3.4,0.67,0.04,0.591,0.603,0.644,0.671,0.697,0.735,0.747
Clam,Spring,2.3,3.4,0.6,0.145,0.229,0.33,0.525,0.609,0.697,0.817,0.84
Clam,Summer,2.3,3.4,0.491,0.117,0.229,0.282,0.422,0.5,0.566,0.679,0.71
Clam,Winter,2.3,3.4,0.844,0.056,0.722,0.746,0.809,0.846,0.884,0.93,0.943
Crab,Fall,2.3,3.4,0.104,0.023,0.061,0.067,0.088,0.103,0.119,0.145,0.154
Crab,Spring,2.3,3.4,0.025,0.018,0.004,0.005,0.013,0.021,0.034,0.059,0.069
Crab,Summer,2.3,3.4,0.039,0.023,0.008,0.01,0.022,0.034,0.051,0.085,0.097
Crab,Winter,2.3,3.4,0.031,0.021,0.004,0.006,0.015,0.026,0.042,0.073,0.085
Cucumber,Fall,2.3,3.4,0.028,0.016,0.005,0.007,0.016,0.025,0.037,0.059,0.066
Cucumber,Spring,2.3,3.4,0.016,0.015,0.001,0.002,0.005,0.011,0.021,0.046,0.058
Cucumber,Summer,2.3,3.4,0.04,0.04,0.002,0.003,0.012,0.026,0.054,0.121,0.145
Cucumber,Winter,2.3,3.4,0.014,0.015,0.001,0.001,0.004,0.009,0.018,0.044,0.056
Mussel,Fall,2.3,3.4,0.035,0.016,0.008,0.011,0.023,0.033,0.044,0.064,0.071
Mussel,Spring,2.3,3.4,0.172,0.106,0.003,0.007,0.102,0.169,0.234,0.36,0.432
Mussel,Summer,2.3,3.4,0.188,0.083,0.016,0.047,0.136,0.185,0.237,0.328,0.368
Mussel,Winter,2.3,3.4,0.017,0.019,0.001,0.001,0.005,0.011,0.022,0.053,0.069
Snail,Fall,2.3,3.4,0.023,0.012,0.006,0.007,0.014,0.021,0.03,0.046,0.051
Snail,Spring,2.3,3.4,0.013,0.013,0.001,0.001,0.004,0.009,0.017,0.037,0.047
Snail,Summer,2.3,3.4,0.02,0.017,0.002,0.002,0.007,0.015,0.027,0.055,0.066
Snail,Winter,2.3,3.4,0.011,0.012,0.001,0.001,0.003,0.007,0.014,0.033,0.044
Tegula,Fall,2.3,3.4,0.044,0.02,0.013,0.016,0.028,0.041,0.056,0.083,0.091
Tegula,Spring,2.3,3.4,0.02,0.017,0.002,0.003,0.008,0.015,0.027,0.054,0.064
Tegula,Summer,2.3,3.4,0.057,0.041,0.005,0.008,0.024,0.049,0.082,0.136,0.152
Tegula,Winter,2.3,3.4,0.02,0.02,0.001,0.002,0.006,0.013,0.027,0.059,0.071
Urchin,Fall,2.3,3.4,0.096,0.027,0.044,0.052,0.077,0.096,0.115,0.142,0.151
Urchin,Spring,2.3,3.4,0.154,0.04,0.077,0.089,0.127,0.153,0.179,0.221,0.233
Urchin,Summer,2.3,3.4,0.166,0.036,0.095,0.107,0.141,0.165,0.189,0.226,0.238
Urchin,Winter,2.3,3.4,0.064,0.04,0.006,0.009,0.031,0.06,0.09,0.137,0.153
