OtterID,SIN,N,C,distance,Season,Site
77280,414330,12.53,-13.58,5.6,Fall,Tonowek
77280,414331,12.28,-13.79,6.3,Summer,Tonowek
77280,414332,11.96,-13.82,7,Summer,Tonowek
77280,414333,12.37,-13.75,7.7,Summer,Tonowek
77280,414334,11.74,-14.09,8.4,Winter,Tonowek
77280,414335,12.15,-13.26,9.1,Winter,Tonowek
77298,414336,11.89,-14.18,0,Summer,Tonowek
77298,414337,11.87,-14.19,0.6,Spring,Tonowek
77298,414338,11.96,-13.99,1.4,Spring,Tonowek
77298,414339,12.02,-13.24,2.1,Winter,Tonowek
77298,414340,11.61,-14.53,2.7,Winter,Tonowek
77298,414341,12.03,-14.33,3.5,Winter,Tonowek
77298,414342,13.04,-13.63,4.4,Fall,Tonowek
77298,414343,12.83,-13.71,5,Fall,Tonowek
77298,414344,12.63,-13.89,5.6,Fall,Tonowek
77298,414345,12.48,-13.55,6.3,Summer,Tonowek
77298,414346,11.71,-14.15,7.6,Summer,Tonowek
77298,414347,12.06,-13.75,8.4,Winter,Tonowek
77297,414348,12.07,-13.4,0,Summer,Tonowek
77297,414349,12.27,-13.46,0.7,Spring,Tonowek
77297,414350,12.34,-13.37,1.5,Spring,Tonowek
77297,414351,12.61,-13.64,2.2,Winter,Tonowek
77297,414352,12.71,-13.8,2.9,Winter,Tonowek
77297,414353,13.15,-13.48,3.6,Winter,Tonowek
77297,414354,13.77,-12.5,4.4,Fall,Tonowek
77297,414355,13.77,-12.39,5.1,Fall,Tonowek
77297,414356,14,-12.5,5.9,Fall,Tonowek
77297,414357,14.08,-12.03,6.6,Summer,Tonowek
163531,414358,12.72,-13.61,0,Summer,Tonowek
163531,414359,12.55,-13.89,0.7,Summer,Tonowek
163531,414360,12.41,-14.37,1.3,Spring,Tonowek
163531,414361,12.8,-13.85,2.1,Spring,Tonowek
163531,414362,12.74,-13.77,2.7,Spring,Tonowek
163531,414363,12.72,-13.87,3.5,Winter,Tonowek
163531,414364,13.08,-14.05,4.2,Winter,Tonowek
163531,414365,13.22,-13.91,5.5,Fall,Tonowek
77285,414366,11.73,-13.66,0,Summer,Tonowek
77285,414367,11.85,-13.48,0.8,Spring,Tonowek
77285,414368,13.03,-13.47,1.4,Spring,Tonowek
77285,414369,13.58,-13.01,2.2,Winter,Tonowek
77285,414370,13.34,-12.69,2.9,Winter,Tonowek
77285,414371,13.32,-12.98,3.6,Winter,Tonowek
77285,414372,13.16,-13.13,4.3,Fall,Tonowek
77285,414373,13.06,-13.1,5.1,Fall,Tonowek
77285,414374,12.89,-12.88,5.8,Fall,Tonowek
77285,414375,12.37,-13.38,6.4,Summer,Tonowek
77285,414376,12.19,-13.24,7.1,Summer,Tonowek
