OtterID,SIN,N,C,distance,Season,Site,Csig,Nsig
163527,414244,13.66,-12.33,2.8,Spring,Tonowek,n,n
163527,414245,13.12,-12.64,3.5,Winter,Tonowek,n,n
163527,414246,13.4,-12.67,4.2,Winter,Tonowek,n,n
163527,414247,12.73,-13.01,4.9,Fall,Tonowek,n,n
163527,414248,12.67,-13.02,5.5,Fall,Tonowek,n,n
163528,414249,12.56,-13.04,0,Summer,Tonowek,n,y
163528,414250,12.31,-13.22,0.7,Summer,Tonowek,n,y
163528,414251,12.42,-13.24,1.4,Spring,Tonowek,n,y
163528,414252,12.52,-13.52,2.1,Spring,Tonowek,n,y
163528,414253,12.94,-13.17,2.8,Spring,Tonowek,n,y
163528,414254,13.05,-13.25,3.5,Winter,Tonowek,n,y
163528,414255,13.29,-13.13,4.2,Winter,Tonowek,n,y
163528,414256,13.23,-13.04,4.9,Fall,Tonowek,n,y
163528,414257,13.35,-13.03,5.5,Fall,Tonowek,n,y
163528,414258,13.54,-13.01,6.2,Fall,Tonowek,n,y
163529,414259,12.5,-13.87,0,Summer,Tonowek,y,n
163529,414260,12.34,-14.85,0.5,Summer,Tonowek,y,n
163529,414261,12.37,-15.3,1.2,Spring,Tonowek,y,n
163529,414262,12.17,-15.89,2,Spring,Tonowek,y,n
163529,414263,12.08,-16.03,2.7,Spring,Tonowek,y,n
163529,414264,11.93,-16.05,3.4,Winter,Tonowek,y,n
163529,414265,12,-16.4,4,Winter,Tonowek,y,n
163529,414266,12.29,-15.95,4.7,Winter,Tonowek,y,n
163530,414290,12.46,-13.63,0,Summer,Tonowek,n,n
163530,414291,12.16,-13.59,0.6,Summer,Tonowek,n,n
163530,414292,12.18,-14.13,1.3,Spring,Tonowek,n,n
163530,414293,12.29,-13.8,2,Spring,Tonowek,n,n
163530,414294,13.57,-12.83,2.7,Spring,Tonowek,n,n
163530,414295,13.64,-12.63,3.4,Winter,Tonowek,n,n
163530,414296,13.23,-12.97,4.1,Winter,Tonowek,n,n
163530,414297,13.18,-13.32,4.7,Winter,Tonowek,n,n
163530,414298,12.46,-14.01,5.5,Fall,Tonowek,n,n
163532,414100,12.57,-13.89,0,Summer,Tonowek,n,n
163532,414101,12.52,-13.26,0.4,Summer,Tonowek,n,n
163532,414102,12.11,-13.74,0.8,Summer,Tonowek,n,n
163532,414103,12.29,-13.72,1.4,Spring,Tonowek,n,n
163532,414104,12.01,-15.46,1.9,Spring,Tonowek,n,n
163532,414105,8.87,-19.98,2.5,Spring,Tonowek,n,n
163532,414106,12.04,-15.76,3.3,Winter,Tonowek,n,n
163532,414107,13.49,-14.27,3.8,Winter,Tonowek,n,n
163532,414108,13.19,-14.73,4.5,Winter,Tonowek,n,n
163532,414109,11.2,-17.65,5.2,Fall,Tonowek,n,n
163532,414110,11.9,-16.3,5.5,Fall,Tonowek,n,n
163532,414273,13.01,-12.89,0,Summer,Tonowek,n,n
163532,414274,12.67,-13.16,0.8,Summer,Tonowek,n,n
163532,414275,12.61,-13.31,1.5,Spring,Tonowek,n,n
163532,414276,12.65,-13.19,2.1,Spring,Tonowek,n,n
163532,414277,12.6,-13.24,2.8,Spring,Tonowek,n,n
163532,414278,12.42,-13.95,3.4,Winter,Tonowek,n,n
163532,414279,12.16,-14.03,4.9,Fall,Tonowek,n,n
163532,414280,12.47,-14.08,5.6,Fall,Tonowek,n,n
163533,414111,12.28,-13.56,0,Summer,Tonowek,y,n
163533,414112,12.08,-13.57,0.7,Summer,Tonowek,y,n
163533,414113,11.91,-13.97,1.4,Spring,Tonowek,y,n
163533,414114,11.95,-14.13,2.1,Spring,Tonowek,y,n
163533,414115,12.16,-14.05,2.5,Spring,Tonowek,y,n
163533,414116,12.06,-14.06,3.2,Winter,Tonowek,y,n
163533,414117,12.07,-13.9,3.6,Winter,Tonowek,y,n
163533,414118,12.7,-13.14,4.2,Winter,Tonowek,y,n
163534,414119,12.9,-13.37,0,Summer,Tonowek,n,n
163534,414120,12.77,-13.25,0.7,Summer,Tonowek,n,n
163534,414121,12.63,-13.77,1.4,Spring,Tonowek,n,n
163534,414122,12.67,-14.58,2.2,Spring,Tonowek,n,n
163534,414123,12.34,-16.44,3,Winter,Tonowek,n,n
163534,414124,12.62,-16.32,3.7,Winter,Tonowek,n,n
163534,414125,13.48,-15.13,4.4,Winter,Tonowek,n,n
163534,414126,13.43,-15.14,5.3,Fall,Tonowek,n,n
163534,414127,12.68,-13.95,6.4,Fall,Tonowek,n,n
163535,414129,12.26,-13.32,0.8,Summer,Tonowek,n,y
163535,414134,13.2,-13.5,4.3,Winter,Tonowek,n,y
163535,414135,13.55,-13.04,5,Fall,Tonowek,n,y
163535,414136,13.43,-13.16,5.6,Fall,Tonowek,n,y
163535,414137,13.42,-13.3,6.5,Fall,Tonowek,n,y
163535,414267,12.55,-13.29,0,Summer,Tonowek,n,y
163535,414269,12.18,-13.46,1.4,Spring,Tonowek,n,y
163535,414270,12.95,-13.4,2.3,Spring,Tonowek,n,y
163535,414271,13.4,-12.72,2.9,Winter,Tonowek,n,y
163535,414272,13.06,-12.73,3,Winter,Tonowek,n,y
163536,414311,12.69,-13.44,0,Summer,Tonowek,y,n
163536,414312,12.09,-13.61,0.8,Summer,Tonowek,y,n
163536,414313,11.94,-13.87,1.4,Spring,Tonowek,y,n
163536,414314,12.08,-13.83,2.1,Spring,Tonowek,y,n
163536,414315,12.22,-14.09,2.8,Spring,Tonowek,y,n
163536,414316,12.24,-14.28,3.4,Winter,Tonowek,y,n
163536,414317,12.48,-14.77,4.2,Winter,Tonowek,y,n
163536,414318,12.96,-14.28,4.9,Fall,Tonowek,y,n
163536,414319,11.7,-15.2,5.5,Fall,Tonowek,y,n
163536,414320,12.76,-13.95,6.3,Fall,Tonowek,y,n
163536,414321,12.96,-14,7,Summer,Tonowek,y,n
