"site","survey_dat","latitude","longitude","n_otters","coords.x1","coords.x2"
"2017_H_02","2017/06/23",55.72385,-133.350098,"1",603628.075799794,6176578.60198165
"2017_H_02","2017/06/23",55.717709,-133.334351,"10",604633.441414664,6175918.91310757
"2017_H_02","2017/06/23",55.715092,-133.336914,"1",604479.440376843,6175623.84125842
"2017_H_02","2017/06/23",55.716122,-133.344864,"3",603977.31487034,6175726.50315946
"2017_H_02","2017/06/23",55.712334,-133.341644,"1",604189.660926496,6175309.82692789
"2017_H_02","2017/06/23",55.712517,-133.345627,"1",603938.960147772,6175324.21217813
"2017_H_02","2017/06/23",55.713089,-133.347672,"1",603808.975344018,6175384.79782751
"2017_H_02","2017/06/23",55.719166,-133.350632,"3",603606.940873704,6176056.58997309
"2017_H_02","2017/06/23",55.72065,-133.355698,"1",603284.829287951,6176214.16364417
"2017_H_02","2017/06/23",55.729664,-133.362305,"2",602846.162147623,6177207.37933151
"2017_H_02","2017/06/23",55.727631,-133.363113,"1",602800.767676653,6176979.95723415
"2017_H_02","2017/06/23",55.729561,-133.370819,"1",602311.810770309,6177183.3191218
"2017_H_03","2017/06/24",55.838356,-133.213821,"1",611857.913467297,6189532.20390019
"2017_H_03","2017/06/24",55.834488,-133.201035,"1",612669.714488883,6189122.52890402
"2017_H_03","2017/06/24",55.830719,-133.208679,"1",612201.878629011,6188690.72290475
"2017_H_03","2017/06/24",55.832222,-133.203293,"1",612534.856799725,6188866.70942412
"2017_H_03","2017/06/24",55.826572,-133.213333,"1",611922.313057489,6188221.73625571
"2017_H_03","2017/06/24",55.804684,-133.229126,"1",610995.399756492,6185760.74689353
"2017_H_03","2017/06/24",55.805607,-133.194901,"2",613137.629212517,6185918.83358257
"2017_H_03","2017/06/24",55.808239,-133.191467,"1",613345.185610486,6186217.32032422
"2017_H_03","2017/06/24",55.808186,-133.185974,"1",613689.557580179,6186220.4267476
"2017_H_03","2017/06/24",55.81609,-133.196945,"1",612979.158976308,6187081.97716043
"2017_H_03","2017/06/24",55.817642,-133.199142,"1",612837.020200728,6187251.09166329
"2017_H_03","2017/06/24",55.815845,-133.191345,"19",613330.723427752,6187063.86595359
"2017_H_03","2017/06/24",55.816597,-133.192734,"1",613241.514851576,6187145.27129005
"2017_H_03","2017/06/24",55.812252,-133.182541,"1",613892.810411475,6186678.5048211
"2017_H_03","2017/06/24",55.816872,-133.186264,"1",613646.067324527,6187186.47106592
"2017_H_03","2017/06/24",55.814094,-133.177369,"1",614211.483217881,6186891.98829222
"2017_H_03","2017/06/24",55.815479,-133.17598,"1",614294.451342214,6187048.39337093
"2017_H_03","2017/06/24",55.81168,-133.172348,"1",614533.165004072,6186631.66772362
"2017_H_03","2017/06/24",55.812042,-133.177826,"1",614188.858720031,6186662.90210665
"2017_H_03","2017/06/24",55.813354,-133.172226,"1",614535.892346724,6186818.14056746
"2017_H_03","2017/06/24",55.809444,-133.171265,"1",614607.595827972,6186384.65304517
"2017_H_03","2017/06/24",55.819069,-133.182693,"1",613863.376673548,6187436.80509909
"2017_H_03","2017/06/24",55.819378,-133.183563,"1",613807.971479669,6187469.75832062
"2017_H_03","2017/06/24",55.822891,-133.189026,"1",613455.506989773,6187851.69697956
"2017_H_03","2017/06/24",55.83247,-133.188873,"3",613437.205869164,6188917.83809868
"2017_H_03","2017/06/24",55.832893,-133.181061,"8",613925.201428009,6188977.73418755
"2017_H_03","2017/06/24",55.836807,-133.202042,"1",612599.951085643,6189378.9351636
"2017_H_03","2017/06/24",55.835556,-133.169937,"1",614614.007422908,6189292.41599248
"2017_H_03","2017/06/24",55.834114,-133.166443,"1",614837.053835077,6189137.74991729
"2017_M_05","2017/06/24",55.581402,-133.196869,"1",613663.044406622,6160967.96285199
"2017_M_05","2017/06/24",55.57246,-133.165527,"1",615664.779547497,6160024.74304254
"2017_M_05","2017/06/24",55.581699,-133.153809,"1",616376.181977698,6161072.33379774
"2017_M_05","2017/06/24",55.592583,-133.160477,"1",615923.823285849,6162272.23149158
"2017_M_05","2017/06/24",55.590839,-133.166809,"1",615529.964126825,6162067.62393067
"2017_M_05","2017/06/24",55.595573,-133.161057,"15",615878.464127885,6162603.9581745
"2017_M_05","2017/06/24",55.599648,-133.169937,"1",615307.018489823,6163042.59595765
"2017_H_04","2017/06/25",55.760426,-133.269135,"4",608611.047528026,6180772.55519506
"2017_H_04","2017/06/25",55.757675,-133.253143,"1",609622.143096555,6180491.62218923
"2017_H_04","2017/06/25",55.757675,-133.264801,"2",608890.639991411,6180473.24145369
"2017_H_04","2017/06/25",55.756676,-133.260513,"1",609162.489534127,6180368.82505894
"2017_H_04","2017/06/25",55.755161,-133.257965,"1",609326.611012129,6180204.26170996
"2017_H_04","2017/06/25",55.752285,-133.263245,"1",609003.307305088,6179875.92017812
"2017_H_04","2017/06/25",55.750641,-133.257874,"2",609344.966611966,6179701.44698873
"2017_H_04","2017/06/25",55.749557,-133.261475,"2",609122.000639062,6179575.15016541
"2017_H_04","2017/06/25",55.749454,-133.2715,"1",608493.117430591,6179547.9493747
"2017_H_04","2017/06/25",55.751717,-133.271133,"1",608509.867782316,6179800.33749731
"2017_H_04","2017/06/25",55.752438,-133.279831,"1",607962.018809136,6179866.98151024
"2017_H_04","2017/06/25",55.749382,-133.264328,"1",608943.43420557,6179551.18864479
"2017_H_04","2017/06/25",55.747978,-133.286118,"1",607579.749138047,6179360.92066732
"2017_H_04","2017/06/25",55.740875,-133.293808,"1",607116.5625411,6178558.62703885
"2017_H_04","2017/06/25",55.743412,-133.292587,"1",607186.25471869,6178842.81818846
"2017_H_04","2017/06/25",55.751457,-133.286469,"2",607548.146626329,6179747.49992324
"2017_H_04","2017/06/25",55.754612,-133.281219,"1",607868.913543482,6180106.73074326
"2017_H_04","2017/06/25",55.754566,-133.285217,"1",607618.157352012,6180095.39616171
"2017_H_04","2017/06/25",55.752182,-133.275589,"1",608228.936618632,6179845.1119588
"2017_H_04","2017/06/25",55.75948,-133.276764,"1",608135.002084889,6180655.35821919
"2017_H_04","2017/06/25",55.764259,-133.265167,"25",608849.330391183,6181205.29604308
"2017_H_04","2017/06/25",55.760597,-133.280304,"1",607909.802592961,6180774.13338022
"2017_H_04","2017/06/25",55.762501,-133.287262,"1",607468.003040864,6180975.186863
"2017_H_04","2017/06/25",55.761089,-133.288788,"1",607376.143145334,6180815.70121929
"2017_H_04","2017/06/25",55.756905,-133.289474,"1",607344.596030604,6180349.06492127
"2017_H_04","2017/06/25",55.753536,-133.292175,"1",607184.352165714,6179969.99967373
"2017_H_04","2017/06/25",55.762825,-133.294571,"3",607008.552514132,6180999.92835019
"2017_H_04","2017/06/25",55.761433,-133.295059,"1",606981.747436915,6180844.28016549
"2017_H_04","2017/06/25",55.768036,-133.300003,"12",606653.52596743,6181571.40741163
"2017_H_04","2017/06/25",55.755276,-133.298492,"1",606783.180935444,6180153.86564924
"2017_H_04","2017/06/25",55.753643,-133.301453,"5",606601.82884956,6179967.59503529
"2017_H_04","2017/06/25",55.754459,-133.309357,"1",606103.606502841,6180046.26532937
"2017_H_04","2017/06/25",55.751457,-133.307571,"2",606223.841550012,6179714.95369448
"2017_H_04","2017/06/25",55.750187,-133.313324,"1",605866.237520408,6179564.83127286
"2017_H_04","2017/06/25",55.751938,-133.312866,"1",605890.23753147,6179760.37369931
"2017_H_04","2017/06/25",55.747978,-133.305939,"2",606335.725668505,6179330.33089985
"2017_H_04","2017/06/25",55.746971,-133.307648,"3",606231.200169654,6179215.65621209
"2017_H_04","2017/06/25",55.747959,-133.300583,"2",606671.936078776,6179336.44750457
"2017_M_04","2017/06/25",55.497635,-133.142532,"1",617337.057621361,6151737.66685043
"2017_M_04","2017/06/25",55.510597,-133.181381,"1",614845.505740923,6153115.03094056
"2017_M_04","2017/06/25",55.515724,-133.182922,"1",614733.286092967,6153682.95844926
"2017_M_04","2017/06/25",55.545929,-133.164276,"1",615821.676318893,6157074.75732915
"2017_M_04","2017/06/25",55.52623,-133.204407,"6",613346.638710984,6154816.68909149
"2017_L_05","2017/06/28",55.079666,-132.832458,"1",638368.261583171,6105803.09861376
"2017_M_04","2017/07/20",55.526657,-133.204025,"5",613369.521434306,6154864.82415885
"2017_M_04","2017/07/20",55.536926,-133.186172,"1",614466.51190312,6156036.71555056
"2017_M_04","2017/07/20",55.511108,-133.178238,"2",615042.471163425,6153177.08721092
"2017_M_04","2017/07/20",55.511356,-133.167038,"1",615748.926031345,6153223.27823611
"2017_H_02","2017/07/21",55.73262,-133.342987,"5",604051.333298325,6177565.13924449
"2017_H_02","2017/07/21",55.734688,-133.344833,"1",603929.931054062,6177792.48747713
"2017_H_02","2017/07/21",55.736729,-133.338562,"1",604318.21013293,6178029.02082163
"2017_H_02","2017/07/21",55.73138,-133.339005,"1",604304.662124481,6177433.14230836
"2017_H_02","2017/07/21",55.736,-133.341888,"1",604111.339606013,6177942.90039638
"2017_H_02","2017/07/21",55.73262,-133.34021,"1",604225.695860662,6177569.31122368
"2017_H_02","2017/07/21",55.732185,-133.339279,"1",604285.311365076,6177522.30668894
"2017_H_02","2017/07/21",55.732372,-133.335815,"1",604502.311990655,6177548.33199296
"2017_H_02","2017/07/21",55.73177,-133.335785,"1",604505.804072177,6177481.38951543
"2017_H_02","2017/07/21",55.729633,-133.341446,"1",604156.043222693,6177235.07398029
"2017_H_02","2017/07/21",55.729134,-133.342209,"1",604109.460279762,6177178.40141425
"2017_H_02","2017/07/21",55.728756,-133.340027,"1",604247.483453859,6177139.61855083
"2017_H_02","2017/07/21",55.72752,-133.344513,"1",603969.073028814,6176995.34509812
"2017_H_02","2017/07/21",55.728691,-133.341278,"1",604169.100875444,6177130.5050648
"2017_H_02","2017/07/21",55.724396,-133.340134,"3",604252.382329811,6176654.29753047
"2017_H_02","2017/07/21",55.724495,-133.342285,"1",604117.033272253,6176662.08114119
"2017_H_02","2017/07/21",55.72533,-133.343262,"1",604053.455792769,6176753.52910785
"2017_H_02","2017/07/21",55.718117,-133.339844,"8",604287.327880158,6175956.03694401
"2017_H_02","2017/07/21",55.719254,-133.337234,"1",604448.230806904,6176086.48579636
"2017_H_02","2017/07/21",55.71957,-133.334305,"1",604631.354911999,6176126.06531283
"2017_H_02","2017/07/21",55.719707,-133.338287,"1",604380.884055735,6176135.30750759
"2017_H_02","2017/07/21",55.719292,-133.33815,"1",604390.595917804,6176089.33461813
"2017_H_02","2017/07/21",55.716297,-133.333694,"3",604678.485519941,6175762.78460487
"2017_H_02","2017/07/21",55.713963,-133.331757,"1",604806.406466566,6175505.99525315
"2017_H_02","2017/07/21",55.714672,-133.338806,"1",604361.712008217,6175574.2562382
"2017_H_02","2017/07/21",55.713261,-133.343399,"1",604076.945762512,6175410.34308079
"2017_H_02","2017/07/21",55.712433,-133.341644,"1",604189.397411453,6175320.84315779
"2017_H_02","2017/07/21",55.712444,-133.343674,"1",604061.842493942,6175319.01855699
"2017_H_02","2017/07/21",55.71241,-133.345215,"1",603965.126359344,6175312.92344383
"2017_H_02","2017/07/21",55.712669,-133.349625,"1",603687.401340234,6175335.13987382
"2017_H_02","2017/07/21",55.711403,-133.344467,"1",604014.791982689,6175201.99127613
"2017_H_02","2017/07/21",55.711281,-133.340744,"1",604249.003874247,6175194.00713517
"2017_H_02","2017/07/21",55.712234,-133.338211,"1",604405.590967222,6175303.86356982
"2017_H_02","2017/07/21",55.717701,-133.354156,"1",603389.469372069,6175888.3107844
"2017_H_02","2017/07/21",55.721951,-133.351944,"1",603517.166695463,6176364.53205137
"2017_H_02","2017/07/21",55.723255,-133.352448,"1",603482.064043591,6176508.88278117
"2017_H_02","2017/07/21",55.724869,-133.352798,"1",603455.815107937,6176687.9590076
"2017_H_02","2017/07/21",55.718075,-133.357162,"1",603199.66958648,6175925.4491768
"2017_H_02","2017/07/21",55.727352,-133.350723,"1",603579.552427046,6176967.35455051
"2017_H_02","2017/07/21",55.728378,-133.349487,"1",603654.450537953,6177083.37067178
"2017_H_02","2017/07/21",55.729534,-133.350372,"1",603595.815536285,6177210.68219524
"2017_H_02","2017/07/21",55.72578,-133.361313,"1",602918.67043264,6176776.65669016
"2017_H_04","2017/07/21",55.758522,-133.25975,"1",609205.207491857,6180575.43921235
"2017_H_0406","2017/07/21",55.755348,-133.262329,"1",609052.244116983,6180218.19381642
"2017_H_04","2017/07/21",55.75713,-133.261032,"1",609128.655180058,6180418.52604411
"2017_H_0406","2017/07/21",55.752464,-133.264252,"1",608939.613483387,6179894.25478016
"2017_H_0406","2017/07/21",55.752899,-133.262894,"1",609023.621731268,6179944.79459835
"2017_H_0406","2017/07/21",55.75103,-133.261063,"1",609143.744509026,6179739.70554327
"2017_H_0406","2017/07/21",55.750156,-133.261398,"1",609125.160829359,6179641.9245262
"2017_H_0406","2017/07/21",55.747997,-133.266022,"1",608840.974688611,6179394.41241517
"2017_H_0406","2017/07/21",55.749001,-133.278717,"1",608041.428595094,6179486.2675411
"2017_H_0406","2017/07/21",55.746925,-133.27301,"1",608405.362770038,6179264.17404979
"2017_H_0406","2017/07/21",55.750114,-133.286118,"1",607573.870589631,6179598.60299925
"2017_H_0406","2017/07/21",55.744926,-133.283813,"1",607732.827856843,6179024.89158525
"2017_H_0406","2017/07/21",55.743008,-133.290237,"1",607334.873751418,6178801.50010744
"2017_H_0406","2017/07/21",55.739601,-133.291702,"1",607252.259571119,6178420.12011554
"2017_H_0406","2017/07/21",55.75832,-133.274307,"1",608292.379392097,6180530.11680319
"2017_H_0406","2017/07/21",55.759945,-133.276672,"3",608139.487590257,6180707.24442075
"2017_H_0406","2017/07/21",55.758621,-133.28688,"1",607502.644508636,6180544.03352105
"2017_H_0406","2017/07/21",55.760052,-133.285828,"1",607564.713522993,6180704.90010085
"2017_H_0406","2017/07/21",55.762386,-133.28894,"1",607363.042221507,6180959.78907106
"2017_H_0406","2017/07/21",55.7626,-133.296799,"1",606869.385384971,6180971.45301819
"2017_H_0406","2017/07/21",55.760483,-133.296341,"1",606903.912406175,6180736.59046822
"2017_H_0406","2017/07/21",55.764252,-133.282669,"1",607751.335778447,6181177.16179384
"2017_H_0406","2017/07/21",55.757587,-133.30011,"1",606675.340670763,6180408.52997327
"2017_H_0406","2017/07/21",55.752853,-133.303757,"10",606459.395817604,6179876.14606706
"2017_H_0406","2017/07/21",55.749382,-133.308884,"1",606147.075891984,6179482.04631373
"2017_H_0406","2017/07/21",55.750584,-133.307556,"1",606227.155516242,6179617.83362322
"2017_H_0406","2017/07/21",55.750519,-133.313934,"2",605827.055299468,6179600.84295017
"2017_H_0406","2017/07/21",55.752209,-133.312943,"1",605884.671085047,6179790.4116054
"2017_H_0406","2017/07/21",55.748436,-133.314651,"1",605787.694320928,6179367.96225259
"2017_H_0406","2017/07/21",55.747025,-133.310104,"1",606076.903605047,6179217.90324744
"2017_H_0406","2017/07/21",55.746101,-133.312531,"1",605927.077579448,6179111.37310899
"2017_H_0406","2017/07/21",55.747623,-133.310287,"1",606063.795158058,6179284.16560765
"2017_H_0406","2017/07/21",55.743683,-133.314011,"1",605840.729710706,6178840.04908717
"2017_H_0406","2017/07/21",55.742737,-133.312454,"1",605941.025924647,6178737.16176837
"2017_H_0406","2017/07/21",55.757397,-133.308548,"1",606146.39282407,6180374.43048821
"2017_H_0406","2017/07/21",55.763309,-133.315231,"1",605711.051893995,6181022.07354639
"2017_H_06","2017/07/21",55.766502,-133.318039,"16",605526.256647736,6181373.09574948
"2017_H_06","2017/07/21",55.765156,-133.318375,"10",605508.813584369,6181222.80731286
"2017_H_06","2017/07/21",55.765476,-133.328369,"1",604880.974550132,6181243.24291882
"2017_H_05","2017/07/21",55.840263,-133.218735,"1",611544.754477128,6189736.47546949
"2017_H_05","2017/07/21",55.849903,-133.204849,"1",612386.385325734,6190831.62122812
"2017_H_05","2017/07/21",55.855869,-133.188629,"1",613384.347577834,6191521.93653236
"2017_H_05","2017/07/21",55.856236,-133.185242,"1",613595.262745906,6191568.32775657
"2017_H_05","2017/07/21",55.856026,-133.177948,"1",614052.391082734,6191556.95536142
"2017_H_05","2017/07/21",55.859459,-133.179367,"1",613953.529191735,6191936.62144329
"2017_H_05","2017/07/21",55.863777,-133.179459,"1",613935.13108532,6192416.95112319
"2017_H_05","2017/07/21",55.867065,-133.176315,"1",614122.225476113,6192788.00038915
"2017_H_05","2017/07/21",55.867535,-133.158371,"1",615243.587533554,6192870.03511795
"2017_H_05","2017/07/21",55.86565,-133.161636,"1",615044.872175841,6192654.85196082
"2017_H_05","2017/07/21",55.864269,-133.164276,"1",614883.758462648,6192496.79749432
"2017_H_05","2017/07/21",55.874985,-133.160446,"1",615091.717256042,6193695.57088948
"2017_H_05","2017/07/21",55.877335,-133.161758,"1",615002.694870075,6193954.88303919
"2017_H_05","2017/07/21",55.881207,-133.154221,"1",615462.664114201,6194398.28686532
"2017_H_05","2017/07/21",55.88031,-133.157288,"1",615273.491001666,6194293.36059753
"2017_H_05","2017/07/21",55.88134,-133.156754,"1",615303.838323158,6194408.86235457
"2017_H_05","2017/07/21",55.881824,-133.157211,"1",615273.819915553,6194461.9574279
"2017_H_05","2017/07/21",55.881798,-133.165741,"1",614740.378698652,6194444.88634332
"2017_H_05","2017/07/21",55.845081,-133.190262,"1",613313.530292281,6190318.83797699
"2017_H_05","2017/07/21",55.841194,-133.176086,"1",614212.422466676,6189909.6134459
"2017_H_05","2017/07/21",55.838497,-133.183487,"1",613756.909312809,6189597.32244056
"2017_H_05","2017/07/21",55.842487,-133.200516,"1",612679.076691963,6190013.45520408
"2017_M_05","2017/07/21",55.574718,-133.186798,"4",614317.23008441,6160240.76806053
"2017_M_05","2017/07/21",55.577061,-133.195251,"1",613777.580111912,6160487.59058395
"2017_M_05","2017/07/21",55.584141,-133.191513,"1",613992.689100757,6161281.51048305
"2017_M_05","2017/07/21",55.579254,-133.179504,"1",614763.807436923,6160757.51680733
"2017_M_05","2017/07/21",55.574238,-133.166168,"1",615619.144268051,6160221.51188672
"2017_M_05","2017/07/21",55.577644,-133.169998,"1",615367.712523621,6160594.12464322
"2017_M_05","2017/07/21",55.585167,-133.150909,"1",616548.685998422,6161463.07801799
"2017_M_05","2017/07/21",55.589706,-133.145599,"1",616869.844484355,6161977.05242156
"2017_M_05","2017/07/21",55.588715,-133.165939,"1",615591.029373027,6161832.7360165
"2017_M_05","2017/07/21",55.594154,-133.163498,"1",615728.843886322,6162441.9956603
"2017_M_05","2017/07/21",55.594231,-133.172104,"1",615186.369964492,6162436.25207955
"2017_M_05","2017/07/21",55.599476,-133.167114,"40",615485.37105004,6163028.14991254
"2017_M_05","2017/07/21",55.598778,-133.163666,"10",615704.648256134,6162956.22488915
"2017_M_05","2017/07/21",55.59551,-133.161942,"1",615822.889586188,6162595.47146817
"2017_M_05","2017/07/21",55.59354,-133.156143,"1",616194.082838241,6162385.9607122
"2017_M_05","2017/07/21",55.596802,-133.149536,"1",616600.707962417,6162759.99699744
"2017_M_05","2017/07/21",55.592949,-133.151566,"1",616484.225878282,6162327.87007833
"2017_M_05","2017/07/21",55.596863,-133.140625,"1",617161.951559446,6162781.78620343
"2017_M_05","2017/07/21",55.598591,-133.132355,"1",617677.816882294,6162988.04552806
"2017_M_05","2017/07/21",55.601944,-133.135941,"1",617441.877913267,6163355.05706138
"2017_M_05","2017/07/21",55.603203,-133.129364,"1",617852.422284167,6163506.29017649
"2017_M_05","2017/07/21",55.604221,-133.132401,"1",617658.064293136,6163614.41018319
"2017_M_05","2017/07/21",55.607044,-133.132202,"1",617662.147053231,6163928.85912201
"2017_M_05","2017/07/21",55.602764,-133.124771,"1",618143.069404979,6163465.25012177
"2017_L_01","2017/07/22",55.262192,-133.007324,"1",626627.062928213,6125778.32410672
"2017_L_01","2017/07/22",55.263893,-133.006149,"1",626696.304883415,6125969.71294328
"2017_L_01","2017/07/22",55.264252,-132.983139,"1",628157.074928712,6126051.72108582
"2017_L_01","2017/07/22",55.26775,-132.991913,"1",627588.416063266,6126424.81123811
"2017_L_01","2017/07/22",55.26836,-132.998886,"1",627143.484912643,6126479.93762819
"2017_L_01","2017/07/22",55.270206,-132.992218,"1",627561.167253314,6126697.50752279
"2017_L_01","2017/07/22",55.271648,-132.9991,"1",627119.386385499,6126845.37075015
"2017_L_01","2017/07/22",55.270615,-132.993652,"1",627468.763315014,6126740.38928939
"2017_L_01","2017/07/22",55.269451,-133.010315,"1",626413.964870881,6126580.5337315
"2017_L_01","2017/07/22",55.269085,-133.014175,"2",626169.915911294,6126532.81815727
"2017_L_01","2017/07/22",55.262192,-133.007324,"1",626627.062928213,6125778.32410672
