"","site_code","site_name","latitude_N","longitude_E","date_MMDDYY","date_YYYYMMDD","trans_type","trans_bin","trans_m","pit_bin","sed1_type","sed2_type","sed1_no","sed2_no","sed_avg_no"
"84","H_03_a","Chusini Cove a",55.80692,-133.171,"8/20/2013",20170821,"Outside",4,40,0,"Gravel","Mud",7,1,4
"85","H_03_a","Chusini Cove a",55.80692,-133.171,"8/20/2013",20170821,"Outside",5,50,0,"Gravel","Mud",7,1,4
"86","H_03_a","Chusini Cove a",55.80692,-133.171,"8/20/2013",20170821,"Outside",6,60,0,"Gravel","Mud",7,1,4
"87","H_03_a","Chusini Cove a",55.80692,-133.171,"8/20/2013",20170821,"Outside",7,70,0,"Gravel","Mud",7,1,4
"88","H_03_a","Chusini Cove a",55.80692,-133.171,"8/20/2013",20170821,"Outside",8,80,0,"Mud","Mud",1,1,1
"89","H_03_a","Chusini Cove a",55.80692,-133.171,"8/20/2013",20170821,"Outside",9,90,0,"Gravel","Mud",7,1,4
"90","H_03_a","Chusini Cove a",55.80692,-133.171,"8/20/2013",20170821,"Outside",10,100,0,"Gravel","Mud",7,1,4
"91","H_04_a","Kaguk Cove a",55.73361,-133.29,"7/7/13",20170707,"Edge",1,10,0,"Sandy mud","Mud",2,1,1.5
"92","H_04_a","Kaguk Cove a",55.73361,-133.29,"7/7/13",20170707,"Edge",2,20,0,"Sandy mud","Mud",2,1,1.5
"93","H_04_a","Kaguk Cove a",55.73361,-133.29,"7/7/13",20170707,"Edge",3,30,6,"Sand","Pebble",4,6,5
"94","H_04_a","Kaguk Cove a",55.73361,-133.29,"7/7/13",20170707,"Edge",4,40,9,"Sandy mud","Sand",2,4,3
"95","H_04_a","Kaguk Cove a",55.73361,-133.29,"7/7/13",20170707,"Edge",5,50,0,"Sandy mud","Muddy sand",2,3,2.5
"96","H_04_a","Kaguk Cove a",55.73361,-133.29,"7/7/13",20170707,"Edge",6,60,1,"Sandy mud","Cobble",2,8,5
"97","H_04_a","Kaguk Cove a",55.73361,-133.29,"7/7/13",20170707,"Edge",7,70,1,"Sandy mud","Cobble",2,8,5
"98","H_04_a","Kaguk Cove a",55.73361,-133.29,"7/7/13",20170707,"Edge",8,80,2,"Sandy mud","Sandy mud",2,2,2
"99","H_04_a","Kaguk Cove a",55.73361,-133.29,"7/7/13",20170707,"Edge",9,90,4,"Sandy mud","Sandy mud",2,2,2
"100","H_04_a","Kaguk Cove a",55.73361,-133.29,"7/7/13",20170707,"Edge",10,100,2,"Sandy mud","Sandy mud",2,2,2
"101","H_04_a","Kaguk Cove a",55.73361,-133.29,"7/7/13",20170707,"Inside",1,10,0,"Sandy mud","Sandy mud",2,2,2
"102","H_04_a","Kaguk Cove a",55.73361,-133.29,"7/7/13",20170707,"Inside",2,20,0,"Sandy mud","Sandy mud",2,2,2
"103","H_04_a","Kaguk Cove a",55.73361,-133.29,"7/7/13",20170707,"Inside",3,30,1,"Mud","Mud",1,1,1
"104","H_04_a","Kaguk Cove a",55.73361,-133.29,"7/7/13",20170707,"Inside",4,40,1,"Mud","Mud",1,1,1
"105","H_04_a","Kaguk Cove a",55.73361,-133.29,"7/7/13",20170707,"Inside",5,50,0,"Mud","Mud",1,1,1
"106","H_04_a","Kaguk Cove a",55.73361,-133.29,"7/7/13",20170707,"Inside",6,60,0,"Mud","Mud",1,1,1
"107","H_04_a","Kaguk Cove a",55.73361,-133.29,"7/7/13",20170707,"Inside",7,70,0,"Mud","Mud",1,1,1
"108","H_04_a","Kaguk Cove a",55.73361,-133.29,"7/7/13",20170707,"Inside",8,80,0,"Mud","Mud",1,1,1
"109","H_04_a","Kaguk Cove a",55.73361,-133.29,"7/7/13",20170707,"Inside",9,90,0,"Mud","Mud",1,1,1
"110","H_04_a","Kaguk Cove a",55.73361,-133.29,"7/7/13",20170707,"Inside",10,100,0,"Mud","Mud",1,1,1
"111","H_04_a","Kaguk Cove a",55.73361,-133.29,"7/7/13",20170707,"Outside",1,10,0,"Mud","Sandy mud",1,2,1.5
"112","H_04_a","Kaguk Cove a",55.73361,-133.29,"7/7/13",20170707,"Outside",2,20,0,"Mud","Sandy mud",1,2,1.5
"113","H_04_a","Kaguk Cove a",55.73361,-133.29,"7/7/13",20170707,"Outside",3,30,8,"Sand","Sand",4,4,4
"114","H_04_a","Kaguk Cove a",55.73361,-133.29,"7/7/13",20170707,"Outside",4,40,9,"Sand","Pebble",4,6,5
"115","H_04_a","Kaguk Cove a",55.73361,-133.29,"7/7/13",20170707,"Outside",5,50,3,"Sand","Pebble",4,6,5
"116","H_04_a","Kaguk Cove a",55.73361,-133.29,"7/7/13",20170707,"Outside",6,60,1,"Sand","Cobble",4,8,6
"117","H_04_a","Kaguk Cove a",55.73361,-133.29,"7/7/13",20170707,"Outside",7,70,0,"Sand","Cobble",4,8,6
"118","H_04_a","Kaguk Cove a",55.73361,-133.29,"7/7/13",20170707,"Outside",8,80,1,"Muddy Sand","Cobble",3,8,5.5
"119","H_04_a","Kaguk Cove a",55.73361,-133.29,"7/7/13",20170707,"Outside",9,90,0,"Muddy Sand","Cobble",3,8,5.5
"120","H_04_a","Kaguk Cove a",55.73361,-133.29,"7/7/13",20170707,"Outside",10,100,0,"Muddy Sand","Sand",3,4,3.5
"121","H_05_a","Naukati Bay a",55.862405,-133.190722,"7/24/2013",20170725,"Edge",1,10,0,"Sandy mud","Gravel",2,7,4.5
"122","H_05_a","Naukati Bay a",55.862405,-133.190722,"7/24/2013",20170725,"Edge",2,20,0,"Sandy mud","Gravel",2,7,4.5
"123","H_05_a","Naukati Bay a",55.862405,-133.190722,"7/24/2013",20170725,"Edge",3,30,0,"Sandy mud","Gravel",2,7,4.5
"124","H_05_a","Naukati Bay a",55.862405,-133.190722,"7/24/2013",20170725,"Edge",4,40,0,"Sandy mud","Gravel",2,7,4.5
"125","H_05_a","Naukati Bay a",55.862405,-133.190722,"7/24/2013",20170725,"Edge",5,50,1,"Sandy mud","Gravel",2,7,4.5
"126","H_05_a","Naukati Bay a",55.862405,-133.190722,"7/24/2013",20170725,"Edge",6,60,0,"Sandy mud","Gravel",2,7,4.5
"127","H_05_a","Naukati Bay a",55.862405,-133.190722,"7/24/2013",20170725,"Edge",7,70,0,"Sandy mud","Sandy mud",2,2,2
"128","H_05_a","Naukati Bay a",55.862405,-133.190722,"7/24/2013",20170725,"Edge",8,80,0,"Sandy mud","Sandy mud",2,2,2
"129","H_05_a","Naukati Bay a",55.862405,-133.190722,"7/24/2013",20170725,"Edge",9,90,0,"Sandy mud","Mud",2,1,1.5
"130","H_05_a","Naukati Bay a",55.862405,-133.190722,"7/24/2013",20170725,"Edge",10,100,0,"Sandy mud","Mud",2,1,1.5
"131","H_05_a","Naukati Bay a",55.862405,-133.190722,"7/24/2013",20170725,"Inside",1,10,0,"Mud","Mud",1,1,1
"132","H_05_a","Naukati Bay a",55.862405,-133.190722,"7/24/2013",20170725,"Inside",2,20,0,"Mud","Mud",1,1,1
"133","H_05_a","Naukati Bay a",55.862405,-133.190722,"7/24/2013",20170725,"Inside",3,30,0,"Mud","Mud",1,1,1
"134","H_05_a","Naukati Bay a",55.862405,-133.190722,"7/24/2013",20170725,"Inside",4,40,0,"Mud","Mud",1,1,1
"135","H_05_a","Naukati Bay a",55.862405,-133.190722,"7/24/2013",20170725,"Inside",5,50,0,"Mud","Mud",1,1,1
"136","H_05_a","Naukati Bay a",55.862405,-133.190722,"7/24/2013",20170725,"Inside",6,60,0,"Mud","Mud",1,1,1
"137","H_05_a","Naukati Bay a",55.862405,-133.190722,"7/24/2013",20170725,"Inside",7,70,0,"Mud","Mud",1,1,1
"138","H_05_a","Naukati Bay a",55.862405,-133.190722,"7/24/2013",20170725,"Inside",8,80,1,"Mud","Mud",1,1,1
"139","H_05_a","Naukati Bay a",55.862405,-133.190722,"7/24/2013",20170725,"Inside",9,90,0,"Mud","Mud",1,1,1
"140","H_05_a","Naukati Bay a",55.862405,-133.190722,"7/24/2013",20170725,"Inside",10,100,0,"Mud","Mud",1,1,1
"141","H_05_a","Naukati Bay a",55.862405,-133.190722,"7/24/2013",20170725,"Outside",1,10,3,"Sand","Gravel",4,7,5.5
"142","H_05_a","Naukati Bay a",55.862405,-133.190722,"7/24/2013",20170725,"Outside",2,20,6,"Sand","Gravel",4,7,5.5
"143","H_05_a","Naukati Bay a",55.862405,-133.190722,"7/24/2013",20170725,"Outside",3,30,7,"Sand","Gravel",4,7,5.5
"144","H_05_a","Naukati Bay a",55.862405,-133.190722,"7/24/2013",20170725,"Outside",4,40,7,"Sand","Gravel",4,7,5.5
"145","H_05_a","Naukati Bay a",55.862405,-133.190722,"7/24/2013",20170725,"Outside",5,50,6,"Coarse Sand","Gravel",5,7,6
"146","H_05_a","Naukati Bay a",55.862405,-133.190722,"7/24/2013",20170725,"Outside",6,60,5,"Coarse Sand","Gravel",5,7,6
"147","H_05_a","Naukati Bay a",55.862405,-133.190722,"7/24/2013",20170725,"Outside",7,70,3,"Coarse Sand","Gravel",5,7,6
"148","H_05_a","Naukati Bay a",55.862405,-133.190722,"7/24/2013",20170725,"Outside",8,80,14,"Coarse Sand","Gravel",5,7,6
"149","H_05_a","Naukati Bay a",55.862405,-133.190722,"7/24/2013",20170725,"Outside",9,90,25,"Coarse Sand","Gravel",5,7,6
"150","H_05_a","Naukati Bay a",55.862405,-133.190722,"7/24/2013",20170725,"Outside",10,100,5,"Gravel","Sand",7,4,5.5
"151","H_06_a","Guktu Bay a",55.739816,-133.31202,"7/23/2013",20170724,"Edge",1,10,15,"Muddy Sand","Pebble",3,6,4.5
"152","H_06_a","Guktu Bay a",55.739816,-133.31202,"7/23/2013",20170724,"Edge",2,20,8,"Sandy mud","Sand",2,4,3
"153","H_06_a","Guktu Bay a",55.739816,-133.31202,"7/23/2013",20170724,"Edge",3,30,7,"Sandy mud","Sand",2,4,3
"154","H_06_a","Guktu Bay a",55.739816,-133.31202,"7/23/2013",20170724,"Edge",4,40,9,"Mud","Sandy mud",1,2,1.5
"155","H_06_a","Guktu Bay a",55.739816,-133.31202,"7/23/2013",20170724,"Edge",5,50,12,"Mud","Mud",1,1,1
"156","H_06_a","Guktu Bay a",55.739816,-133.31202,"7/23/2013",20170724,"Edge",6,60,9,"Mud","Mud",1,1,1
"157","H_06_a","Guktu Bay a",55.739816,-133.31202,"7/23/2013",20170724,"Edge",7,70,15,"Mud","Mud",1,1,1
"158","H_06_a","Guktu Bay a",55.739816,-133.31202,"7/23/2013",20170724,"Edge",8,80,5,"Mud","Mud",1,1,1
"159","H_06_a","Guktu Bay a",55.739816,-133.31202,"7/23/2013",20170724,"Edge",9,90,10,"Mud","Mud",1,1,1
"160","H_06_a","Guktu Bay a",55.739816,-133.31202,"7/23/2013",20170724,"Edge",10,100,6,"Mud","Mud",1,1,1
"161","H_06_a","Guktu Bay a",55.739816,-133.31202,"7/23/2013",20170724,"Inside",1,10,5,"Muddy Sand","Mud",3,1,2
"162","H_06_a","Guktu Bay a",55.739816,-133.31202,"7/23/2013",20170724,"Inside",2,20,5,"Mud","Mud",1,1,1
"163","H_06_a","Guktu Bay a",55.739816,-133.31202,"7/23/2013",20170724,"Inside",3,30,3,"Mud","Mud",1,1,1
"164","H_06_a","Guktu Bay a",55.739816,-133.31202,"7/23/2013",20170724,"Inside",4,40,3,"Mud","Mud",1,1,1
"165","H_06_a","Guktu Bay a",55.739816,-133.31202,"7/23/2013",20170724,"Inside",5,50,6,"Mud","Mud",1,1,1
"166","H_06_a","Guktu Bay a",55.739816,-133.31202,"7/23/2013",20170724,"Inside",6,60,4,"Mud","Mud",1,1,1
"167","H_06_a","Guktu Bay a",55.739816,-133.31202,"7/23/2013",20170724,"Inside",7,70,2,"Mud","Mud",1,1,1
"168","H_06_a","Guktu Bay a",55.739816,-133.31202,"7/23/2013",20170724,"Inside",8,80,9,"Mud","Mud",1,1,1
"169","H_06_a","Guktu Bay a",55.739816,-133.31202,"7/23/2013",20170724,"Inside",9,90,2,"Mud","Mud",1,1,1
"170","H_06_a","Guktu Bay a",55.739816,-133.31202,"7/23/2013",20170724,"Inside",10,100,7,"Mud","Mud",1,1,1
"171","H_06_a","Guktu Bay a",55.739816,-133.31202,"7/23/2013",20170724,"Outside",1,10,4,"Muddy Sand","Mud",3,1,2
"172","H_06_a","Guktu Bay a",55.739816,-133.31202,"7/23/2013",20170724,"Outside",2,20,15,"Pebble","Sand",6,4,5
"173","H_06_a","Guktu Bay a",55.739816,-133.31202,"7/23/2013",20170724,"Outside",3,30,14,"Muddy Sand","Pebble",3,6,4.5
"174","H_06_a","Guktu Bay a",55.739816,-133.31202,"7/23/2013",20170724,"Outside",4,40,22,"Muddy Sand","Pebble",3,6,4.5
"175","H_06_a","Guktu Bay a",55.739816,-133.31202,"7/23/2013",20170724,"Outside",5,50,19,"Mud","Cobble",1,8,4.5
"176","H_06_a","Guktu Bay a",55.739816,-133.31202,"7/23/2013",20170724,"Outside",6,60,12,"Mud","Gravel",1,7,4
"177","H_06_a","Guktu Bay a",55.739816,-133.31202,"7/23/2013",20170724,"Outside",7,70,7,"Mud","Mud",1,1,1
"178","H_06_a","Guktu Bay a",55.739816,-133.31202,"7/23/2013",20170724,"Outside",8,80,4,"Mud","Mud",1,1,1
"179","H_06_a","Guktu Bay a",55.739816,-133.31202,"7/23/2013",20170724,"Outside",9,90,2,"Mud","Mud",1,1,1
"180","H_06_a","Guktu Bay a",55.739816,-133.31202,"7/23/2013",20170724,"Outside",10,100,3,"Mud","Sandy mud",1,2,1.5
