"","latitude_N","longitude_E","layer_number","layer_thickness_cm","pan_weight","pan_sed_ww_pre_60C","pan_sed_dw_post_60C","pan_sed_dw_pre_450C","pan_sed_dw_post450C","crucible_weight","crucible_sed_dw_pre_950C","crucible_sed_dw_post_950C","site_code"
"86",55.67264,-133.378,10,0.9,1.27653,32.94226,23.98555,23.98555,21.63157,NA,NA,NA,"2017_H_01"
"87",55.67264,-133.378,11,0.9,1.28245,34.14386,25.66709,25.66709,23.45582,NA,NA,NA,"2017_H_01"
"88",55.67264,-133.378,12,0.9,1.28335,37.94031,29.94762,29.94762,28.03093,27.12313,55.67862,53.27965,"2017_H_01"
"89",55.67264,-133.378,13,0.8,1.28029,29.01294,21.68776,21.68776,19.71014,NA,NA,NA,"2017_H_01"
"90",55.67264,-133.378,14,0.9,1.29542,30.59581,22.18805,22.18805,20.41719,NA,NA,NA,"2017_H_01"
"91",55.67264,-133.378,15,0.9,1.29186,34.92765,25.98728,25.98728,23.7796,NA,NA,NA,"2017_H_01"
"92",55.67264,-133.378,16,0.9,1.29424,34.70211,27.2846,27.2846,25.26674,NA,NA,NA,"2017_H_01"
"93",55.67264,-133.378,17,1,1.27953,42.6356,34.927,34.927,32.70384,24.96815,58.22798,53.75194,"2017_H_01"
"94",55.67264,-133.378,18,0.7,1.29405,31.0239,26.36844,26.36844,24.42393,NA,NA,NA,"2017_H_01"
"95",55.67264,-133.378,19,1,1.28679,42.02636,36.05597,36.05597,34.28464,NA,NA,NA,"2017_H_01"
"96",55.67264,-133.378,20,1,1.28756,41.22818,35.66005,35.66005,33.74538,NA,NA,NA,"2017_H_01"
"97",55.26366,-132.995,1,1.5,1.3127,55.38067,40.64282,40.64282,38.25293,NA,NA,NA,"2017_L_01"
"98",55.26366,-132.995,2,1.3,1.29973,53.16598,40.05411,40.05411,37.59172,26.92544,65.1572,62.46189,"2017_L_01"
"99",55.26366,-132.995,3,1.3,1.30294,51.56751,39.31645,39.31645,35.13885,NA,NA,NA,"2017_L_01"
"100",55.26366,-132.995,4,1.2,1.26919,49.45623,37.56088,37.56088,35.23741,NA,NA,NA,"2017_L_01"
"101",55.26366,-132.995,5,1.4,1.32715,52.81782,39.64214,39.64214,37.15544,NA,NA,NA,"2017_L_01"
"102",55.26366,-132.995,6,1.3,1.28462,49.24359,36.40923,36.40923,33.68014,NA,NA,NA,"2017_L_01"
"103",55.26366,-132.995,7,1.2,1.29831,45.87103,33.28286,33.28286,30.38641,26.70549,57.92757,54.80498,"2017_L_01"
"104",55.26366,-132.995,8,1.3,1.29578,51.54713,38.59706,38.59706,36.04487,NA,NA,NA,"2017_L_01"
"105",55.26366,-132.995,9,1.2,1.28319,47.84339,36.05944,36.05944,33.50217,NA,NA,NA,"2017_L_01"
"106",55.26366,-132.995,10,1.3,1.28174,51.17329,39.0877,39.0877,36.40145,NA,NA,NA,"2017_L_01"
"107",55.26366,-132.995,11,1.3,1.29089,51.10914,39.32175,39.32175,37.25215,NA,NA,NA,"2017_L_01"
"108",55.26366,-132.995,12,1.4,1.29725,54.71964,41.81554,41.81554,38.97783,28.00084,67.75336,64.76268,"2017_L_01"
"109",55.26366,-132.995,13,1.3,1.29277,53.20262,40.73557,40.73557,37.69081,NA,NA,NA,"2017_L_01"
"110",55.26366,-132.995,14,1.4,1.2607,53.68241,41.33775,41.33775,38.90745,NA,NA,NA,"2017_L_01"
"111",55.26366,-132.995,15,1.2,1.2923,50.62334,39.16674,39.16674,36.6057,NA,NA,NA,"2017_L_01"
"112",55.26366,-132.995,16,1.3,1.29781,50.8622,39.05067,39.05067,36.82535,NA,NA,NA,"2017_L_01"
"113",55.26366,-132.995,17,1.2,1.2954,49.87483,38.22054,38.22054,35.84657,25.75641,62.28393,59.32626,"2017_L_01"
"114",55.26366,-132.995,18,1.1,1.29554,43.73773,33.2774,33.2774,30.85387,NA,NA,NA,"2017_L_01"
"115",55.26366,-132.995,19,1.3,1.27834,51.38042,38.47168,38.47168,35.97865,NA,NA,NA,"2017_L_01"
"116",55.0848,-132.826,1,1.1,1.30343,34.26089,21.85335,21.85335,19.6409,NA,NA,NA,"2017_L_05"
"117",55.0848,-132.826,2,0.8,1.32089,33.60274,27.23109,27.23109,25.1266,26.70737,46.66426,44.55102,"2017_L_05"
"118",55.0848,-132.826,3,0.9,1.27498,38.80583,31.32908,31.32908,28.20695,NA,NA,NA,"2017_L_05"
"119",55.0848,-132.826,4,0.9,1.24966,38.64811,31.03898,31.03898,28.45014,NA,NA,NA,"2017_L_05"
"120",55.0848,-132.826,5,0.8,1.30298,32.50758,26.12023,26.12023,23.94263,NA,NA,NA,"2017_L_05"
"121",55.0848,-132.826,6,1,1.29853,39.06652,31.35117,31.35117,29.3849,NA,NA,NA,"2017_L_05"
"122",55.0848,-132.826,7,0.6,1.28897,25.87755,20.67617,20.67617,17.48553,25.18351,54.9244,52.63207,"2017_L_05"
"123",55.0848,-132.826,8,1,1.27704,38.03399,29.47939,29.47939,27.44191,NA,NA,NA,"2017_L_05"
"124",55.0848,-132.826,9,0.8,1.2743,29.6053,23.77829,23.77829,21.97111,NA,NA,NA,"2017_L_05"
"125",55.0848,-132.826,10,0.9,1.29648,40.5063,34.04466,34.04466,31.34516,NA,NA,NA,"2017_L_05"
"126",55.0848,-132.826,11,0.9,1.27823,35.58289,29.67543,29.67543,27.92614,NA,NA,NA,"2017_L_05"
"127",55.0848,-132.826,12,1,1.29096,41.02454,33.3988,33.3988,31.09908,28.14649,56.41686,54.13839,"2017_L_05"
"128",55.0848,-132.826,13,0.8,1.2818,36.9162,31.67875,31.67875,29.60266,NA,NA,NA,"2017_L_05"
"129",55.0848,-132.826,14,0.9,1.29452,45.02112,40.08909,40.08909,38.41425,NA,NA,NA,"2017_L_05"
"130",55.0848,-132.826,15,0.9,1.30714,34.72462,29.90043,29.90043,28.01439,NA,NA,NA,"2017_L_05"
"131",55.0848,-132.826,16,0.8,1.28188,39.54759,34.89626,34.89626,33.11949,NA,NA,NA,"2017_L_05"
"132",55.0848,-132.826,17,0.9,1.25153,43.43618,38.26904,38.26904,36.38583,26.40811,59.78589,57.34262,"2017_L_05"
"133",55.0848,-132.826,18,0.8,1.28604,36.34306,31.89184,31.89184,30.08753,NA,NA,NA,"2017_L_05"
"134",55.0848,-132.826,19,0.9,1.29194,39.29634,33.63072,33.63072,31.63181,NA,NA,NA,"2017_L_05"
"135",55.0848,-132.826,20,0.8,1.25774,32.63294,28.0874,28.0874,26.09344,NA,NA,NA,"2017_L_05"
"136",55.0848,-132.826,21,0.9,1.29804,41.0332,35.09534,35.09534,33.06244,NA,NA,NA,"2017_L_05"
"137",55.0848,-132.826,22,0.8,1.31074,34.26401,29.87649,29.87649,27.91047,28.56188,61.95224,59.28931,"2017_L_05"
