Zone,Year,Status,Season,Age,Prey Cat,Kcal_min,Proportion,g_min,Long-Term,sd L-T,CL95L L-T,CL95H L-T,sd bouts,CL95L bouts,CL95H bouts,Nbouts,Ndives,MnDvTm,sdDvTm,MnSfTm,sdSfTm,Succrate,Diversity
,,,Summer,,,,,,6.732494466,0.307646808,6.129506722,7.335482209,3.995294907,2.35246694,14.28518435,186,1758,91.0619349,40.48676303,59.18506494,42.28033259,0.90490254,0.845049398
,,,Spring,,Clam,6.364035753,0.829911455,8.513260111,,,,,,,,,,,,,,,
,,,Spring,,Crab,0.262613781,0.028952645,0.296724439,,,,,,,,,,,,,,,
,,,Spring,,Cucumber,0.139986166,0.060335387,0.619825929,,,,,,,,,,,,,,,
,,,Spring,,Mussel,0.091592226,0.011871019,0.121676122,,,,,,,,,,,,,,,
,,,Spring,,Snail,0.33395923,0.028512585,0.292247779,,,,,,,,,,,,,,,
,,,Spring,,Star,0.143612164,0.00897536,0.092008257,,,,,,,,,,,,,,,
,,,Spring,,Urchin,0.291559496,0.012503524,0.128138595,,,,,,,,,,,,,,,
,,,Spring,,"Bivalve, other",0.084918728,0.010694627,0.10981739,,,,,,,,,,,,,,,
,,,Spring,,Ablaone,0.016068565,0.001366582,0.014048245,,,,,,,,,,,,,,,
,,,Spring,,Chiton,0.037774819,0.004686678,0.048066382,,,,,,,,,,,,,,,
,,,Spring,,Worm,0.003335772,0.00054508,0.005579003,,,,,,,,,,,,,,,
,,,Spring,,Shrimp,0.000584517,8.37237E-05,0.000858017,,,,,,,,,,,,,,,
,,,Spring,,Other,0.017843743,0.001561336,0.01599488,,,,,,,,,,,,,,,
,,,Summer,,Clam,5.322045401,0.786380818,7.158608637,,,,,,,,,,,,,,,
,,,Summer,,Crab,0.37337311,0.046310789,0.421298013,,,,,,,,,,,,,,,
,,,Summer,,Cucumber,0.222177707,0.107659374,0.981365218,,,,,,,,,,,,,,,
,,,Summer,,Mussel,0.013178785,0.00215235,0.019549561,,,,,,,,,,,,,,,
,,,Summer,,Snail,0.163856075,0.015725182,0.143020006,,,,,,,,,,,,,,,
,,,Summer,,Star,0.079617966,0.005539617,0.050391054,,,,,,,,,,,,,,,
,,,Summer,,Urchin,0.435037262,0.022458156,0.204538639,,,,,,,,,,,,,,,
,,,Summer,,"Bivalve, other",0.014528375,0.001802374,0.016401837,,,,,,,,,,,,,,,
,,,Summer,,Ablaone,0.012195051,0.001210951,0.011024629,,,,,,,,,,,,,,,
,,,Summer,,Chiton,0.021562049,0.002980248,0.027072956,,,,,,,,,,,,,,,
,,,Summer,,Worm,0.002303431,0.000437789,0.003982419,,,,,,,,,,,,,,,
,,,Summer,,Shrimp,0.033741815,0.002992985,0.0272152,,,,,,,,,,,,,,,
,,,Summer,,Other,0.016959643,0.004349369,0.039656876,,,,,,,,,,,,,,,
,1988,,,,,,,,5.462578953,0.560648414,4.363708062,6.561449845,3.486332995,1.78800239,12.01786886,49,465,104.605042,46.18007837,58.37237762,39.67692831,0.902004454,1.055400031
,2003,,,,,,,,7.043154097,0.238611923,6.575474729,7.510833466,3.832313832,2.681504718,14.29417603,255,2704,83.67628866,43.57739287,52.24344682,39.9510373,0.895993837,0.909515674
,2010,,,,,,,,11.51834608,0.848055653,9.856156997,13.18053516,6.613051346,4.187521725,24.00797083,58,354,101.9017467,41.61269212,85.16515837,50.62912464,0.90881459,0.388405181
,1988,,,,Clam,3.648254678,0.748241721,5.119231707,,,,,,,,,,,,,,,
,1988,,,,Crab,0.356046507,0.059107604,0.403788925,,,,,,,,,,,,,,,
,1988,,,,Cucumber,0.072542641,0.045846104,0.316798149,,,,,,,,,,,,,,,
,1988,,,,Mussel,0.217109176,0.040308312,0.275369444,,,,,,,,,,,,,,,
,1988,,,,Snail,0.11150118,0.014308899,0.097940867,,,,,,,,,,,,,,,
,1988,,,,Star,0.050637806,0.004672518,0.032027837,,,,,,,,,,,,,,,
,1988,,,,Urchin,0.754117874,0.044323471,0.304628686,,,,,,,,,,,,,,,
,1988,,,,"Bivalve, other",0.147834473,0.027425248,0.193876814,,,,,,,,,,,,,,,
,1988,,,,Ablaone,0,0,0,,,,,,,,,,,,,,,
,1988,,,,Chiton,0.06726243,0.011949567,0.082145139,,,,,,,,,,,,,,,
,1988,,,,Worm,0.00341262,0.000920935,0.006261221,,,,,,,,,,,,,,,
,1988,,,,Shrimp,0.005984127,0.000695219,0.004765941,,,,,,,,,,,,,,,
,1988,,,,Other,0.016513709,0.002200403,0.014939108,,,,,,,,,,,,,,,
,2003,,,,Clam,5.380242267,0.775411013,7.252268142,,,,,,,,,,,,,,,
,2003,,,,Crab,0.401612063,0.048565497,0.454090117,,,,,,,,,,,,,,,
,2003,,,,Cucumber,0.199117158,0.092721352,0.868026756,,,,,,,,,,,,,,,
,2003,,,,Mussel,0.014071538,0.002119737,0.01981355,,,,,,,,,,,,,,,
,2003,,,,Snail,0.414221414,0.038735909,0.362237365,,,,,,,,,,,,,,,
,2003,,,,Star,0.149921325,0.010192267,0.095252328,,,,,,,,,,,,,,,
,2003,,,,Urchin,0.305049529,0.016719562,0.156319201,,,,,,,,,,,,,,,
,2003,,,,"Bivalve, other",0.026092978,0.003322484,0.031075368,,,,,,,,,,,,,,,
,2003,,,,Ablaone,0.019080985,0.001807796,0.016918605,,,,,,,,,,,,,,,
,2003,,,,Chiton,0.01864069,0.002740567,0.025629091,,,,,,,,,,,,,,,
,2003,,,,Worm,0.003038218,0.000557931,0.00521482,,,,,,,,,,,,,,,
,2003,,,,Shrimp,0.035957966,0.003100019,0.028976145,,,,,,,,,,,,,,,
,2003,,,,Other,0.021609155,0.004005864,0.037439714,,,,,,,,,,,,,,,
,2010,,,,Clam,10.71952393,0.900093935,13.96929492,,,,,,,,,,,,,,,
,2010,,,,Crab,0.013625715,0.00102522,0.01584969,,,,,,,,,,,,,,,
,2010,,,,Cucumber,0.307237669,0.085693774,1.334331217,,,,,,,,,,,,,,,
,2010,,,,Mussel,0.029474467,0.00385478,0.059734825,,,,,,,,,,,,,,,
,2010,,,,Snail,5.46E-06,3.35E-07,5.14E-06,,,,,,,,,,,,,,,
,2010,,,,Star,0.004206253,0.000190132,0.002957013,,,,,,,,,,,,,,,
,2010,,,,Urchin,0.186771575,0.004130821,0.064003962,,,,,,,,,,,,,,,
,2010,,,,"Bivalve, other",0.034346454,0.002250676,0.03479843,,,,,,,,,,,,,,,
,2010,,,,Ablaone,0,0,0,,,,,,,,,,,,,,,
,2010,,,,Chiton,0.036387843,0.002686889,0.041554382,,,,,,,,,,,,,,,
,2010,,,,Worm,0.000846482,7.34E-05,0.001136801,,,,,,,,,,,,,,,
,2010,,,,Shrimp,0,0,0,,,,,,,,,,,,,,,
,2010,,,,Other,0,0,0,,,,,,,,,,,,,,,
,,,,Adult,,,,,7.240077,0.257917,6.73456,7.745594,3.931127,2.7629,14.67754,230,2481,86.42939,43.73494,55.99706,41.80798,0.900336,0.860101
,,,,Juvenile,,,,,5.782566106,0.580977788,4.643849641,6.921282571,3.644162869,1.929740606,12.62800362,30,310,83.5,43.54240917,56.86445013,43.62902515,0.877622378,0.784062018
,,,,Juvenile,Clam,4.632536874,0.831361335,6.203950634,,,,,,,,,,,,,,,
