geo_region,site_name,site_code,so_region,latitude_N,longitude_E,date_mm.dd.yyyy,year,replicate,n_otter
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.56424,-133.233795,1/8/18,2018,2,1
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.56382,-133.230164,1/8/18,2018,2,1
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.562832,-133.228546,1/8/18,2018,2,1
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.564365,-133.225616,1/8/18,2018,2,1
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.562843,-133.222885,1/8/18,2018,2,4
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.557297,-133.231445,1/8/18,2018,2,3
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.560383,-133.233398,1/8/18,2018,2,1
"west prince of wales island, alaska",Blanquizal Bay a,H_07_a,High,55.610851,-133.3797,5/8/17,2018,2,1
"west prince of wales island, alaska",Blanquizal Bay a,H_07_a,High,55.613522,-133.390121,5/8/17,2018,2,2
"west prince of wales island, alaska",Blanquizal Bay a,H_07_a,High,55.618225,-133.420349,5/8/17,2018,2,2
"west prince of wales island, alaska",Blanquizal Bay a,H_07_a,High,55.61319,-133.439087,5/8/17,2018,2,1
"west prince of wales island, alaska",Blanquizal Bay a,H_07_a,High,55.621204,-133.44194,5/8/17,2018,2,1
"west prince of wales island, alaska",Blanquizal Bay a,H_07_a,High,55.625046,-133.428375,5/8/17,2018,2,1
"west prince of wales island, alaska",Blanquizal Bay a,H_07_a,High,55.629696,-133.437851,5/8/17,2018,2,1
"west prince of wales island, alaska",Blanquizal Bay a,H_07_a,High,55.625381,-133.418106,5/8/17,2018,2,1
"west prince of wales island, alaska",Blanquizal Bay a,H_07_a,High,55.632233,-133.435104,5/8/17,2018,2,52
"west prince of wales island, alaska",Blanquizal Bay a,H_07_a,High,55.637421,-133.432312,5/8/17,2018,2,2
"west prince of wales island, alaska",Blanquizal Bay a,H_07_a,High,55.6315,-133.424042,5/8/17,2018,2,1
"west prince of wales island, alaska",Blanquizal Bay a,H_07_a,High,55.618866,-133.404007,5/8/17,2018,2,1
"west prince of wales island, alaska",Blanquizal Bay a,H_07_a,High,55.622704,-133.403503,5/8/17,2018,2,2
"west prince of wales island, alaska",Blanquizal Bay a,H_07_a,High,55.625313,-133.394104,5/8/17,2018,2,1
"west prince of wales island, alaska",Blanquizal Bay a,H_07_a,High,55.644024,-133.40918,5/8/17,2018,2,1
"west prince of wales island, alaska",Blanquizal Bay a,H_07_a,High,55.613934,-133.38649,25/6/18,2018,1,1
"west prince of wales island, alaska",Blanquizal Bay a,H_07_a,High,55.615826,-133.40889,25/6/18,2018,1,1
"west prince of wales island, alaska",Blanquizal Bay a,H_07_a,High,55.631531,-133.435638,25/6/18,2018,1,36
"west prince of wales island, alaska",Blanquizal Bay a,H_07_a,High,55.637405,-133.432663,25/6/18,2018,1,1
"west prince of wales island, alaska",Blanquizal Bay a,H_07_a,High,55.61681,-133.407501,25/6/18,2018,1,1
"west prince of wales island, alaska",Blanquizal Bay a,H_07_a,High,55.621155,-133.407852,25/6/18,2018,1,1
"west prince of wales island, alaska",Blanquizal Bay a,H_07_a,High,55.627777,-133.398987,25/6/18,2018,1,4
"west prince of wales island, alaska",Blanquizal Bay a,H_07_a,High,55.628536,-133.40657,25/6/18,2018,1,3
"west prince of wales island, alaska",Blanquizal Bay a,H_07_a,High,55.638103,-133.404953,25/6/18,2018,1,1
"west prince of wales island, alaska",Blanquizal Bay a,H_07_a,High,55.635418,-133.403946,25/6/18,2018,1,1
"west prince of wales island, alaska",Blanquizal Bay a,H_07_a,High,55.643497,-133.410248,25/6/18,2018,1,1
"west prince of wales island, alaska",Blanquizal Bay a,H_07_a,High,55.646755,-133.410156,25/6/18,2018,1,1
"west prince of wales island, alaska",Chusini Cove b,H_03_b,High,55.830921,-133.198334,6/7/18,2018,1,1
"west prince of wales island, alaska",Chusini Cove b,H_03_b,High,55.814926,-133.190964,6/7/18,2018,1,31
"west prince of wales island, alaska",Chusini Cove b,H_03_b,High,55.816231,-133.186447,6/7/18,2018,1,3
"west prince of wales island, alaska",Chusini Cove b,H_03_b,High,55.818256,-133.182419,6/7/18,2018,1,1
"west prince of wales island, alaska",Chusini Cove b,H_03_b,High,55.814758,-133.178497,6/7/18,2018,1,3
"west prince of wales island, alaska",Chusini Cove b,H_03_b,High,55.816265,-133.17923,6/7/18,2018,1,1
"west prince of wales island, alaska",Chusini Cove b,H_03_b,High,55.816895,-133.178818,6/7/18,2018,1,1
"west prince of wales island, alaska",Chusini Cove b,H_03_b,High,55.812908,-133.176697,6/7/18,2018,1,2
"west prince of wales island, alaska",Chusini Cove b,H_03_b,High,55.811142,-133.174576,6/7/18,2018,1,1
"west prince of wales island, alaska",Chusini Cove b,H_03_b,High,55.820961,-133.183426,6/7/18,2018,1,3
"west prince of wales island, alaska",Chusini Cove b,H_03_b,High,55.818676,-133.182999,6/7/18,2018,1,1
"west prince of wales island, alaska",Chusini Cove b,H_03_b,High,55.821598,-133.181885,6/7/18,2018,1,2
"west prince of wales island, alaska",Chusini Cove b,H_03_b,High,55.825981,-133.190613,6/7/18,2018,1,2
"west prince of wales island, alaska",Chusini Cove b,H_03_b,High,55.829708,-133.182327,6/7/18,2018,1,10
"west prince of wales island, alaska",Chusini Cove b,H_03_b,High,55.830521,-133.20137,6/7/18,2018,1,1
"west prince of wales island, alaska",Chusini Cove b,H_03_b,High,55.836777,-133.204468,6/7/18,2018,1,1
"west prince of wales island, alaska",Chusini Cove b,H_03_b,High,55.836849,-133.199829,6/7/18,2018,1,3
"west prince of wales island, alaska",Chusini Cove b,H_03_b,High,55.836983,-133.197067,6/7/18,2018,1,2
"west prince of wales island, alaska",Chusini Cove b,H_03_b,High,55.83736,-133.195328,6/7/18,2018,1,3
"west prince of wales island, alaska",Chusini Cove b,H_03_b,High,55.837616,-133.194687,6/7/18,2018,1,2
"west prince of wales island, alaska",Chusini Cove b,H_03_b,High,55.833118,-133.184769,6/7/18,2018,1,9
"west prince of wales island, alaska",Chusini Cove b,H_03_b,High,55.834564,-133.168945,6/7/18,2018,1,1
"west prince of wales island, alaska",Chusini Cove b,H_03_b,High,55.832047,-133.175385,6/7/18,2018,1,1
"west prince of wales island, alaska",Chusini Cove b,H_03_b,High,55.814598,-133.189606,6/7/18,2018,1,8
"west prince of wales island, alaska",Chusini Cove b,H_03_b,High,55.797665,-133.204895,27/7/18,2018,2,1
"west prince of wales island, alaska",Chusini Cove b,H_03_b,High,55.8074,-133.194626,27/7/18,2018,2,1
"west prince of wales island, alaska",Chusini Cove b,H_03_b,High,55.809235,-133.188507,27/7/18,2018,2,1
"west prince of wales island, alaska",Chusini Cove b,H_03_b,High,55.817467,-133.189529,27/7/18,2018,2,1
"west prince of wales island, alaska",Chusini Cove b,H_03_b,High,55.812695,-133.184326,27/7/18,2018,2,9
"west prince of wales island, alaska",Chusini Cove b,H_03_b,High,55.818203,-133.18158,27/7/18,2018,2,1
"west prince of wales island, alaska",Chusini Cove b,H_03_b,High,55.816948,-133.178955,27/7/18,2018,2,1
"west prince of wales island, alaska",Chusini Cove b,H_03_b,High,55.813297,-133.174988,27/7/18,2018,2,2
"west prince of wales island, alaska",Chusini Cove b,H_03_b,High,55.809944,-133.174911,27/7/18,2018,2,1
"west prince of wales island, alaska",Chusini Cove b,H_03_b,High,55.810753,-133.178085,27/7/18,2018,2,2
"west prince of wales island, alaska",Chusini Cove b,H_03_b,High,55.81039,-133.173386,27/7/18,2018,2,1
"west prince of wales island, alaska",Chusini Cove b,H_03_b,High,55.814304,-133.174225,27/7/18,2018,2,1
"west prince of wales island, alaska",Chusini Cove b,H_03_b,High,55.819801,-133.180878,27/7/18,2018,2,1
