site,date,YYYYMMDD,trans_type,trans_bin,trans_m,pit_bin,sed1_type,sed2_type,sed1_no,sed2_no,sedno_avg,field_collector,
2017_H_06,7/23/2013,20170724,Inside,6,60,4,Mud,Mud,1,1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson",
2017_H_06,7/23/2013,20170724,Inside,7,70,2,Mud,Mud,1,1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson",
2017_H_06,7/23/2013,20170724,Inside,8,80,9,Mud,Mud,1,1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson",
2017_H_06,7/23/2013,20170724,Inside,9,90,2,Mud,Mud,1,1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson",
2017_H_06,7/23/2013,20170724,Inside,10,100,7,Mud,Mud,1,1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson",
2017_H_06,7/23/2013,20170724,Outside,1,10,4,Muddy Sand,Mud,3,1,2,"Tiff Stephens, Wendel Raymond, Cathy Mattson",
2017_H_06,7/23/2013,20170724,Outside,2,20,15,Pebble,Sand,6,4,5,"Tiff Stephens, Wendel Raymond, Cathy Mattson",
2017_H_06,7/23/2013,20170724,Outside,3,30,14,Muddy Sand,Pebble,3,6,4.5,"Tiff Stephens, Wendel Raymond, Cathy Mattson",
2017_H_06,7/23/2013,20170724,Outside,4,40,22,Muddy Sand,Pebble,3,6,4.5,"Tiff Stephens, Wendel Raymond, Cathy Mattson",
2017_H_06,7/23/2013,20170724,Outside,5,50,19,Mud,Cobble,1,8,4.5,"Tiff Stephens, Wendel Raymond, Cathy Mattson",
2017_H_06,7/23/2013,20170724,Outside,6,60,12,Mud,Gravel,1,7,4,"Tiff Stephens, Wendel Raymond, Cathy Mattson",
2017_H_06,7/23/2013,20170724,Outside,7,70,7,Mud,Mud,1,1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson",
2017_H_06,7/23/2013,20170724,Outside,8,80,4,Mud,Mud,1,1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson",
