Site,date_YYYYMMDD,transect_location,species_common,species_scientific,species_code?,death_estimate,width_mm,notes,measures
Nossuk-Photographers Point,20180617,Edge,Pointed Macoma,Macoma inquinata,,Whole,32,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Edge,Pointed Macoma,Macoma inquinata,,Whole,17,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Edge,Pointed Macoma,Macoma inquinata,,Whole,35,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Edge,Pointed Macoma,Macoma inquinata,,Whole,35,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Edge,Pointed Macoma,Macoma inquinata,,Whole,20,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Edge,Pointed Macoma,Macoma inquinata,,Whole,46,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Edge,Pointed Macoma,Macoma inquinata,,Whole,33,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Edge,Pointed Macoma,Macoma inquinata,,Whole,84,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Edge,Pointed Macoma,Macoma inquinata,,Whole,34,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Edge,Pointed Macoma,Macoma inquinata,,Whole,22,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Outside,Butter Clam,Saxidomus gigantea,,Sea otter,110,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Outside,Butter Clam,Saxidomus gigantea,,Whole,73,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Outside,Butter Clam,Saxidomus gigantea,,Whole,123,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Outside,Butter Clam,Saxidomus gigantea,,Whole,46,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Outside,Steamer Clam,Protothaca staminea,,Sea otter,29,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Outside,Steamer Clam,Protothaca staminea,,Sea otter,93,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Outside,Steamer Clam,Protothaca staminea,,Sea otter,38,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Outside,Steamer Clam,Protothaca staminea,,Crab chipped,86,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Outside,Steamer Clam,Protothaca staminea,,Whole,30,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Outside,Steamer Clam,Protothaca staminea,,Whole,25,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Outside,Steamer Clam,Protothaca staminea,,Whole,29,,"Lia, Maggie, Mel, Tiff"
