,site,longitude,latitude,n_otters,survey_dat
142,North Fish Egg & South Fish Egg & South Wadleight,-133.20752,55.499413,2,8/11/2019
143,North Fish Egg & South Fish Egg & South Wadleight,-133.211929,55.500076,1,8/11/2019
144,North Fish Egg & South Fish Egg & South Wadleight,-133.216339,55.502354,4,8/11/2019
145,North Fish Egg & South Fish Egg & South Wadleight,-133.21759,55.502922,1,8/11/2019
146,North Fish Egg & South Fish Egg & South Wadleight,-133.217499,55.501759,3,8/11/2019
147,North Fish Egg & South Fish Egg & South Wadleight,-133.187912,55.489632,2,8/11/2019
148,North Fish Egg & South Fish Egg & South Wadleight,-133.187134,55.488338,1,8/11/2019
149,North Fish Egg & South Fish Egg & South Wadleight,-133.22171,55.497063,2,8/11/2019
150,North Fish Egg & South Fish Egg & South Wadleight,-133.230164,55.490295,1,8/11/2019
151,North Fish Egg & South Fish Egg & South Wadleight,-133.237595,55.495216,1,8/11/2019
152,North Fish Egg & South Fish Egg & South Wadleight,-133.212509,55.488438,1,8/11/2019
153,North Fish Egg & South Fish Egg & South Wadleight,-133.190506,55.484692,1,8/11/2019
154,North Fish Egg & South Fish Egg & South Wadleight,-133.19043,55.481979,1,8/11/2019
155,North Fish Egg & South Fish Egg & South Wadleight,-133.226471,55.490417,1,8/11/2019
156,North Fish Egg & South Fish Egg & South Wadleight,-133.237335,55.486641,1,8/11/2019
157,North Fish Egg & South Fish Egg & South Wadleight,-133.22966,55.477581,3,8/11/2019
158,North Fish Egg & South Fish Egg & South Wadleight,-133.2276,55.475601,1,8/11/2019
159,North Fish Egg & South Fish Egg & South Wadleight,-133.204056,55.46936,1,8/11/2019
160,North Fish Egg & South Fish Egg & South Wadleight,-133.184174,55.479813,1,8/11/2019
161,North Fish Egg & South Fish Egg & South Wadleight,-133.179749,55.472675,1,8/11/2019
162,North Fish Egg & South Fish Egg & South Wadleight,-133.175949,55.469631,1,8/11/2019
163,North Fish Egg & South Fish Egg & South Wadleight,-133.169907,55.508148,1,8/11/2019
164,Baker Island,-133.543854,55.334545,1,8/12/2019
165,Baker Island,-133.539642,55.334232,8,8/12/2019
166,Baker Island,-133.555618,55.333927,1,8/12/2019
167,Baker Island,-133.562164,55.335274,1,8/12/2019
168,Baker Island,-133.560913,55.340412,1,8/12/2019
169,Baker Island,-133.564407,55.341423,1,8/12/2019
170,Baker Island,-133.565643,55.341835,1,8/12/2019
171,Baker Island,-133.578384,55.344292,1,8/12/2019
172,Baker Island,-133.578873,55.348015,1,8/12/2019
173,Baker Island,-133.586975,55.349869,1,8/12/2019
174,Baker Island,-133.584564,55.354294,1,8/12/2019
175,Baker Island,-133.592575,55.354805,3,8/12/2019
176,Baker Island,-133.592285,55.355877,1,8/12/2019
177,Baker Island,-133.593719,55.356655,1,8/12/2019
178,Baker Island,-133.592331,55.357498,1,8/12/2019
179,Baker Island,-133.593582,55.357861,1,8/12/2019
180,Baker Island,-133.587906,55.357632,1,8/12/2019
181,Baker Island,-133.591782,55.359699,1,8/12/2019
182,Baker Island,-133.592209,55.36076,1,8/12/2019
183,Baker Island,-133.588745,55.361073,1,8/12/2019
184,Baker Island,-133.596741,55.353504,1,8/12/2019
