site_code,site_name,latitude_N,longitude_E,date_MMDDYYYY,depth_m_MLLW,layer_number,layer_thickness_cm,layer_depth_cm,layer_volume_cm3,dry_bulk_density,organic_dw_g,organic_dw_percent,organic_density,inorganic_dw_g,inorganic_dw_percent,inorganic_density
2017_L_06,Farallon Bay,55.19112,-133.105314,7/23/2017,-0.81,11,1.1,20,21.59844949,1.072979799,13.49285,58.22232866,14.47755548,NA,NA,NA
2017_L_06,Farallon Bay,55.19112,-133.105314,7/23/2017,-0.81,12,1.1,22,21.59844949,1.052519997,12.93843,56.91525021,13.61795631,0.90462,8.74545263,0.95213064
2017_L_06,Farallon Bay,55.19112,-133.105314,7/23/2017,-0.81,13,1.1,24,21.59844949,1.111708968,14.27421,59.4481573,15.86876727,NA,NA,NA
2017_L_06,Farallon Bay,55.19112,-133.105314,7/23/2017,-0.81,14,1.1,26,21.59844949,1.286400212,17.98488,64.7304858,23.13575344,NA,NA,NA
2017_L_06,Farallon Bay,55.19112,-133.105314,7/23/2017,-0.81,15,1,28,19.63495408,1.327498393,16.21441,62.20671335,21.52460322,NA,NA,NA
2017_M_07,Garcia Cove,55.552669,-133.431392,7/26/2017,-0.59,1,1.1,0,21.59844949,0.313275266,0.54886,9.47979115,0.171944262,NA,NA,NA
2017_M_07,Garcia Cove,55.552669,-133.431392,7/26/2017,-0.59,2,1.1,2,21.59844949,1.188638564,1.27646,5.241638268,1.517249582,NA,NA,NA
2017_M_07,Garcia Cove,55.552669,-133.431392,7/26/2017,-0.59,3,1.1,4,21.59844949,2.93711176,1.34654,2.164108653,3.954938469,NA,NA,NA
2017_M_07,Garcia Cove,55.552669,-133.431392,7/26/2017,-0.59,4,1.1,6,21.59844949,1.365457738,1.82424,6.446790758,2.490922625,NA,NA,NA
2017_M_07,Garcia Cove,55.552669,-133.431392,7/26/2017,-0.59,5,1.1,8,21.59844949,1.423980458,1.69835,5.782947838,2.418417211,NA,NA,NA
2017_M_07,Garcia Cove,55.552669,-133.431392,7/26/2017,-0.59,6,1.1,10,21.59844949,1.262035037,1.02377,3.913582149,1.29203361,NA,NA,NA
