site,latitude_N_dd,longitude_E_dd,date_YYYY/MM/DD,transect,replicate,sample_volume_cm3,bag_weight_g,bag_sed_ww_g,bag_sed_dw_g,pan_weight_g,pan_sed_dw_pre_450C_g,pan_sed_dw_post_450C_g
Garcia Cove,55.552181,-133.430032,20/5/18,inside,1,115,4.379,234.88,188.91,1.28607,52.45072,51.72066
Garcia Cove,55.552181,-133.430032,20/5/18,inside,2,115,4.38,236.31,187.38,1.28843,47.53345,46.73612
Garcia Cove,55.552181,-133.430032,20/5/18,inside,3,115,4.379,264.58,209.97,1.29018,52.38663,51.84158
Garcia Cove,55.552181,-133.430032,20/5/18,inside,4,115,4.378,225.49,169.8,1.28791,42.12124,41.10898
Garcia Cove,55.552181,-133.430032,20/5/18,inside,5,115,4.351,229.85,171.8,1.27098,48.83255,45.802
Garcia Cove,55.552181,-133.430032,20/5/18,outside,1,115,4.372,261.88,218.95,1.26747,46.71665,46.24509
Garcia Cove,55.552181,-133.430032,20/5/18,outside,2,115,4.362,251.57,209.76,1.28288,43.62521,42.88829
Garcia Cove,55.552181,-133.430032,20/5/18,outside,3,115,4.358,246.72,204.93,1.28466,47.15813,46.39728
Garcia Cove,55.552181,-133.430032,20/5/18,outside,4,115,4.352,220.82,182.05,1.26171,43.42258,42.55858
Garcia Cove,55.552181,-133.430032,20/5/18,outside,5,115,4.372,250.68,205.85,1.32242,42.76251,42.10198
Guktu Cove,55.740264,-133.311306,31/5/18,inside,1,115,4.368,206.66,145.41,1.28986,36.18224,35.34943
Guktu Cove,55.740264,-133.311306,31/5/18,inside,2,115,4.372,210.23,156.7,1.28576,36.48303,35.85589
Guktu Cove,55.740264,-133.311306,31/5/18,inside,3,115,4.356,210.22,148.35,1.27465,36.86008,36.05107
Guktu Cove,55.740264,-133.311306,31/5/18,inside,4,115,4.314,207.49,150.28,1.28271,38.15967,37.43724
Guktu Cove,55.740264,-133.311306,31/5/18,inside,5,115,4.351,211.42,155.18,1.26116,37.00253,36.26681
Guktu Cove,55.740264,-133.311306,31/5/18,outside,1,115,4.33,221.1,164.73,1.2644,41.17034,40.46837
Guktu Cove,55.740264,-133.311306,31/5/18,outside,2,115,4.363,217.62,162.14,1.26634,40.75986,40.16409
Guktu Cove,55.740264,-133.311306,31/5/18,outside,3,115,4.372,220.13,168.87,1.28046,43.68143,43.11095
Guktu Cove,55.740264,-133.311306,31/5/18,outside,4,115,4.37,221,167.32,1.28125,38.60628,37.88278
Guktu Cove,55.740264,-133.311306,31/5/18,outside,5,115,4.298,213.11,157.2,1.28407,40.59124,39.83428
Sukkwan Narrows,55.188785,-132.842514,14/6/18,inside,1,115,4.3345,238.72,164.14,1.28072,45.98066,45.22466
Sukkwan Narrows,55.188785,-132.842514,14/6/18,inside,2,115,4.3654,233.68,174.73,1.28792,49.25052,48.60097
Sukkwan Narrows,55.188785,-132.842514,14/6/18,inside,3,115,4.3256,245.3,144.56,1.29825,38.64929,37.9867
Sukkwan Narrows,55.188785,-132.842514,14/6/18,inside,4,115,4.3919,226.78,127.54,1.29547,46.24044,45.03138
