site,date,longitude,latitude,n_otters
Klawock & Shinaku,20190730,-133.197021,55.576439,3
Klawock & Shinaku,20190730,-133.191589,55.578568,1
Klawock & Shinaku,20190730,-133.203049,55.572651,1
Klawock & Shinaku,20190730,-133.203308,55.574203,1
Klawock & Shinaku,20190730,-133.210358,55.574318,1
Klawock & Shinaku,20190730,-133.202454,55.57785,2
Klawock & Shinaku,20190730,-133.202728,55.582424,1
Klawock & Shinaku,20190730,-133.210617,55.578583,2
Klawock & Shinaku,20190730,-133.158493,55.585201,2
Klawock & Shinaku,20190730,-133.164001,55.584785,1
Klawock & Shinaku,20190730,-133.179413,55.585625,3
Klawock & Shinaku,20190730,-133.176926,55.587376,1
Klawock & Shinaku,20190730,-133.165283,55.593376,36
Klawock & Shinaku,20190730,-133.161163,55.591957,1
Klawock & Shinaku,20190730,-133.168304,55.595715,10
Klawock & Shinaku,20190730,-133.168472,55.592216,1
Klawock & Shinaku,20190730,-133.160141,55.599838,1
Garcia Cove,20190731,-133.441757,55.567356,1
Garcia Cove,20190731,-133.456192,55.565716,14
Garcia Cove,20190731,-133.450958,55.565742,1
Garcia Cove,20190731,-133.449585,55.564312,2
Garcia Cove,20190731,-133.452866,55.563148,4
Garcia Cove,20190731,-133.450684,55.560692,2
Garcia Cove,20190731,-133.453659,55.558365,3
Garcia Cove,20190731,-133.453735,55.55518,7
Garcia Cove,20190731,-133.458176,55.546867,12
Blanquizal,20190731,-133.396881,55.619911,4
Blanquizal,20190731,-133.396088,55.623562,1
Blanquizal,20190731,-133.436859,55.63763,2
Blanquizal,20190731,-133.423767,55.631042,1
Blanquizal,20190731,-133.437271,55.631638,6
Blanquizal,20190731,-133.443695,55.629635,1
Salt Lake Bay,20190801,-133.392883,55.683128,1
Salt Lake Bay,20190801,-133.401031,55.688957,1
Salt Lake Bay,20190801,-133.401489,55.692413,2
Salt Lake Bay,20190801,-133.40062,55.683628,1
Salt Lake Bay,20190801,-133.385315,55.686115,1
Salt Lake Bay,20190801,-133.399918,55.68441,1
Salt Lake Bay,20190801,-133.386398,55.690308,25
Salt Lake Bay,20190801,-133.388199,55.688629,2
Salt Lake Bay,20190801,-133.381821,55.690453,1
Salt Lake Bay,20190801,-133.372253,55.688347,1
Salt Lake Bay,20190801,-133.363129,55.688637,2
Salt Lake Bay,20190801,-133.36174,55.693829,1
Salt Lake Bay,20190801,-133.367996,55.684349,2
Salt Lake Bay,20190801,-133.37117,55.684967,2
Salt Lake Bay,20190801,-133.371094,55.683956,2
Salt Lake Bay,20190801,-133.378708,55.683735,1
Salt Lake Bay,20190801,-133.376846,55.675098,1
Salt Lake Bay,20190801,-133.380386,55.674892,3
Salt Lake Bay,20190801,-133.394272,55.697598,1
Salt Lake Bay,20190801,-133.391342,55.701496,1
Salt Lake Bay,20190801,-133.395187,55.7048,1
Salt Lake Bay,20190801,-133.409576,55.703968,1
Salt Lake Bay,20190801,-133.406937,55.694969,1
Baker Island,20190802,-133.583801,55.34914,1
Baker Island,20190802,-133.587509,55.347446,1
Baker Island,20190802,-133.590927,55.351994,1
Baker Island,20190802,-133.592087,55.353611,1
Baker Island,20190802,-133.593033,55.356308,1
Baker Island,20190802,-133.589752,55.360283,3
Baker Island,20190802,-133.590103,55.361965,1
Baker Island,20190802,-133.59523,55.356678,8
Baker Island,20190802,-133.610245,55.34164,1
Soda Bay,20190803,-132.996033,55.26046,1
Soda Bay,20190803,-132.976471,55.2677,1
Soda Bay,20190803,-132.98053,55.263229,1
Soda Bay,20190803,-132.987579,55.267139,1
Soda Bay,20190803,-132.962173,55.26733,10
Soda Bay,20190803,-132.969101,55.264313,2
Soda Bay,20190803,-132.963776,55.26186,5
Soda Bay,20190803,-132.963013,55.259968,4
Soda Bay,20190803,-132.969864,55.258354,1
Soda Bay,20190803,-132.981567,55.250698,25
Soda Bay,20190803,-132.989594,55.253178,1
Farallon Bay,20190803,-133.085876,55.215115,1
Dunbar,20190804,-132.845917,55.081665,1
Dunbar,20190804,-132.86116,55.067013,1
Goats mouth Inlet,20190804,-132.917084,55.168095,2
North Fish Egg & South Fish Egg & South Wadleight,20190811,-133.16716,55.539795,1
North Fish Egg & South Fish Egg & South Wadleight,20190811,-133.202362,55.542488,2
North Fish Egg & South Fish Egg & South Wadleight,20190811,-133.203308,55.539997,1
North Fish Egg & South Fish Egg & South Wadleight,20190811,-133.202103,55.528194,1
North Fish Egg & South Fish Egg & South Wadleight,20190811,-133.203476,55.527031,1
North Fish Egg & South Fish Egg & South Wadleight,20190811,-133.211929,55.534668,2
North Fish Egg & South Fish Egg & South Wadleight,20190811,-133.195312,55.49691,1
North Fish Egg & South Fish Egg & South Wadleight,20190811,-133.20752,55.499413,2
North Fish Egg & South Fish Egg & South Wadleight,20190811,-133.211929,55.500076,1
North Fish Egg & South Fish Egg & South Wadleight,20190811,-133.216339,55.502354,4
North Fish Egg & South Fish Egg & South Wadleight,20190811,-133.21759,55.502922,1
North Fish Egg & South Fish Egg & South Wadleight,20190811,-133.217499,55.501759,3
North Fish Egg & South Fish Egg & South Wadleight,20190811,-133.187912,55.489632,2
North Fish Egg & South Fish Egg & South Wadleight,20190811,-133.187134,55.488338,1
North Fish Egg & South Fish Egg & South Wadleight,20190811,-133.22171,55.497063,2
North Fish Egg & South Fish Egg & South Wadleight,20190811,-133.230164,55.490295,1
North Fish Egg & South Fish Egg & South Wadleight,20190811,-133.237595,55.495216,1
North Fish Egg & South Fish Egg & South Wadleight,20190811,-133.212509,55.488438,1
North Fish Egg & South Fish Egg & South Wadleight,20190811,-133.190506,55.484692,1
North Fish Egg & South Fish Egg & South Wadleight,20190811,-133.19043,55.481979,1
North Fish Egg & South Fish Egg & South Wadleight,20190811,-133.226471,55.490417,1
North Fish Egg & South Fish Egg & South Wadleight,20190811,-133.237335,55.486641,1
North Fish Egg & South Fish Egg & South Wadleight,20190811,-133.22966,55.477581,3
North Fish Egg & South Fish Egg & South Wadleight,20190811,-133.2276,55.475601,1
North Fish Egg & South Fish Egg & South Wadleight,20190811,-133.204056,55.46936,1
North Fish Egg & South Fish Egg & South Wadleight,20190811,-133.184174,55.479813,1
North Fish Egg & South Fish Egg & South Wadleight,20190811,-133.179749,55.472675,1
North Fish Egg & South Fish Egg & South Wadleight,20190811,-133.175949,55.469631,1
North Fish Egg & South Fish Egg & South Wadleight,20190811,-133.169907,55.508148,1
Baker Island,20190812,-133.543854,55.334545,1
Baker Island,20190812,-133.539642,55.334232,8
Baker Island,20190812,-133.555618,55.333927,1
Baker Island,20190812,-133.562164,55.335274,1
Baker Island,20190812,-133.560913,55.340412,1
Baker Island,20190812,-133.564407,55.341423,1
Baker Island,20190812,-133.565643,55.341835,1
Baker Island,20190812,-133.578384,55.344292,1
Baker Island,20190812,-133.578873,55.348015,1
Baker Island,20190812,-133.586975,55.349869,1
Baker Island,20190812,-133.584564,55.354294,1
Baker Island,20190812,-133.592575,55.354805,3
Baker Island,20190812,-133.592285,55.355877,1
Baker Island,20190812,-133.593719,55.356655,1
Baker Island,20190812,-133.592331,55.357498,1
Baker Island,20190812,-133.593582,55.357861,1
Baker Island,20190812,-133.587906,55.357632,1
Baker Island,20190812,-133.591782,55.359699,1
Baker Island,20190812,-133.592209,55.36076,1
Baker Island,20190812,-133.588745,55.361073,1
Baker Island,20190812,-133.596741,55.353504,1
Baker Island,20190812,-133.594681,55.352966,1
Baker Island,20190812,-133.59787,55.352631,1
Baker Island,20190812,-133.597824,55.354706,1
Baker Island,20190812,-133.598831,55.354267,1
Baker Island,20190812,-133.607132,55.344601,2
Baker Island,20190812,-133.61261,55.34127,1
Port Refugio,20190812,-133.319366,55.278969,1
Klawock & Shinaku,20190812,-133.110947,55.599438,1
Klawock & Shinaku,20190812,-133.113251,55.602016,1
Klawock & Shinaku,20190812,-133.125336,55.604939,1
Klawock & Shinaku,20190812,-133.133682,55.601028,1
Klawock & Shinaku,20190812,-133.131775,55.599129,1
Klawock & Shinaku,20190812,-133.132538,55.598038,1
Klawock & Shinaku,20190812,-133.138733,55.596191,1
Klawock & Shinaku,20190812,-133.146057,55.595638,1
Klawock & Shinaku,20190812,-133.147552,55.595646,1
Klawock & Shinaku,20190812,-133.152481,55.595642,1
Klawock & Shinaku,20190812,-133.14978,55.595451,1
Klawock & Shinaku,20190812,-133.155304,55.595936,2
Klawock & Shinaku,20190812,-133.161819,55.596272,1
Klawock & Shinaku,20190812,-133.169434,55.596165,4
Klawock & Shinaku,20190812,-133.164612,55.59269,1
Klawock & Shinaku,20190812,-133.167145,55.591595,1
Klawock & Shinaku,20190812,-133.16925,55.598431,1
Klawock & Shinaku,20190812,-133.164322,55.600193,1
Klawock & Shinaku,20190812,-133.162643,55.583405,1
Klawock & Shinaku,20190812,-133.14975,55.585384,1
Klawock & Shinaku,20190812,-133.150742,55.582878,1
Klawock & Shinaku,20190812,-133.163239,55.586784,1
Klawock & Shinaku,20190812,-133.163788,55.578358,1
Klawock & Shinaku,20190812,-133.166794,55.577362,1
Klawock & Shinaku,20190812,-133.154617,55.578552,1
Klawock & Shinaku,20190812,-133.158142,55.574894,1
Klawock & Shinaku,20190812,-133.161453,55.573837,1
Klawock & Shinaku,20190812,-133.162766,55.573399,1
Klawock & Shinaku,20190812,-133.164169,55.572948,1
Klawock & Shinaku,20190812,-133.169067,55.576847,16
Klawock & Shinaku,20190812,-133.168503,55.572575,1
Klawock & Shinaku,20190812,-133.175705,55.574383,2
Klawock & Shinaku,20190812,-133.176895,55.5741,2
