"","site","longitude","latitude","n_otters","survey_dat"
"43","Klawock & Shinaku",-133.144287,55.598572,2,"2019/07/30"
"44","Klawock & Shinaku",-133.141495,55.597179,2,"2019/07/30"
"45","Klawock & Shinaku",-133.147049,55.592213,1,"2019/07/30"
"46","Klawock & Shinaku",-133.13591,55.588516,1,"2019/07/30"
"47","Klawock & Shinaku",-133.172531,55.576431,13,"2019/07/30"
"48","Klawock & Shinaku",-133.160965,55.574757,1,"2019/07/30"
"49","Klawock & Shinaku",-133.187302,55.575207,1,"2019/07/30"
"50","Klawock & Shinaku",-133.18985,55.571793,1,"2019/07/30"
"51","Klawock & Shinaku",-133.188629,55.574863,1,"2019/07/30"
"52","Klawock & Shinaku",-133.193924,55.569862,1,"2019/07/30"
"53","Klawock & Shinaku",-133.186462,55.577972,1,"2019/07/30"
"54","Klawock & Shinaku",-133.188644,55.578125,1,"2019/07/30"
"55","Klawock & Shinaku",-133.201309,55.575439,2,"2019/07/30"
"56","Klawock & Shinaku",-133.197021,55.576439,3,"2019/07/30"
"57","Klawock & Shinaku",-133.191589,55.578568,1,"2019/07/30"
"58","Klawock & Shinaku",-133.203049,55.572651,1,"2019/07/30"
"59","Klawock & Shinaku",-133.203308,55.574203,1,"2019/07/30"
"60","Klawock & Shinaku",-133.210358,55.574318,1,"2019/07/30"
"61","Klawock & Shinaku",-133.202454,55.57785,2,"2019/07/30"
"62","Klawock & Shinaku",-133.202728,55.582424,1,"2019/07/30"
"63","Klawock & Shinaku",-133.210617,55.578583,2,"2019/07/30"
"64","Klawock & Shinaku",-133.158493,55.585201,2,"2019/07/30"
"65","Klawock & Shinaku",-133.164001,55.584785,1,"2019/07/30"
"66","Klawock & Shinaku",-133.179413,55.585625,3,"2019/07/30"
"67","Klawock & Shinaku",-133.176926,55.587376,1,"2019/07/30"
"68","Klawock & Shinaku",-133.165283,55.593376,36,"2019/07/30"
"69","Klawock & Shinaku",-133.161163,55.591957,1,"2019/07/30"
"70","Klawock & Shinaku",-133.168304,55.595715,10,"2019/07/30"
"71","Klawock & Shinaku",-133.168472,55.592216,1,"2019/07/30"
"72","Klawock & Shinaku",-133.160141,55.599838,1,"2019/07/30"
"73","Garcia Cove",-133.441757,55.567356,1,"2019/07/31"
"74","Garcia Cove",-133.456192,55.565716,14,"2019/07/31"
"75","Garcia Cove",-133.450958,55.565742,1,"2019/07/31"
"76","Garcia Cove",-133.449585,55.564312,2,"2019/07/31"
"77","Garcia Cove",-133.452866,55.563148,4,"2019/07/31"
"78","Garcia Cove",-133.450684,55.560692,2,"2019/07/31"
"79","Garcia Cove",-133.453659,55.558365,3,"2019/07/31"
"80","Garcia Cove",-133.453735,55.55518,7,"2019/07/31"
"81","Garcia Cove",-133.458176,55.546867,12,"2019/07/31"
"82","Blanquizal",-133.396881,55.619911,4,"2019/07/31"
"83","Blanquizal",-133.396088,55.623562,1,"2019/07/31"
"84","Blanquizal",-133.436859,55.63763,2,"2019/07/31"
"85","Blanquizal",-133.423767,55.631042,1,"2019/07/31"
"86","Blanquizal",-133.437271,55.631638,6,"2019/07/31"
"87","Blanquizal",-133.443695,55.629635,1,"2019/07/31"
"88","Salt Lake Bay",-133.392883,55.683128,1,"2019/08/01"
"89","Salt Lake Bay",-133.401031,55.688957,1,"2019/08/01"
"90","Salt Lake Bay",-133.401489,55.692413,2,"2019/08/01"
"91","Salt Lake Bay",-133.40062,55.683628,1,"2019/08/01"
"92","Salt Lake Bay",-133.385315,55.686115,1,"2019/08/01"
"93","Salt Lake Bay",-133.399918,55.68441,1,"2019/08/01"
"94","Salt Lake Bay",-133.386398,55.690308,25,"2019/08/01"
"95","Salt Lake Bay",-133.388199,55.688629,2,"2019/08/01"
