"","Field1","site","longitude","latitude","n_otters","survey_dat","area","site.site"
"1342","500","Kaguk & Guktu",-133.307251,55.763432,1,"2019/08/01",8.7775,"Guktu Bay"
"1517","481","Kaguk & Guktu",-133.284286,55.7444,1,"2019/08/01",8.7775,"Guktu Bay"
"1597","274","Kaguk & Guktu",-133.276337,55.750725,2,"2019/08/14",8.7775,"Guktu Bay"
"1616","268","Kaguk & Guktu",-133.282471,55.75843,1,"2019/08/14",8.7775,"Guktu Bay"
"1635","251","Kaguk & Guktu",-133.306641,55.764633,2,"2019/08/14",8.7775,"Guktu Bay"
"1690","248","Kaguk & Guktu",-133.31398,55.765076,4,"2019/08/14",8.7775,"Guktu Bay"
"1756","264","Kaguk & Guktu",-133.286652,55.76054,134,"2019/08/14",8.7775,"Guktu Bay"
"1971","269","Kaguk & Guktu",-133.278503,55.758282,1,"2019/08/14",8.7775,"Guktu Bay"
"2006","279","Kaguk & Guktu",-133.288147,55.74152,2,"2019/08/14",8.7775,"Guktu Bay"
"2030","494","Kaguk & Guktu",-133.317032,55.766117,3,"2019/08/01",8.7775,"Guktu Bay"
"2096","495","Kaguk & Guktu",-133.320251,55.765976,4,"2019/08/01",8.7775,"Guktu Bay"
"2183","501","Kaguk & Guktu",-133.295761,55.764622,1,"2019/08/01",8.7775,"Guktu Bay"
"2261","277","Kaguk & Guktu",-133.293945,55.741539,2,"2019/08/14",8.7775,"Guktu Bay"
"2322","503","Kaguk & Guktu",-133.288925,55.763351,4,"2019/08/01",8.7775,"Guktu Bay"
"2495","263","Kaguk & Guktu",-133.29924,55.767017,1,"2019/08/14",8.7775,"Guktu Bay"
"2510","272","Kaguk & Guktu",-133.274872,55.759731,40,"2019/08/14",8.7775,"Guktu Bay"
"2641","502","Kaguk & Guktu",-133.302399,55.768044,1,"2019/08/01",8.7775,"Guktu Bay"
"2689","504","Kaguk & Guktu",-133.273834,55.75951,3,"2019/08/01",8.7775,"Guktu Bay"
"3015","498","Kaguk & Guktu",-133.311295,55.771713,1,"2019/08/01",8.7775,"Guktu Bay"
"3050","496","Kaguk & Guktu",-133.317978,55.770042,1,"2019/08/01",8.7775,"Guktu Bay"
"3054","265","Kaguk & Guktu",-133.276886,55.763317,13,"2019/08/14",8.7775,"Guktu Bay"
"3426","259","Kaguk & Guktu",-133.312607,55.746231,1,"2019/08/14",8.7775,"Guktu Bay"
"17",NA,NA,NA,NA,NA,NA,5.33,"Heceta"
"64","524","Heceta",-133.52356,55.765663,1,"2019/08/02",5.33,"Heceta"
"79","522","Heceta",-133.520447,55.767101,1,"2019/08/02",5.33,"Heceta"
"86","320","Heceta",-133.520889,55.765312,2,"2019/08/15",5.33,"Heceta"
"123","523","Heceta",-133.519333,55.76453,1,"2019/08/02",5.33,"Heceta"
"270","521","Heceta",-133.510986,55.767803,2,"2019/08/02",5.33,"Heceta"
"385","318","Heceta",-133.511902,55.762466,6,"2019/08/15",5.33,"Heceta"
"431","314","Heceta",-133.509384,55.764088,3,"2019/08/15",5.33,"Heceta"
"447","527","Heceta",-133.538071,55.774151,4,"2019/08/02",5.33,"Heceta"
"509","319","Heceta",-133.507065,55.772873,1,"2019/08/15",5.33,"Heceta"
"6011","317","Heceta",-133.506302,55.763985,1,"2019/08/15",5.33,"Heceta"
"794","325","Heceta",-133.539856,55.772758,2,"2019/08/15",5.33,"Heceta"
"950","316","Heceta",-133.50412,55.75927,1,"2019/08/15",5.33,"Heceta"
"975","528","Heceta",-133.506927,55.755993,3,"2019/08/02",5.33,"Heceta"
"1113","312","Heceta",-133.499084,55.76231,3,"2019/08/15",5.33,"Heceta"
"1173","529","Heceta",-133.500595,55.758465,1,"2019/08/02",5.33,"Heceta"
"1295","313","Heceta",-133.495407,55.762939,1,"2019/08/15",5.33,"Heceta"
"1347","326","Heceta",-133.498886,55.756203,2,"2019/08/15",5.33,"Heceta"
"1463","327","Heceta",-133.503708,55.751751,1,"2019/08/15",5.33,"Heceta"
"1501","530","Heceta",-133.497391,55.754242,1,"2019/08/02",5.33,"Heceta"
"1594","315","Heceta",-133.496033,55.754169,1,"2019/08/15",5.33,"Heceta"
"17761","324","Heceta",-133.531525,55.774254,8,"2019/08/15",5.33,"Heceta"
"1912","322","Heceta",-133.529617,55.770496,1,"2019/08/15",5.33,"Heceta"
"1946","526","Heceta",-133.527527,55.772305,1,"2019/08/02",5.33,"Heceta"
"19711","323","Heceta",-133.526428,55.772335,1,"2019/08/15",5.33,"Heceta"
"2063","525","Heceta",-133.527603,55.767735,1,"2019/08/02",5.33,"Heceta"
"2073","321","Heceta",-133.526962,55.767956,2,"2019/08/15",5.33,"Heceta"
"18",NA,NA,NA,NA,NA,NA,6.725,"Kaguk Bay"
"105","481","Kaguk & Guktu",-133.284286,55.7444,1,"2019/08/01",6.725,"Kaguk Bay"
"108","479","Kaguk & Guktu",-133.287598,55.7453,1,"2019/08/01",6.725,"Kaguk Bay"
"140","477","Kaguk & Guktu",-133.286896,55.74651,1,"2019/08/01",6.725,"Kaguk Bay"
"165","478","Kaguk & Guktu",-133.286758,55.747227,1,"2019/08/01",6.725,"Kaguk Bay"
"186","278","Kaguk & Guktu",-133.286911,55.747971,1,"2019/08/14",6.725,"Kaguk Bay"
"202","275","Kaguk & Guktu",-133.281967,55.747009,1,"2019/08/14",6.725,"Kaguk Bay"
"2701","480","Kaguk & Guktu",-133.284378,55.74966,1,"2019/08/01",6.725,"Kaguk Bay"
"283","483","Kaguk & Guktu",-133.284775,55.749752,1,"2019/08/01",6.725,"Kaguk Bay"
"306","482","Kaguk & Guktu",-133.284836,55.750229,1,"2019/08/01",6.725,"Kaguk Bay"
"332","276","Kaguk & Guktu",-133.284378,55.75071,1,"2019/08/14",6.725,"Kaguk Bay"
"411","485","Kaguk & Guktu",-133.286697,55.75259,1,"2019/08/01",6.725,"Kaguk Bay"
"426","484","Kaguk & Guktu",-133.285904,55.752514,1,"2019/08/01",6.725,"Kaguk Bay"
"460","486","Kaguk & Guktu",-133.289062,55.75322,1,"2019/08/01",6.725,"Kaguk Bay"
"472","274","Kaguk & Guktu",-133.276337,55.750725,2,"2019/08/14",6.725,"Kaguk Bay"
"582","487","Kaguk & Guktu",-133.286407,55.754391,1,"2019/08/01",6.725,"Kaguk Bay"
"632","271","Kaguk & Guktu",-133.282104,55.753765,1,"2019/08/14",6.725,"Kaguk Bay"
"7941","270","Kaguk & Guktu",-133.286209,55.756275,3,"2019/08/14",6.725,"Kaguk Bay"
"940","488","Kaguk & Guktu",-133.30014,55.7523,30,"2019/08/01",6.725,"Kaguk Bay"
