"","otter_region","site","latitude","longitude","layer_number","layer_depth","layer_thickness","layer_volume_cm3","pan_weight","pan_sed_ww_pre_60C","pan_sed_dw_post_60C","sed_ww_pre_60C","sed_dw_post_60C","pan_sed_dw_pre_450C","pan_sed_dw_post450C","sed_dw_pre_450C","sed_dw_post_450C","crucible_weight","crucible_sed_dw_pre_950C","crucible_sed_dw_post_950C","sed_dw_pre_950C","sed_dw_post_950C","dry_bulk_density","om_dw","im_dw"
"36","Mid","2017_M_08",55.282137,-133.334028,6,12,0.9,17.6714586764426,1.27614,26.7762,14.22653,25.50006,12.95039,14.22653,12.20966,12.95039,10.93352,NA,NA,NA,NA,NA,0.732842163010791,2.01687,NA
"37","Mid","2017_M_08",55.282137,-133.334028,7,14,0.9,17.6714586764426,1.28676,30.00836,18.45379,28.7216,17.16703,18.45379,16.18262,17.16703,14.89586,25.85583,42.90735,36.24903,17.05152,10.3932,0.97145517607355,2.27117,6.65832
"38","Mid","2017_M_08",55.282137,-133.334028,8,16,0.9,17.6714586764426,1.29676,28.7506,16.70819,27.45384,15.41143,16.70819,14.5328,15.41143,13.23604,NA,NA,NA,NA,NA,0.872108538529681,2.17539,NA
"39","Mid","2017_M_08",55.282137,-133.334028,9,18,0.9,17.6714586764426,1.28858,28.57663,16.16622,27.28805,14.87764,16.16622,14.17849,14.87764,12.88991,NA,NA,NA,NA,NA,0.841902203570384,1.98773,NA
"40","Mid","2017_M_08",55.282137,-133.334028,10,20,0.8,15.707963267949,1.28758,27.95512,15.99326,26.66754,14.70568,15.99326,13.82888,14.70568,12.5413,NA,NA,NA,NA,NA,0.936192665411049,2.16438,NA
"41","Mid","2017_M_08",55.282137,-133.334028,11,22,0.8,15.707963267949,1.29405,31.36377,22.16881,30.06972,20.87476,22.16881,20.3202,20.87476,19.02615,NA,NA,NA,NA,NA,1.32892849594279,1.84861,NA
"42","Mid","2017_M_08",55.282137,-133.334028,12,24,0.9,17.6714586764426,1.28501,30.98365,22.55499,29.69864,21.26998,22.55499,20.74073,21.26998,19.45572,29.57194,50.9931,47.65769,21.42116,18.08575,1.20363465118782,1.81426,3.33541
"43","Mid","2017_M_08",55.282137,-133.334028,13,26,1,19.6349540849362,1.28866,36.45768,25.2529,35.16902,23.96424,25.2529,23.13576,23.96424,21.8471,NA,NA,NA,NA,NA,1.22048872110097,2.11714,NA
"44","Mid","2017_M_08",55.282137,-133.334028,14,28,1,19.6349540849362,1.28271,32.15986,21.93838,30.87715,20.65567,21.93838,19.79296,20.65567,18.51025,NA,NA,NA,NA,NA,1.05198463467999,2.14542,NA
"45","Mid","2017_M_08",55.282137,-133.334028,15,30,0.9,17.6714586764426,1.30049,32.1355,23.09045,30.83501,21.78996,23.09045,21.00101,21.78996,19.70052,NA,NA,NA,NA,NA,1.23305950000877,2.08944,NA
"46","Mid","2017_M_08",55.282137,-133.334028,16,32,0.9,17.6714586764426,1.28147,32.13356,22.79587,30.85209,21.5144,22.79587,20.28688,21.5144,19.00541,NA,NA,NA,NA,NA,1.21746599383334,2.50899,NA
"47","Mid","2017_M_08",55.282137,-133.334028,17,34,1,19.6349540849362,1.28899,36.21708,26.88213,34.92809,25.59314,26.88213,24.52244,25.59314,23.23345,24.59652,49.98712,42.75714,25.3906,18.16062,1.30344791687773,2.35969,7.22998
"48","Mid","2017_M_08",55.282137,-133.334028,18,36,0.9,17.6714586764426,1.29998,33.18968,24.28878,31.8897,22.9888,24.28878,21.76751,22.9888,20.46753,NA,NA,NA,NA,NA,1.30089996648923,2.52127,NA
"49","Mid","2017_M_08",55.282137,-133.334028,19,38,0.9,17.6714586764426,1.28554,35.22683,26.46217,33.94129,25.17663,26.46217,23.93383,25.17663,22.64829,NA,NA,NA,NA,NA,1.42470581862958,2.52834,NA
"50","Mid","2017_M_08",55.282137,-133.334028,20,40,0.9,17.6714586764426,1.27845,35.36879,27.27786,34.09034,25.99941,27.27786,24.81731,25.99941,23.53886,NA,NA,NA,NA,NA,1.47126564230146,2.46055,NA
"51","Mid","2017_M_08",55.282137,-133.334028,21,42,0.6,11.7809724509617,1.28702,19.90504,16.16541,18.61802,14.87839,16.16541,14.74978,14.87839,13.46276,NA,NA,NA,NA,NA,1.26291696733281,1.41563,NA
"52","Mid","2017_M_08",55.282137,-133.334028,22,44,1,19.6349540849362,1.29476,43.01749,33.88045,41.72273,32.58569,33.88045,31.59354,32.58569,30.29878,26.58674,59.1133,39.64537,32.52656,13.05863,1.65957556401925,2.28691000000001,19.46793
"53","Mid","2017_M_08",55.282137,-133.334028,23,46,1,19.6349540849362,1.29699,38.91761,29.86146,37.62062,28.56447,29.86146,27.42646,28.56447,26.12947,NA,NA,NA,NA,NA,1.45477651113605,2.435,NA
