"site","longitude.x","latitude.x","so_region1","so_region2","sed1_qual","sed2_qual","date_grass_MM.DD.YY","date_otts1_MM.DD.YY.x","date_otts2_MM.DD.YY.x","sed1_edge","sed1_inside","sed1_outside","sed2_edge","sed2_inside","sed2_outside","sed1_site_avg","sed2_site_avg","sedall_site_avg","sed1_abovegrass","sed2_abovegrass","beach_slope","longitude.y","latitude.y","otter_region","date_otts1_MM.DD.YY.y","date_otts2_MM.DD.YY.y","site_water_area","so_index","so_pop_1","so_dens_avg","pits_all","shell_n_otter","shell_prop_otter","so_index_pc1","so_index_pc2","pits_edge","pits_inside","pits_outside","pits_site_sum","pits_abovegrass","fucus_upper_elev_mllw_cm","fucus_lower_elev_mllw_cm","fucus_mean_elev_mllw_cm","fucus_band_height_cm","edge_diffuse_elev_mllw_cm","edge_continuous_elev_mllw_cm","edge_diffuse_elev_corrct_pos","edge_continuous_elev_corrct_pos","edge_diffuse_elev_corrct_neg","edge_continuous_elev_corrct_neg","diffuse_band_distance_cm","diffuse_band_height_cm","diffuse_band_area_m2","shoot_density_inside_m2.x","shoot_density_continuous_m2.x","shoot_density_diffuse_m2.x","flower_density_inside_m2.x","flower_density_continuous_m2.x","flower_density_diffuse_m2.x","shoot_density_inside_m2.y","shoot_density_continuous_m2.y","shoot_density_diffuse_m2.y","flower_density_inside_m2.y","flower_density_continuous_m2.y","flower_density_diffuse_m2.y","shoot_density_inside_m2.x.x","shoot_density_continuous_m2.x.x","shoot_density_diffuse_m2.x.x","flower_density_inside_m2.x.x","flower_density_continuous_m2.x.x","flower_density_diffuse_m2.x.x","shoot_density_inside_m2.y.y","shoot_density_continuous_m2.y.y","shoot_density_diffuse_m2.y.y","flower_density_inside_m2.y.y","flower_density_continuous_m2.y.y","flower_density_diffuse_m2.y.y","shoot_density_inside_m2.x.x.x","shoot_density_continuous_m2.x.x.x","shoot_density_diffuse_m2.x.x.x","flower_density_inside_m2.x.x.x","flower_density_continuous_m2.x.x.x","flower_density_diffuse_m2.x.x.x","shoot_density_inside_m2.y.y.y","shoot_density_continuous_m2.y.y.y","shoot_density_diffuse_m2.y.y.y","flower_density_inside_m2.y.y.y","flower_density_continuous_m2.y.y.y","flower_density_diffuse_m2.y.y.y","shoot_density_inside_m2","shoot_density_continuous_m2","shoot_density_diffuse_m2","flower_density_inside_m2","flower_density_continuous_m2","flower_density_diffuse_m2"
"Mushroom Island",-132.846741,55.214375,"low","low","mud","mud","06/16/18","06/12/18","07/26/18",3.6,2,5,6.2,3,5.4,3.53333333333333,4.86666666666667,4.2,4.3,5.8,0.0466557248713352,-132.846741,55.214375,"low","06/12/18","07/26/18",17.635,7,0.154,0,34,52,0.684210526315789,-0.671670411049787,0.353633037175616,6,9,19,34,25,266.905632,61.105632,164.005632,205.8,25.9783592727273,5.97835927272727,26.883510535585,6.18666032009969,5.77707159348749,5.77707159348749,412.909090909091,20,206.454545454545,328.727272727273,195.636363636364,86.1818181818182,5.09090909090909,2.54545454545455,1.09090909090909,328.727272727273,195.636363636364,86.1818181818182,5.09090909090909,2.54545454545455,1.09090909090909,328.727272727273,195.636363636364,86.1818181818182,5.09090909090909,2.54545454545455,1.09090909090909,328.727272727273,195.636363636364,86.1818181818182,5.09090909090909,2.54545454545455,1.09090909090909,328.727272727273,195.636363636364,86.1818181818182,5.09090909090909,2.54545454545455,1.09090909090909,328.727272727273,195.636363636364,86.1818181818182,5.09090909090909,2.54545454545455,1.09090909090909,328.727272727273,195.636363636364,86.1818181818182,5.09090909090909,2.54545454545455,1.09090909090909
"N Fish Egg Island",-133.170812,55.496472,"mid","low","sugar","sand","06/28/18","07/09/18","08/08/18",3.6,3,3.6,3,3.8,3.4,3.4,3.4,3.4,3.6,3.2,0.0161191331187502,-133.170812,55.496472,"mid","07/09/18","08/08/18",15.49,14,1.341,0.12911555842479,12,6,0.315789473684211,-0.216837949927653,-0.242452718867144,4,6,2,12,6,182.2352,115.9352,149.0852,66.3,72.0715636363636,56.7079272727273,82.0469488612125,64.5568400936329,49.8132964826774,49.8132964826774,953.181818181818,15.3636363636364,476.590909090909,567.636363636364,372,42.9090909090909,0,18.5454545454545,1.81818181818182,567.636363636364,372,42.9090909090909,0,18.5454545454545,1.81818181818182,567.636363636364,372,42.9090909090909,0,18.5454545454545,1.81818181818182,567.636363636364,372,42.9090909090909,0,18.5454545454545,1.81818181818182,567.636363636364,372,42.9090909090909,0,18.5454545454545,1.81818181818182,567.636363636364,372,42.9090909090909,0,18.5454545454545,1.81818181818182,567.636363636364,372,42.9090909090909,0,18.5454545454545,1.81818181818182
"Natzuhini Bay 1",-132.879147,55.247539,"low","low","sand","sand","06/15/18","06/12/18","07/26/18",3,2.2,3.6,2,2.6,4.4,2.93333333333333,3,2.96666666666667,3.3,3.2,0.0364862581542327,-132.879147,55.247539,"low","06/12/18","07/26/18",13.15,7,0.154,0,46,34,0.586206896551724,-0.664686730948934,0.260523077321255,11,18,17,46,28,258.7844,127.875309090909,192.1344,133.3,-12.4883272727273,-19.0337818181818,-11.0314389548528,-16.8133007425105,-21.5475150210186,-21.5475150210186,142.181818181818,6.54545454545455,71.0909090909091,255.272727272727,142.545454545455,56.7272727272727,2.90909090909091,2.90909090909091,0,255.272727272727,142.545454545455,56.7272727272727,2.90909090909091,2.90909090909091,0,255.272727272727,142.545454545455,56.7272727272727,2.90909090909091,2.90909090909091,0,255.272727272727,142.545454545455,56.7272727272727,2.90909090909091,2.90909090909091,0,255.272727272727,142.545454545455,56.7272727272727,2.90909090909091,2.90909090909091,0,255.272727272727,142.545454545455,56.7272727272727,2.90909090909091,2.90909090909091,0,255.272727272727,142.545454545455,56.7272727272727,2.90909090909091,2.90909090909091,0
"Natzuhini Bay 2",-132.837131,55.241887,"low","low","sand","sand","06/16/18","06/12/18","07/26/18",4,3.8,4.6,7.2,7.4,7.2,4.13333333333333,7.26666666666667,5.7,4.3,7.2,0.104547880041982,-132.837131,55.241887,"low","06/12/18","07/26/18",15.03,7,0.154,0,50,48,0.888888888888889,-0.675178728528824,0.504443529997597,9,16,25,50,34,235.13,59.73,147.43,175.4,-22.9972727272727,-42.7245454545455,-26.4742394849944,-49.1840863768938,-37.1133616330641,-37.1133616330641,196.363636363636,19.7272727272727,98.1818181818182,114.909090909091,110.545454545455,28.3636363636364,2.18181818181818,2.90909090909091,0.363636363636364,114.909090909091,110.545454545455,28.3636363636364,2.18181818181818,2.90909090909091,0.363636363636364,114.909090909091,110.545454545455,28.3636363636364,2.18181818181818,2.90909090909091,0.363636363636364,114.909090909091,110.545454545455,28.3636363636364,2.18181818181818,2.90909090909091,0.363636363636364,114.909090909091,110.545454545455,28.3636363636364,2.18181818181818,2.90909090909091,0.363636363636364,114.909090909091,110.545454545455,28.3636363636364,2.18181818181818,2.90909090909091,0.363636363636364,114.909090909091,110.545454545455,28.3636363636364,2.18181818181818,2.90909090909091,0.363636363636364
"North Pass",-132.910143,55.228252,"low","low","mud","mud","06/15/18","06/12/18","07/26/18",4,2,5,5.6,3.2,7,3.66666666666667,5.26666666666667,4.46666666666667,4.5,6.3,0.072425057586773,-132.910143,55.228252,"low","06/12/18","07/26/18",8.1725,7,0.154,0,41,20,0.769230769230769,-0.691771711990241,0.321489159503692,5,23,13,41,18,236.879854545455,34.2344,134.8844,201.3,-32.6656,-39.4837818181818,-41.101903793174,-49.6809671850994,-31.3796029947936,-31.3796029947936,118.545454545455,6.81818181818182,59.2727272727273,271.636363636364,152.727272727273,65.8181818181818,2.18181818181818,1.45454545454545,0.363636363636364,271.636363636364,152.727272727273,65.8181818181818,2.18181818181818,1.45454545454545,0.363636363636364,271.636363636364,152.727272727273,65.8181818181818,2.18181818181818,1.45454545454545,0.363636363636364,271.636363636364,152.727272727273,65.8181818181818,2.18181818181818,1.45454545454545,0.363636363636364,271.636363636364,152.727272727273,65.8181818181818,2.18181818181818,1.45454545454545,0.363636363636364,271.636363636364,152.727272727273,65.8181818181818,2.18181818181818,1.45454545454545,0.363636363636364,271.636363636364,152.727272727273,65.8181818181818,2.18181818181818,1.45454545454545,0.363636363636364
"Nossuk Bay 1",-133.348326,55.709094,"high","high","sand","sand","05/19/18","05/05/18","08/05/18",2.6,2,3.6,5.6,1.6,7,2.73333333333333,4.73333333333333,3.73333333333333,3.1,6.3,0.0558903841047851,-133.348326,55.709094,"high","05/05/18","08/05/18",6.4025,14,2.877,3.43615775087856,98,35,0.53030303030303,0.550759383871054,0.179650631956683,16,1,81,98,97,253.2157818,127.3157818,190.2657818,125.9,6.27032725454545,-26.1842182,5.59322822829015,-23.3567248449085,-29.3539992142634,-29.3539992142634,761.636363636364,32.4545454545455,380.818181818182,243.272727272727,220,64.3636363636364,2.18181818181818,1.45454545454545,0,243.272727272727,220,64.3636363636364,2.18181818181818,1.45454545454545,0,243.272727272727,220,64.3636363636364,2.18181818181818,1.45454545454545,0,243.272727272727,220,64.3636363636364,2.18181818181818,1.45454545454545,0,243.272727272727,220,64.3636363636364,2.18181818181818,1.45454545454545,0,243.272727272727,220,64.3636363636364,2.18181818181818,1.45454545454545,0,243.272727272727,220,64.3636363636364,2.18181818181818,1.45454545454545,0
"Nossuk Bay 2",-133.325372,55.722637,"high","high","mud","mud","06/30/18","05/05/18","08/05/18",3,1,3,2,1,7,2.33333333333333,3.33333333333333,2.83333333333333,3,4.5,0.0747569460865853,-133.325372,55.722637,"high","05/05/18","08/05/18",7.435,14,2.877,3.16072629455279,80,15,0.112781954887218,0.548428778664495,-0.290051370452535,10,2,68,80,78,237.2165333,123.4165333,180.3165333,113.8,-7.68346670000001,-23.5925576090909,-7.23193788422285,-22.2061105775202,-25.0655679928813,-25.0655679928813,220.818181818182,15.9090909090909,110.409090909091,342.181818181818,214.909090909091,12.5454545454545,0,5.45454545454545,0,342.181818181818,214.909090909091,12.5454545454545,0,5.45454545454545,0,342.181818181818,214.909090909091,12.5454545454545,0,5.45454545454545,0,342.181818181818,214.909090909091,12.5454545454545,0,5.45454545454545,0,342.181818181818,214.909090909091,12.5454545454545,0,5.45454545454545,0,342.181818181818,214.909090909091,12.5454545454545,0,5.45454545454545,0,342.181818181818,214.909090909091,12.5454545454545,0,5.45454545454545,0
"Port Caldera",-133.161232,55.36209,"low","low","sand","sand","07/10/18","07/09/18","07/26/18",3.8,5,5,5,5.6,6.2,4.6,5.6,5.1,4.4,5.6,0.0268996791274449,-133.161232,55.36209,"low","07/09/18","07/26/18",5.83,7,1.341,0,4,6,0.101694915254237,-0.451939392521246,-0.549509679515164,0,3,1,4,1,176.3724,59.9724,118.1724,116.4,29.7814909090909,23.2360363636364,42.7723786357128,33.3717525550498,16.1787543222848,16.1787543222848,238.818181818182,6.54545454545455,119.409090909091,576.727272727273,546.909090909091,73.4545454545455,9.09090909090909,6.18181818181818,0,576.727272727273,546.909090909091,73.4545454545455,9.09090909090909,6.18181818181818,0,576.727272727273,546.909090909091,73.4545454545455,9.09090909090909,6.18181818181818,0,576.727272727273,546.909090909091,73.4545454545455,9.09090909090909,6.18181818181818,0,576.727272727273,546.909090909091,73.4545454545455,9.09090909090909,6.18181818181818,0,576.727272727273,546.909090909091,73.4545454545455,9.09090909090909,6.18181818181818,0,576.727272727273,546.909090909091,73.4545454545455,9.09090909090909,6.18181818181818,0
"S Fish Egg Island",-133.174447,55.485687,"mid","low","sugar","sand","06/25/18","07/09/18","08/08/18",4,4,4,5.2,4,5.8,4,5,4.5,4,5.5,0.0164523115761829,-133.174447,55.485687,"mid","07/09/18","08/08/18",24.2725,14,1.341,0.82397775260068,95,79,0.26510067114094,0.0182120203113076,0.121556093076684,39,27,29,95,68,200.6508,140.032618181818,170.1508,61,32.0326181818182,20.1235272727273,31.9515157014729,20.0725770829598,20.1746067892786,20.1746067892786,806.272727272727,11.9090909090909,403.136363636364,358.545454545455,310.909090909091,52.8,21.0909090909091,15.6363636363636,3.2,358.545454545455,310.909090909091,52.8,21.0909090909091,15.6363636363636,3.2,358.545454545455,310.909090909091,52.8,21.0909090909091,15.6363636363636,3.2,358.545454545455,310.909090909091,52.8,21.0909090909091,15.6363636363636,3.2,358.545454545455,310.909090909091,52.8,21.0909090909091,15.6363636363636,3.2,358.545454545455,310.909090909091,52.8,21.0909090909091,15.6363636363636,3.2,358.545454545455,310.909090909091,52.8,21.0909090909091,15.6363636363636,3.2
"S Wadleigh Island",-133.147345,55.528424,"mid","low","mud","mud","06/12/18","06/11/18","08/03/18",1,1,2,1.6,1,2.4,1.33333333333333,1.66666666666667,1.5,1.5,2,0.040270331169069,-133.147345,55.528424,"mid","06/11/18","08/03/18",20.6,14,1.341,0.364077669902913,28,33,0.485294117647059,-0.126218695734627,0.127635311252759,21,7,0,28,21,209.4048,149.677527272727,179.6048,59.6,15.4048,-8.79520000000001,14.5569754037754,-8.31114393379242,-9.30744836766439,-9.30744836766439,646.5,24.2,323.25,312.4,299.6,41.2727272727273,1.6,1.2,0,312.4,299.6,41.2727272727273,1.6,1.2,0,312.4,299.6,41.2727272727273,1.6,1.2,0,312.4,299.6,41.2727272727273,1.6,1.2,0,312.4,299.6,41.2727272727273,1.6,1.2,0,312.4,299.6,41.2727272727273,1.6,1.2,0,312.4,299.6,41.2727272727273,1.6,1.2,0
"Salt Lake Bay",-133.377377,55.684275,"high","high","sand","sand","05/18/18","05/07/18","07/12/18",2,1,5.2,4.6,1,7.4,2.73333333333333,4.33333333333333,3.53333333333333,3.6,6,0.0874049808469922,-133.377377,55.684275,"high","05/07/18","07/12/18",12.49,14,2.877,6.6453162530024,165,41,0.5,0.705035682880728,0.20462130447745,43,16,106,165,149,215.376163636364,140.467072727273,177.921618181818,74.9090909090909,-53.2602,-64.4420181818182,-50.8050749334053,-61.4714470202354,-67.5561404301864,-67.5561404301864,132.909090909091,11.1818181818182,66.4545454545455,246.181818181818,131.272727272727,40.7272727272727,5.45454545454545,7.27272727272727,0.363636363636364,246.181818181818,131.272727272727,40.7272727272727,5.45454545454545,7.27272727272727,0.363636363636364,246.181818181818,131.272727272727,40.7272727272727,5.45454545454545,7.27272727272727,0.363636363636364,246.181818181818,131.272727272727,40.7272727272727,5.45454545454545,7.27272727272727,0.363636363636364,246.181818181818,131.272727272727,40.7272727272727,5.45454545454545,7.27272727272727,0.363636363636364,246.181818181818,131.272727272727,40.7272727272727,5.45454545454545,7.27272727272727,0.363636363636364,246.181818181818,131.272727272727,40.7272727272727,5.45454545454545,7.27272727272727,0.363636363636364
