site,replicate,tissue,beaker_weight,tissue_beaker_weight
Dunbar,2,blades,25.99458,31.38748
Dunbar,3,blades,25.99458,30.27619
Dunbar,4,blades,25.99458,30.73515
Dunbar,5,blades,25.99458,31.14698
Dunbar,1,rhizomes,25.99458,29.10675
Dunbar,2,rhizomes,25.99458,30.29159
Dunbar,3,rhizomes,25.99458,29.94854
Dunbar,4,rhizomes,25.99458,30.0171
Dunbar,5,rhizomes,25.99458,29.41699
Big Tree Bay,1,blades,25.60769,28.52309
Big Tree Bay,2,blades,25.60769,31.43263
Big Tree Bay,3,blades,25.60769,30.18731
Big Tree Bay,4,blades,25.60769,32.00603
Big Tree Bay,5,blades,25.60769,31.70038
Big Tree Bay,1,rhizomes,25.60769,27.7198
Big Tree Bay,2,rhizomes,25.60769,29.88553
Big Tree Bay,3,rhizomes,25.60769,28.5783
Big Tree Bay,4,rhizomes,25.60769,28.80372
Big Tree Bay,5,rhizomes,25.60769,29.09078
Port Caldera,1,blades,25.98776,37.36655
Port Caldera,2,blades,25.98776,33.47086
Port Caldera,3,blades,25.98776,34.76034
Port Caldera,4,blades,25.98776,33.82204
Port Caldera,5,blades,25.98776,34.95629
Port Caldera,1,rhizomes,25.98776,32.87194
Port Caldera,2,rhizomes,25.98776,30.2784
Port Caldera,3,rhizomes,25.98776,32.08479
Port Caldera,4,rhizomes,25.98776,32.34642
Port Caldera,5,rhizomes,25.98776,32.64024
Salt Lake Bay,1,blades,25.99458,33.23775
Salt Lake Bay,2,blades,25.99458,40.57349
Salt Lake Bay,3,blades,25.99458,36.80108
Salt Lake Bay,4,blades,25.99458,31.89587
Salt Lake Bay,5,blades,25.99458,36.86115
Salt Lake Bay,1,rhizomes,25.99458,29.7582
Salt Lake Bay,2,rhizomes,25.99458,33.13562
Salt Lake Bay,3,rhizomes,25.99458,32.32479
Salt Lake Bay,4,rhizomes,25.99458,29.84831
Salt Lake Bay,5,rhizomes,25.99458,35.79118
