"","Season","Species","length.mean","length.sd","length.n","mass.mean","mass.sd","mass.n","edible.mean","edible.sd","edible.n","Kcal.mean","Kcal.sd","Kcal.n","protein.mean","protein.sd","protein.n","lipid.mean","lipid.sd","lipid.n","ash.mean","ash.sd","ash.n","moisture.mean","moisture.sd","moisture.n"
"13","Spring","pio",64.3333333333333,20.2846411520309,6,49.82,35.9506906748674,6,19.546203064862,6.54748700764825,6,6.018961120785,0.295524254248121,6,46.87,NA,1,NA,NA,0,NA,NA,0,74.545,2.26152824435159,6
"14","Spring","prs",45.4642857142857,12.1314345110833,14,12.1014285714286,11.0494300981773,14,38.0130704543641,5.76920703586974,14,4.75484840132657,0.398865596662156,14,63.6378571428571,3.23653465815007,14,1.601,0.382490377511499,10,2.617,0.347532572414283,10,83.0135714285714,3.09376446605565,14
"15","Spring","pup",51.25,27.9307178568686,2,27.345,36.6210601976513,2,23.3423985740699,5.95823868080512,2,4.4467017201405,0.140272138693197,2,56.49,8.28729147550634,2,2.485,1.71826947828331,2,NA,NA,0,74.64,5.58614357137373,2
"16","Spring","sag",58.6818181818182,22.9371671390265,11,27.3045454545455,22.6485881960163,11,41.9479327746336,7.9703958245515,11,4.81227185740255,0.0718876146262177,11,65.76,5.52178956498706,11,1.868,0.506047867740241,10,2.64625,0.315093523531393,8,79.5481818181818,3.51138952035179,11
"17","Spring","std",32.6666666666667,7.81451640644939,6,0.551666666666667,0.487172111954971,6,3.99598137756837,2.03326902175689,6,4.711599744318,0.776883846803374,3,31.226,6.69163134071207,5,7.34,5.38815367264149,2,NA,NA,0,75.095,1.61287011256331,6
"18","Spring","stf",54.5,3.53553390593274,2,4.035,1.209152595829,2,7.48361788816188,0.538316360350507,2,5.0203154867805,0.0895713656715602,2,39.61,2.39002092041053,2,3.025,0.247487373415292,2,NA,NA,0,84.81,1.15965512114594,2
"19","Spring","tec",57.8,5.26307894677631,5,19.384,10.523684240797,5,35.8625030702896,7.71291412619007,5,4.717973230614,0.282426516082131,5,74.004,5.02879508431195,5,NA,NA,0,NA,NA,0,81.072,3.62226724580062,5
"20","Spring","tes",23.6,1.81659021245849,5,1.156,0.949331343630874,5,19.7452665213172,12.779054629679,5,4.6978967487816,0.357721411040966,5,78.924,2.52505049454461,5,1.78,1.13777560763682,4,NA,NA,0,75.99,2.65012263867165,5
"21","Summer","apc",230,25.4950975679639,5,289.476,57.1988262991471,5,100,0,5,3.4220841294798,0.19196044431118,5,44.826,2.07706042280912,5,0.612,0.0825832912882503,5,3.322,0.220272558436134,5,90.908,1.12070067368589,5
"22","Summer","cam",82.375,34.0501206207219,8,57.16125,86.8495902511101,8,43.5789550229826,6.41832302884131,8,4.63641252316988,0.381762969508291,8,64.845,6.23537603402668,8,1.91333333333333,0.855164701485431,6,2.97875,0.331638249560313,8,83.12,4.44137687788692,8
"23","Summer","cao",32,0.707106781186548,2,2.745,0.643467170879758,2,26.0218187647366,7.96203806337495,2,4.770554492556,0.324484947338481,2,54.88,2.27688383542068,2,NA,NA,0,NA,NA,0,83.705,6.39931636973825,2
"24","Summer","cap",127.5,36.7740850781271,4,123.6325,87.6108369913981,4,40.7432173772985,6.84117006676232,4,4.7335086034605,0.638327303792802,4,62.665,5.66292327336332,4,2.25,2.25280565813683,4,2.4725,0.217772817403826,4,84.765,8.6485933345641,4
"25","Summer","cef",60.6666666666667,8.38649708360608,3,4.93333333333333,1.91599408488997,3,17.6943482749496,1.25986199373172,3,4.682122370199,0.161342149417572,3,73.4266666666667,3.10760894150685,3,1.10666666666667,0.215715862498179,3,NA,NA,0,76.79,5.89254613897931,3
"26","Summer","chr",29.5,2.78388218141501,3,2.93333333333333,0.426653645634645,3,53.0566029617496,2.32456137397204,3,5.163320585547,0.154197294070965,3,NA,NA,0,NA,NA,0,NA,NA,0,79.26,0.739121099685301,3
