Site,CollectionDate,Month,Year,Month and Year,SampleID,Length,Gonad vial mass,Vial+Wet gonad,WetGonadicMass,somatic vial mass,vial+somatic mass,WetSomaticMass,wetTotalMass,WGSI,vial+dry gonadic mass,DryGonadicMass,vial+dry somatic mass,DrySomaticMass,DryShellMass,TOTALWET,DryTotalMass,DGSI,PelletMass,CalGram,CalMus,Unburned fuse,Fuse energy,Bomb,Gravid
Agnes,9/1/14,September,2014,14-Sep,M125,34,,,0.034,,,0.545,0.579,5.825,,0.004,,0.064,1.517,2.095,0.068,5.857,0.070,4670.650,319.010,,,,not gravid
Agnes,4/28/14,April,2014,14-Apr,M342,35,1.201,1.2583,0.057,1.210,1.479,0.270,0.327,17.534,1.218,0.017,1.277,0.067,1.956,2.283,0.084,19.881,0.059,3742.020,314.330,2.9,16.33,1,
Agnes,7/14/15,July,2015,15-Jul,M269,33,,,0.036,,,0.485,0.522,6.940,,0.004,,0.064,2.123,2.645,0.068,6.167,0.056,4520.440,307.840,,,1,
Agnes,9/1/14,September,2014,14-Sep,M150,30,,,0.036,,,0.361,0.397,9.091,,0.006,,0.057,0.790,1.187,0.063,9.569,0.062,4859.770,304.710,,,,
Agnes,9/1/14,September,2014,14-Sep,M123,33,,,0.022,,,0.396,0.418,5.261,,0.004,,0.060,1.075,1.493,0.064,6.270,0.055,4649.170,296.620,,,,not gravid
Agnes,8/13/15,August,2015,15-Aug,M323,31,1.2052,1.2251,0.020,1.201,1.501,0.300,0.320,6.225,,0.003,,0.055,1.616,1.936,0.058,5.089,0.045,5002.890,291.530,2,18.4,2,
Agnes,7/14/15,July,2015,15-Jul,M274,32,,,0.047,,,0.427,0.474,9.939,,0.007,,0.061,1.572,2.046,0.068,10.472,0.056,4207.090,285.240,,,1,
Agnes,7/14/15,July,2015,15-Jul,M301,31,0.6295,0.695,0.066,0.595,0.872,0.278,0.343,19.080,0.641,0.011,0.649,0.054,1.030,1.374,0.065,17.178,0.061,4276.040,278.800,3.6,14.72,1,
Agnes,9/1/14,September,2014,14-Sep,M151,30,,,0.028,,,0.422,0.450,6.307,,0.003,,0.054,0.917,1.367,0.057,5.624,0.058,4830.920,274.880,,,,
Agnes,8/13/15,August,2015,15-Aug,M329,30,1.2005,1.2609,0.060,1.202,1.450,0.248,0.309,19.579,,0.010,,0.050,1.347,1.655,0.060,16.746,0.047,4550.470,270.980,2.4,17.48,1,
Agnes,9/1/14,September,2014,14-Sep,M153,33,,,0.018,,,0.430,0.448,3.973,,0.002,,0.056,1.157,1.605,0.059,3.754,0.062,4615.400,270.460,,,,
Agnes,5/15/14,May,2014,14-May,M129,26,,,0.101,,,0.295,0.396,25.410,,0.016,,0.045,0.693,1.089,0.061,26.230,0.060,4360.440,265.990,,,,gravid
Agnes,7/14/15,July,2015,15-Jul,M298,28,0.6112,0.7128,0.102,0.614,0.857,0.244,0.345,29.424,0.633,0.021,0.658,0.045,1.144,1.489,0.066,32.273,0.060,4003.590,264.240,5.1,11.27,1,
Agnes,5/15/14,May,2014,14-May,M128,26,,,0.158,,,0.331,0.489,32.311,,0.021,,0.044,0.881,1.370,0.065,31.944,0.064,4062.220,263.230,1.6,19.32,1,gravid
Agnes,8/13/15,August,2015,15-Aug,M326,35,1.2012,1.275,0.074,1.429,1.694,0.265,0.338,21.815,,0.012,,0.051,2.581,2.920,0.064,19.299,0.050,4114.100,262.010,5.1,11.27,1,
Agnes,4/28/15,April,2015,15-Apr,M352,28,1.1987,1.2835,0.085,1.203,1.426,0.223,0.307,27.586,1.218,0.019,1.243,0.040,0.628,0.936,0.059,32.826,0.053,4430.140,261.820,2.7,16.79,1,
Agnes,9/1/14,September,2014,14-Sep,M149,29,,,0.030,,,0.317,0.348,8.717,,0.005,,0.050,0.847,1.195,0.055,9.058,0.053,4698.460,259.360,,,,
Agnes,7/14/15,July,2015,15-Jul,M278,33,,,0.061,,,0.328,0.388,15.593,,0.009,,0.044,1.426,1.814,0.053,16.854,0.043,4826.640,257.740,4,13.8,1,
Agnes,9/1/14,September,2014,14-Sep,M156,28,,,0.040,,,0.244,0.284,14.125,,0.008,,0.046,0.689,0.973,0.054,14.259,0.053,4740.310,255.980,,,,
Agnes,3/21/15,March,2015,15-Mar,M181,33,,,0.036,,,0.532,0.568,6.360,,0.004,,0.062,1.848,2.416,0.066,5.455,0.065,3844.510,253.740,,,,
Agnes,9/1/14,September,2014,14-Sep,M126,34,,,0.023,,,0.409,0.432,5.305,,0.003,,0.050,1.714,2.146,0.052,5.344,0.053,4756.020,249.220,,,,not gravid
