Species,n,a,b,x.1a,x.1b,x.1c,x.2a,x.2b,x.2c,x.3a,x.3b,x.3c,x.4
pas,10,1.526236396011399e-5,2.7908763304693207,0.01961100910668199,0.13571799373459104,0.5634522804642668,1.446375033334256,2.91221777015493,5.093605878957166,8.133691480580241,12.116474477254854,17.17147222572183,25.61703767038743
pio,17,0.001032639753970214,2.6048779465857863,0.8234463567926583,5.009353838290516,18.914726734391152,45.59715397117201,87.62425603454774,147.65368541639458,228.5389339535635,331.5226910427495,459.04193250660643,666.8006991744605
pom,9,3.1056569198505713e-6,3.6087394586018195,0.03251507857849273,0.3966647712671156,2.49926278758992,8.457010492097293,20.904025664459944,43.07091723372732,78.8882422928921,132.0761091501696,207.31574398202784,347.74629433971836
prs,66,6.180332447321038e-5,3.1744641042831696,0.2124149223245747,1.917758598248727,9.682420081023146,28.29308653721615,62.71887143995938,118.45985836428493,201.73007646202478,317.4308465444621,471.9474322972072,743.8611450123618
pup,11,1.4043777774913174e-4,3.007056440194617,0.3141770664394273,2.525740146636121,11.708342459677164,32.33203098033899,68.72570587944745,125.52435582052742,207.84279557726876,319.3235291617916,464.9347231657424,715.4342746118275
sag,41,5.809175855771952e-4,2.628978763432807,0.4927741761683569,3.048241744665974,11.652160277563578,28.31911803832873,54.7508735263522,92.70597596326503,144.07178041125943,209.71365237128572,291.2550739476197,424.5387832792716
std,27,7.819690461088801e-5,3.0030415657877545,0.17314412140689944,1.3880763042960649,6.421414978070357,17.708399904767155,37.60350267871373,68.62586083323004,113.55398292372443,174.36098619591618,253.74210236886654,390.2297568513872
tec,21,7.018746825686786e-4,2.5453474280532973,0.4804325501936718,2.804518758528917,10.272823707209984,24.271371952232276,45.951289984228666,76.5135939235038,117.2516166596017,168.64747839553962,231.78688679157355,333.83126076045284
tes,27,1.3385061364518596e-5,3.61234404581322,0.14143829182566361,1.7297801739892893,10.91886948954812,36.99230705974574,91.52021647926286,188.7056147252737,345.84022666531035,579.3100308763827,909.7344673375949,1526.754635286168
stf,74,4.273e-4,2.6483119,0.3808924188117375,2.3879413088069597,9.218563741230863,22.551359243426173,43.81164349362428,74.47116927673845,116.1094098239268,169.47835058270766,235.9445927636991,344.8715060855777
Abalone,5,6.367768022255991e-9,5.271716567980697,0.004746580599435167,0.1833688981798792,2.6982835777637906,16.012258778805013,60.0583918092282,172.66490242189914,417.97329813265685,887.3550552200513,1714.5003454052267,3649.9067294457523
Carn Snail,75,6.273696620622336e-4,2.072064276269501,0.12755154974660596,0.5363388293491075,1.543233428432689,3.1074567884575934,5.224745578198217,7.912818648328112,11.200612115691321,15.05740098175947,19.506482793428336,26.25167648618314
Clam,146,7.126132177997206e-5,3.1287268073102696,0.2178102440941583,1.9051050092941684,9.39674463551003,27.037350669617414,59.25172232949086,110.89063896058516,187.39725982816879,292.9578293081373,433.07980370963656,678.1397568037164
