SIN,ID,Date.Collected,Size.mm,Species,Frozen.Weight,Live.Weight,Date.Dissected,Dissected.Weight,Notes,SEX,Site.location,Season,site.number,Dried,Ash,Bomb,SI,SPV,Tissue,PreyCat
403985,18-248,5/15/18,41,cam,11.49,NA,8/8/18,3.02,Soda Bay,m,Soda Bay,Spring,6,FM135<0.5g,NA,s,ptn,y,whole,Crab
403986,18-503,5/15/18,185,cam,734.55,757.95,12/20/18,314.2,N Pass pot,m,Soda Bay,Spring,6,FM135,p,l,cn,y,whole,Crab
403987,18-345,8/8/18,32.5,cao,10.11,NA,8/9/18,3.2,Alberto Is.,f,Craig,Summer,5,FM135<0.5g,NA,s,cn,NA,whole,Crab
403988,18-346,8/8/18,31.5,cao,11.23,NA,8/9/18,2.29,Alberto Is.,m,Craig,Summer,5,FM135<0.5g,NA,l,cn,NA,whole,Crab
403989,18-115,5/2/18,75,sag,93.56,NA,5/20/18,47.63,NA,NA,Nossuk,Spring,1,FM135AlPan,y,l,cn,NA,whole,Clam
403990,18-168,5/17/18,51,prs,34.66,NA,5/26/18,15.7,NA,NA,Soda Bay,Spring,8,FM135AlPan,y,l,cn,y,whole,Clam
403991,18-169,5/17/18,68,prs,90.83,NA,5/26/18,35.9,NA,NA,Soda Bay,Spring,8,FM135AlPan,y,l,cn,y,whole,Clam
403992,18-170,5/17/18,56,prs,41.55,NA,5/26/18,18.42,NA,NA,Soda Bay,Spring,8,FM135AlPan,y,l,cn,y,whole,Clam
403993,18-171,5/17/18,45,prs,20.8,NA,5/26/18,8.2,NA,NA,Soda Bay,Spring,8,FM135AlPan,y,l,cn,y,whole,Clam
403994,18-172,5/17/18,65,prs,90.95,NA,5/26/18,35.78,NA,NA,Soda Bay,Spring,8,FM135AlPan,y,l,cn,y,whole,Clam
403995,18-025,5/17/18,65.5,sag,NA,68.18,5/17/18,27.12,broken butter,NA,Soda Bay,Spring,8,FM135AlPan,y,l,cn,y,whole,Clam
403996,18-175,5/17/18,45,sag,18.65,NA,5/26/18,9.9,NA,NA,Soda Bay,Spring,8,FM135AlPan,y,l,cn,y,whole,Clam
403997,18-176,5/17/18,86,sag,152.07,NA,5/26/18,68.1,NA,NA,Soda Bay,Spring,8,FM135AlPan,y,l,cn,y,whole,Clam
403998,18-404,7/28/18,160,cam,515.24,NA,8/14/18,269.17,North Pass,f,Soda Bay,Summer,15,FM135AlPan,y,l,cn,y,whole,Crab
403999,18-405,7/28/18,71,cam,44.49,NA,8/14/18,16.65,North Pass,f,Soda Bay,Summer,15,FM135AlPan,y,l,cn,y,whole,Crab
404000,18-511,7/28/18,89,cam,97.93,NA,12/21/18,44.91,"Natsuhini, pots",m,Soda Bay,Summer,15,FM135AlPan,y,l,cn,y,whole,Crab
404001,19-001,2/17/19,250,apc,382.36,NA,NA,382.36,Soda Bay,NA,Soda Bay,Winter,9,FM135AlPan,y,l,cn,y,whole,Cucumber
404002,19-002,2/17/19,350,apc,768.45,NA,NA,768.45,Soda Bay,NA,Soda Bay,Winter,9,FM135AlPan,y,l,cn,y,whole,Cucumber
404003,19-003,2/17/19,250,apc,326.72,NA,NA,326.72,Soda Bay,NA,Soda Bay,Winter,9,FM135AlPan,y,l,cn,y,whole,Cucumber
404004,19-004,2/17/19,250,apc,287.5,NA,NA,287.5,Soda Bay,NA,Soda Bay,Winter,9,FM135AlPan,y,s,cn,y,whole,Cucumber
404005,18-173,5/17/18,37,sag,11.3,NA,5/26/18,4.79,NA,NA,Soda Bay,Spring,8,FM135,p,l,ptn,y,whole,Clam
404006,18-124,5/2/18,25,cln,3.99,NA,5/20/18,1.86,NA,NA,Nossuk,Spring,1,FM135<0.5g,NA,s,ptn,NA,whole,Clam
404007,18-125,5/2/18,27,cln,5.47,NA,5/20/18,2.64,NA,NA,Nossuk,Spring,1,FM135,NA,l,ptn,NA,whole,Clam
404008,18-126,5/2/18,30,cln,7.54,NA,5/20/18,3.75,NA,NA,Nossuk,Spring,1,FM135,NA,l,ptn,NA,whole,Clam
404009,18-127,5/2/18,36,cln,13.34,NA,5/20/18,6.75,NA,NA,Nossuk,Spring,1,FM135AlPan,y,l,ptn,NA,whole,Clam
404010,18-120,5/2/18,32,prs,8.46,NA,5/20/18,3.46,NA,NA,Nossuk,Spring,1,FM135,NA,l,ptn,NA,whole,Clam
404011,18-121,5/2/18,31,prs,7.4,NA,5/20/18,3.18,NA,NA,Nossuk,Spring,1,FM135,NA,l,ptn,NA,whole,Clam
404012,18-122,5/2/18,31,prs,7.94,NA,5/20/18,3.13,NA,NA,Nossuk,Spring,1,FM135,NA,l,ptn,NA,whole,Clam
404013,18-123,5/2/18,32,prs,7.71,NA,5/20/18,3.1,NA,NA,Nossuk,Spring,1,FM135,NA,l,ptn,NA,whole,Clam
404014,18-051,5/13/18,46,std,29.32,NA,5/20/18,1.46,NA,NA,Craig,Spring,5,FM135<0.5g,NA,s,ptn,y,whole,Urchin
404015,18-052,5/13/18,35,std,14.69,NA,5/20/18,0.29,NA,NA,Craig,Spring,5,FM135<0.5g,NA,s (composite),ptn,NA,whole,Urchin
404016,18-174,5/17/18,26,sag,4.3,NA,5/26/18,2.08,NA,NA,Soda Bay,Spring,8,FM135,NA,l,ptn,y,whole,Clam
404017,18-148,5/17/18,25,std,5.97,NA,5/26/18,0.06,NA,NA,Soda Bay,Spring,9,FM135<0.5g,NA,NA,ptn,NA,whole,Urchin
404018,18-150,5/17/18,26,std,6.1,NA,5/26/18,0.37,2 combined,NA,Soda Bay,Spring,9,FM135<0.5g,NA,s (composite),ptn,NA,whole,Urchin
404019,18-151,5/17/18,29,std,8.61,NA,5/26/18,0.47,NA,NA,Soda Bay,Spring,9,FM135<0.5g,NA,NA,ptn,y,whole,Urchin
404020,18-146,5/18/18,57,stf,62.18,NA,5/26/18,4.89,NA,NA,NA,Spring,12,FM135,p,l,ptn,y,whole,Urchin
404021,18-147,5/18/18,52,stf,44.77,NA,5/26/18,3.18,NA,NA,NA,Spring,12,FM135,NA,l,ptn,y,whole,Urchin
404022,18-630s,8/10/18,62,evt,152.46,NA,1/30/19,11.24,"stomach, soda bay",NA,Soda Bay,Summer,9,FM135AlPan,y,l,ptn,NA,stomach,Star
404023,18-630f,8/10/18,62,evt,152.46,NA,1/30/19,3.71,soda bay,NA,Soda Bay,Summer,9,FM135,NA,l,ptn,NA,feet,Star
404024,18-628,8/10/18,79,pio,331.67,NA,1/30/19,81.94,"stomach, soda bay",NA,Soda Bay,Summer,9,FM135AlPan,y,l,ptn,NA,stomach,Star
404025,18-628,8/10/18,79,pio,331.67,NA,1/30/19,9.94,"feet, soda bay",NA,Soda Bay,Summer,9,FM135AlPan,y,l,ptn,NA,feet,Star
404026,18-628,8/10/18,79,pio,331.67,NA,1/30/19,2.93,"gonads, soda bay",NA,Soda Bay,Summer,9,FM135,NA,l,ptn,NA,gonads,Star
404027,18-629,8/10/18,90,pio,487.93,NA,1/30/19,69.81,"stomach, soda bay",NA,Soda Bay,Summer,9,FM135AlPan,y,l,ptn,NA,stomach,Star
404028,18-629,8/10/18,90,pio,487.93,NA,1/30/19,28.28,"gonads, soda bay",NA,Soda Bay,Summer,9,FM135AlPan,y,l,ptn,NA,gonads,Star
404029,18-629,8/10/18,90,pio,487.93,NA,1/30/19,7.19,"feet, soda bay",NA,Soda Bay,Summer,9,FM135AlPan,y,l,ptn,NA,feet,Star
404030,18-631,8/10/18,79,pio,348.27,NA,1/30/19,92.1,"stomach, soda bay",NA,Soda Bay,Summer,9,FM135AlPan,y,l,ptn,NA,stomach,Star
404031,18-631,8/10/18,79,pio,348.27,NA,1/30/19,8.8,"gonads, soda bay",NA,Soda Bay,Summer,9,FM135AlPan,y,l,ptn,NA,gonads,Star
404032,18-631,8/10/18,79,pio,348.27,NA,1/30/19,5.89,"feet, soda bay",NA,Soda Bay,Summer,9,FM135,NA,l,ptn,NA,feet,Star
404033,19-005,2/17/19,74,apc,8.26,NA,NA,8.26,"Soda bay, soft sediment site, 2 combined",NA,Soda Bay,Winter,8,FM135AlPan,y,l,ptn,y,whole,Cucumber
404034,19-051,2/17/19,27.5,cln,6.47,NA,3/6/19,2.75,Soda Bay,NA,Soda Bay,Winter,8,FM135,NA,l,cn?,NA,whole,Clam
404035,19-052,2/17/19,62,cln,76.73,NA,3/6/19,39.25,Soda Bay,NA,Soda Bay,Winter,8,FM135AlPan,y,l,ptn,y,whole,Clam
404036,19-053,2/17/19,49,cln,29.83,NA,3/6/19,15.25,Soda Bay,NA,Soda Bay,Winter,8,FM135AlPan,y,l,ptn,y,whole,Clam
404037,19-054,2/17/19,58,cln,56.42,NA,3/6/19,25.82,Soda Bay,NA,Soda Bay,Winter,8,FM135AlPan,y,l,ptn,y,whole,Clam
404038,19-046,2/17/19,40,prs,15.77,NA,3/6/19,7.31,Soda Bay,NA,Soda Bay,Winter,8,FM135AlPan,y,l,ptn,y,whole,Clam
404039,19-047,2/17/19,44,prs,25.77,NA,3/6/19,12.75,Soda Bay,NA,Soda Bay,Winter,8,FM135AlPan,y,l,ptn,y,whole,Clam
404040,19-048,2/17/19,46,prs,24.48,NA,3/6/19,11.47,Soda Bay,NA,Soda Bay,Winter,8,FM135AlPan,y,l,ptn,y,whole,Clam
404041,19-049,2/17/19,44,prs,26.44,NA,3/6/19,12.73,Soda Bay,NA,Soda Bay,Winter,8,FM135AlPan,y,l,ptn,y,whole,Clam
404042,19-050,2/17/19,60,prs,67.91,NA,3/6/19,32.9,Soda Bay,NA,Soda Bay,Winter,8,FM134,NA,NA,NA,NA,whole,Clam
404043,19-040,2/17/19,41,sag,12.15,NA,3/6/19,4.89,"Soda bay, broken shell",NA,Soda Bay,Winter,8,FM135,p,l,ptn,y,whole,Clam
404044,19-045,2/17/19,69,sag,115.99,NA,3/6/19,50.99,Soda Bay,NA,Soda Bay,Winter,8,do,y,l,ptn,y,whole,Clam
404045,19-042,2/17/19,61,sag,61.92,NA,3/6/19,28.75,Soda Bay,NA,Soda Bay,Winter,8,do,p,l,ptn,y,whole,Clam
404046,19-043,2/17/19,59,sag,75.19,NA,3/6/19,30.55,Soda Bay,NA,Soda Bay,Winter,8,do,y,l,ptn,y,whole,Clam
404047,19-044,2/17/19,69,sag,97.94,NA,3/6/19,42.15,Soda Bay,NA,Soda Bay,Winter,8,do,p,l,ptn,y,whole,Clam
404048,18-307,8/8/18,31,nul,4.65,NA,8/9/18,0.83,S. Wadleigh,NA,Craig,Summer,2,FM135<0.5g,NA,s,ptn,NA,whole,Carn Snail
404049,18-308,8/8/18,33,nul,4.66,NA,8/9/18,0.99,S. Wadleigh,NA,Craig,Summer,2,FM135<0.5g,NA,s,ptn,NA,whole,Carn Snail
404050,18-309,8/8/18,32,nul,4.56,NA,8/9/18,1.72,S. Wadleigh,NA,Craig,Summer,2,FM135<0.5g,NA,s,ptn,NA,whole,Carn Snail
404051,18-310,8/8/18,30,nul,3.77,NA,8/9/18,0.99,S. Wadleigh,NA,Craig,Summer,2,FM135<0.5g,NA,s,ptn,NA,whole,Carn Snail
404052,18-311,8/8/18,29,nul,3.42,NA,8/9/18,1.28,S. Wadleigh,NA,Craig,Summer,2,FM135<0.5g,NA,s,ptn,NA,whole,Carn Snail
404053,18-312,8/8/18,30,nul,3.94,NA,8/9/18,0.85,S. Wadleigh,NA,Craig,Summer,2,FM135<0.5g,NA,s,ptn,NA,whole,Carn Snail
404054,18-532,7/31/18,100,squid eggs,128.34,NA,NA,NA,"Nossuk, seine",NA,Nossuk,Summer,16,FM135AIPan,y,l,ptn,NA,whole,NA
404055,19-010,2/18/19,84,sag,152.12,NA,3/4/19,73.96,Wadleigh,NA,Craig,Winter,2,FM135AIPan,y,l,ptn,y,whole,Clam
404056,19-009,2/18/19,80.5,sag,146.07,NA,3/4/19,70.46,Wadleigh,NA,Craig,Winter,2,FM135AIPan,y,l,ptn,y,whole,Clam
404057,19-008,2/18/19,77,sag,135.85,NA,3/4/19,64.03,Wadleigh,NA,Craig,Winter,2,FM135AIPan,y,l,ptn,y,whole,Clam
404058,19-007,2/18/19,78,sag,113.57,NA,3/4/19,51.11,"Wadleigh, broken shell",NA,Craig,Winter,2,FM135AIPan,y,l,ptn,y,whole,Clam
404059,18-386,8/2/18,65,cln,76.25,NA,8/14/18,38.24,North Pass,NA,Soda Bay,Summer,15,FM135AIPan,y,l,ptn,NA,whole,Clam
404060,18-651s,5/13/18,88,pio,273.23,NA,4/3/19,37.67,Alberto Is,NA,Craig,Spring,5,FM135AIPan,y,l,ptn,NA,stomach,Star
404061,18-382,8/2/18,64.5,sag,75.61,NA,8/14/18,36.12,North Pass,NA,Soda Bay,Summer,15,FM135AIPan,y,l,ptn,NA,whole,Clam
404062,18-385,8/2/18,63,sag,70.57,NA,8/14/18,34.33,North Pass,NA,Soda Bay,Summer,15,FM135AIPan,y,l,ptn,NA,whole,Clam
404063,19-013,2/18/19,58,prs,75.67,NA,3/4/19,30.19,Wadleigh,NA,Craig,Winter,2,FM135AIPan,y,l,ptn,y,whole,Clam
404064,18-383,8/2/18,59,sag,63.15,NA,8/14/18,28.88,North Pass,NA,Soda Bay,Summer,15,FM135AIPan,y,l,ptn,NA,whole,Clam
404065,18-651g,5/13/18,88,pio,273.23,NA,4/3/19,27.78,Alberto Is,NA,Craig,Spring,5,FM135AIPan,y,l,ptn,NA,gonads,Star
404066,18-381,8/2/18,64,sag,60.34,NA,8/14/18,24.77,North Pass,NA,Soda Bay,Summer,15,FM135AIPan,y,l,ptn,NA,whole,Clam
404067,19-016,2/18/19,56,prs,59.22,NA,3/4/19,24.67,Wadleigh,NA,Craig,Winter,2,FM135AIPan,y,l,ptn,y,whole,Clam
404068,19-014,2/18/19,52.5,prs,46.81,NA,3/4/19,22.45,Wadleigh,NA,Craig,Winter,2,FM135AIPan,y,l,ptn,y,whole,Clam
404069,19-015,2/18/19,54,prs,51.2,NA,3/4/19,20.55,Wadleigh,NA,Craig,Winter,2,FM135AIPan,y,l,ptn,y,whole,Clam
404070,18-389,8/2/18,54,prs,60.08,NA,8/14/18,17.67,North Pass,NA,Soda Bay,Summer,15,FM135AIPan,y,l,ptn,NA,whole,Clam
404071,19-072s,2/19/19,64,pio,172.6,NA,4/8/19,17.61,Alberto Is,NA,Craig,Winter,5,FM135AIPan,y,l,ptn,NA,stomach,Star
404072,18-354,8/10/18,47,stf,39.15,NA,8/14/18,16.14,Soda Bay,NA,Soda Bay,Summer,9,FM135AIPan,y,l,ptn,y,whole,Urchin
404073,19-017,2/18/19,44,prs,27.11,NA,3/4/19,9.81,Wadleigh,NA,Craig,Winter,2,FM135AIPan,y,l,ptn,y,whole,Clam
404074,18-387,8/2/18,46,cln,29.34,NA,8/14/18,14.67,North Pass,NA,Soda Bay,Summer,15,FM135AIPan,y,l,ptn,NA,whole,Clam
404075,18-313,8/2/18,47,cln,32.85,NA,8/9/18,14.66,South Pass,NA,Soda Bay,Summer,18,FM135AIPan,y,l,ptn,NA,whole,Clam
404076,18-356,8/10/18,49,stf,39.3,NA,8/14/18,12.85,Soda Bay,NA,Soda Bay,Summer,9,FM135AIPan,y,l,ptn,y,whole,Urchin
404077,19-022,2/18/19,44.5,cln,26.02,NA,3/4/19,12.27,Wadleigh,NA,Craig,Winter,2,FM135AIPan,y,l,ptn,y,whole,Clam
404078,18-393,8/2/18,45.5,prs,27.01,NA,8/14/18,12.14,North Pass,NA,Soda Bay,Summer,15,FM135AIPan,y,l,ptn,NA,whole,Clam
404079,18-384,8/2/18,43,sag,22.21,NA,8/14/18,11.52,"North pass, photos, weird shell",NA,Soda Bay,Summer,15,FM135AIPan,y,l,ptn,NA,whole,Clam
404080,18-390,8/2/18,45,prs,33.02,NA,8/14/18,11.14,North Pass,NA,Soda Bay,Summer,15,FM135AIPan,y,l,ptn,y,whole,Clam
404081,18-349,8/10/18,46,std,36.41,NA,8/14/18,10.76,Soda Bay,NA,Soda Bay,Summer,9,FM135AIPan,y,l,ptn,y,whole,Urchin
