"","Species","Season","n","mean.moist","sd.moist","mean.kcald","sd.kcald","mean.kcalw","sd.kcalw","mean.lipid","sd.lipid","mean.protein","sd.protein"
"24","evt","Summer",8,77.01,3.98374554551725,5.70775573523813,0.287805093582973,1.31826317498345,0.26413471224631,NA,NA,55.72,NA
"25","evt","Winter",7,77.2314285714286,4.31604536804789,5.51488664212457,0.397015451809724,1.26560355757164,0.308653258259627,NA,NA,47.85,NA
"26","hak","Spring",2,76.14,0.60811183182043,4.5542543013855,0.0794312110672324,1.08688659160691,0.0466472462185581,NA,NA,NA,NA
"27","hak","Summer",3,75.0866666666667,4.76533664428163,4.635914594553,0.126703100180916,1.15652334271129,0.237893646087571,NA,NA,NA,NA
"28","lid","Winter",2,74.93,2.03646752981726,4.5972753338835,0.140272138693197,1.15396522448353,0.12878824460122,NA,NA,NA,NA
"29","map","Winter",6,77.17,6.00021999596682,NA,NA,NA,NA,NA,NA,78.185,2.12258097607606
"30","mtr","Spring",9,79.7588888888889,1.36198792619873,NA,NA,NA,NA,NA,NA,64.1711111111111,3.31826929454363
"31","mtr","Summer",9,82.7766666666667,1.82059056352602,4.6235659648545,0.148958025820978,0.791237810582758,0.110635207100112,NA,NA,54.0644444444444,3.85454962061429
"32","mtr","Winter",12,83.3083333333333,0.927360215718236,4.572179731593,0.0878813399041719,0.778985779035932,0.0269327576368243,NA,NA,64.7018181818182,3.59938833187479
"33","nul","Spring",6,76.7916666666667,0.772461433773021,4.784894836722,0.218530199787022,1.11064273405058,0.0735016760660452,NA,NA,68.675,1.85895400696198
"34","nul","Summer",8,76.7875,2.66212992062478,4.99521988449,0.385528427155437,1.1863006690291,0.179331077903633,NA,NA,67.2125,5.45692940869025
"35","nul","Winter",3,75.0966666666667,2.04881266428469,NA,NA,NA,NA,NA,NA,68.25,4.58356847881648
"36","pab","Spring",2,79.745,0.0353553390593254,4.483747609236,0.0608409276259663,0.908193833508876,0.013908574060449,NA,NA,NA,NA
"37","pas","Summer",5,74.942,1.4707039130974,4.954588909353,0.220747385076603,1.24028150076055,0.0653217729944804,NA,NA,NA,NA
"38","pio","Spring",6,74.545,2.26152824435159,6.018961120785,0.295524254248121,1.53516503321886,0.193346786644412,NA,NA,46.87,NA
"39","pio","Summer",8,71.17875,2.65738559759131,6.001434033471,0.265657552015985,1.73272341033878,0.206946737586049,NA,NA,45.455,5.3245140623347
"40","pio","Winter",3,77,1.14240973385209,5.772785212602,0.30555678337688,1.32786002209793,0.0997776468633755,NA,NA,48.33,NA
"41","pom","Summer",3,77.48,0.47791212581394,4.993626512916,0.176869627644158,1.12503903742626,0.061472767054643,NA,NA,NA,NA
"42","prs","Spring",14,83.0135714285714,3.09376446605565,4.75484840132657,0.398865596662156,0.804387889111142,0.141683072111116,8.70656855140394,1.71124232058957,63.6378571428571,3.23653465815007
"43","prs","Summer",10,86.52,2.09758061691188,4.2958891006614,0.179702364706823,0.581304684420815,0.106088743478061,7.89520678341842,1.5413723742903,58.86,5.3792337331218
"44","prs","Winter",9,86.8522222222222,2.64291873587601,4.356809007174,0.318067259542908,0.578956739870516,0.141813150047717,4.57675542578168,1.16849602746391,58.9022222222222,3.93205028508594
"45","pup","Spring",2,74.64,5.58614357137373,4.4467017201405,0.140272138693197,1.13160145775665,0.283972156650388,9.27774274609017,4.7318669097161,56.49,8.28729147550634
"46","pup","Summer",3,82.3866666666667,3.51342188376706,4.105321860411,0.625603316248394,0.737340184714898,0.263642530741154,8.48886861903905,6.00702456291655,47.35,2.89420109874901
"47","sag","Spring",11,79.5481818181818,3.51138952035179,4.81227185740255,0.0718876146262177,0.983589409718096,0.166637678788823,8.83428663817737,2.18829166080846,65.76,5.52178956498706
"48","sag","Summer",10,84.786,2.04442983086565,4.3025812612722,0.240096829628816,0.657328178672696,0.113408017659606,6.08855009040418,1.73472101062168,60.797,5.55049957711516
