Sample,C12:0,i-C13:0,C13:0,C13:1w,i-C14:0,C14:0,C14:1w,C14:1w5,i-C15:0,a-C15:0,C15:0,C15:1w,i-C16:0,C16:0,C16:1w9,C16:1w7,C16:1w5,i-C17:0,C16:2w6,C16:2w3,a-C17:0,C17:0,C16:3w3,C17:1w9,C16:4w,i-C18:0,C17:3w,C16:2w,C16:4w3,C18:0,C18:1w,C18:1w9,C18:1w7,C18:2w6,i-C19:0,C18:3w6,C19:0,C18:3w3,C18:4w3,C18:4w2,C20:0,C20:1w9,C20:1w7,C20:2w,C20:2w3,C20:2w6,C20:3w6,C21:0,C20:4w6,C20:3w3,C20:4w3,C20:5w3,C20:6w3,C22:0,C22:1w,C22:1w9,C22:2w6,C22:2w3,C22:2w6,C22:4w3,C23:0,C22:4w6,C22:3w3,C22:5w3,C22:6w3
B_195_DungC_3152019_22.qgd,9675,0,897,0,956,280041,817,185,16714,7091,322004,1908,62180,10607753,0,492604,17773,264421,11351,879,150976,552005,0,77169,0,95803,0,21661,0,2786410,137952,1230153,674460,801928,8327,15303,10326647,132016,106396,0,105099,125866,89427,5461,0,481216,20143,17902,670353,74285,83457,7577223,0,68764,1866,36545,0,5312,0,94129,5180,77242,38959,562346,5187661
B_197_DungC_3152019_23.qgd,8316,0,1046,0,544,403079,759,328,9825,3758,340167,180,54232,10688789,0,650183,15679,243182,27327,1494,126003,521956,0,68891,0,84835,0,1190,0,2814536,119668,1000014,687100,746185,7686,21622,11222408,171567,98933,0,96356,104300,99641,3520,0,366372,16530,17393,554133,61584,59947,8292465,0,67867,1249,31469,0,4383,0,187130,4933,65082,27796,555908,4140870
B_204_DungC_3152019_29.qgd,13404,0,1738,0,1012,223411,901,0,12622,5126,331436,1295,81238,9781534,0,429945,13171,366498,3988,12539,171751,567446,0,47186,0,125007,0,1519,0,3538175,199570,968149,773600,829578,14435,14388,11773648,195678,58958,0,152193,171029,140893,5387,0,676506,33525,21261,796776,171471,91776,7570103,0,81008,3050,32395,0,6872,0,99544,5651,153608,32668,865395,3669269
B_205_DungC_3152019_30.qgd,7571,0,1684,0,1692,259443,1635,0,31376,16960,705247,1150,142649,11540685,0,1104326,26950,659364,22834,2025,376263,1082053,0,404220,0,45190,0,53572,0,2938413,123983,898395,905785,483518,17853,20179,11931449,88623,58533,0,101111,169424,119725,5880,0,245622,23735,16558,868444,36573,74660,8628664,0,43556,2249,55993,0,4509,0,209343,3268,109540,58156,847514,4515801
B_207_DungC_3152019_31.qgd,9686,0,1815,0,1547,186213,4388,85,31531,18670,458989,175,89418,8775023,0,559850,15737,418800,9184,1367,359839,910845,0,239467,0,44358,0,35877,0,2772662,154538,923488,812901,350867,22168,10359,11146708,60446,20224,0,107227,170662,73656,4830,0,231119,24449,18871,726813,36159,45139,7239457,0,60288,2347,56348,0,3622,0,115698,6108,106668,49301,740068,3566284
B_191_Stag_3152019_20.qgd,3010,0,1300,0,980,221259,1333,320,18928,3334,127845,1214,26300,7649787,0,153009,12423,124961,5243,2672,45180,223484,0,24454,0,15741,0,27609,0,3958718,122281,888390,425295,237555,10484,9177,9433438,98089,57116,0,41476,115144,99581,2965,0,82522,24485,7592,631766,37787,110066,3737832,0,6110,1174,21669,0,11665,0,33667,0,77325,51054,897335,5321709
B_192_Stag_3152019_21.qgd,5992,0,1831,0,2398,427050,1613,1392,31791,7365,147600,605,50825,10530713,0,308728,21132,226195,18347,3277,96887,236497,0,21912,0,30167,0,28886,0,4328173,146518,1120417,600765,297088,15921,11209,11511788,131321,119503,0,38011,141653,98941,4077,0,82918,33997,9607,696789,28665,175395,4532491,0,7170,487,26449,0,11845,0,55431,0,114972,74128,1191518,7030240
B_247_Stag_3172019_8.qgd,6555,0,1675,0,1799,476981,1436,914,26979,4205,151282,811,36555,10570059,0,426362,21502,195456,17192,4832,74960,265919,0,20331,0,25651,0,31611,0,5159344,148999,1110216,672780,341412,32209,19780,11592740,214345,166483,0,71452,154661,195990,9169,0,109570,42014,10974,798485,37249,142205,5972068,0,22036,3970,38016,0,45804,0,99680,4105,146977,50244,1620256,5244078
B_248_Stag_3172019_10.qgd,4700,0,1047,0,892,303098,1182,172,17761,4615,133173,2145,24306,9341389,0,254036,16244,120091,7456,2997,40709,243179,0,16683,0,10425,0,18500,0,4530725,131720,804243,544835,304119,17767,17346,12008761,231985,90682,0,48402,118095,151830,5540,0,109254,43809,11296,905826,42675,126846,5127486,0,16722,2919,26911,0,27474,0,44501,2280,120993,37651,1487243,4902439
B_239_SPerch_3172019_4.qgd,6578,0,1702,0,566,307194,1612,699,6989,2054,122948,411,6931,12816261,0,203025,16264,63621,10241,755,14054,209039,0,15632,0,22089,0,60952,0,5139120,29399,771939,465432,222466,15750,8024,11410424,49277,39296,0,75180,108160,62025,679,0,37259,19666,13421,1002938,12366,56886,4583421,0,44965,2554,53528,0,5060,0,19421,5491,44851,67652,538566,7017738
B_241_SPerch_3172019_5.qgd,11569,0,3526,0,2585,691266,1961,1326,48472,6678,208384,772,13985,14372531,0,342358,21004,89148,18394,3610,20279,244693,0,27600,0,33854,0,49601,0,5305769,38885,1227453,550062,315015,11114,16660,11102293,121401,164622,0,73310,204817,48661,599,0,39370,15489,11971,769951,11956,125203,4305672,0,35018,300,48949,0,3873,0,31465,4800,18874,67335,448804,8541157
B_255_SPBack_3172019_13.qgd,6859,0,4159,0,3172,585442,2722,1917,42997,10801,352125,1850,77699,9494557,0,433410,33213,229018,8317,3165,135844,445818,0,79152,0,16427,0,35657,0,3128485,148117,1021635,574281,158066,17541,15293,10976708,48796,38709,0,33525,241605,300129,6196,0,36090,29129,10319,1128941,13233,54035,4763385,0,19811,14381,105431,0,8203,0,91135,5476,117051,103059,655719,4395491
B_256_SPBack_3172019_14.qgd,6943,558,3245,0,3263,631076,2511,1951,44471,12823,324639,1055,86464,9624607,0,477002,36376,255836,13429,2944,154921,402715,0,56151,0,9712,0,24114,0,2876344,220067,916656,608681,179785,19783,18019,11511440,49313,47603,0,26554,212592,296779,7264,0,41487,33019,11162,1152448,17023,64546,5106762,0,13701,6897,86304,0,9964,0,81323,2828,159971,110670,794927,3783217
B_242_DShrimp_3172019_6.qgd,140563,0,7664,0,5170,1061811,15496,461,52643,16746,848113,769,65835,12249128,0,822209,14593,302890,21923,317,121817,879255,0,214615,0,21544,0,77873,0,4097772,100964,1313500,1065950,577356,49393,31478,11084742,218891,61156,0,116034,169485,132195,6074,0,67938,19984,19323,664553,25237,64352,6683533,0,74666,6546,48833,0,12821,0,131379,14752,54355,30451,435005,3675045
B_244_DShrimp_3172019_7.qgd,123807,0,7116,0,2685,1037965,2031,602,35700,9122,1291591,356,28546,12401920,0,747736,11014,147194,24778,1802,53118,864701,0,347817,0,16888,0,137626,0,3597816,80509,1376196,1007081,622376,24812,25086,10657276,234363,43634,0,102482,47539,86428,3099,0,54798,13664,15727,567051,27082,43552,6320245,0,56578,2038,42839,0,5558,0,118376,13890,24190,20495,249662,3870922
B_250_DShrimp_3172019_11.qgd,178458,878,6730,0,4600,1540539,3718,674,59765,21066,549360,266,76437,13348418,0,920303,19028,330223,32372,2180,145097,685987,0,103864,0,19414,0,29088,0,3964176,102911,1451916,1143265,484956,46022,23794,11555368,137449,83438,0,127398,155412,110596,4240,0,48661,15606,17548,646670,15622,67302,7115710,0,80139,10028,57586,0,4441,0,131321,15797,33575,29565,324680,4259648
B_251_DShrimp_3172019_12.qgd,100723,0,3917,0,2583,807984,1985,153,33522,9475,323741,534,35142,9814083,0,552362,9573,167325,7938,870,67728,399490,0,52481,0,13066,0,13681,0,2487399,88659,1026361,743642,346184,20321,13850,8661965,128187,35009,0,62455,85220,56848,2632,0,51836,8280,9978,416741,16581,39652,4743226,0,33132,3118,21917,1,6567,1,54975,5847,37693,17993,302878,3076007
Blank_ProdMar11_3152019_24.qgd,1743,0,0,0,0,5927,0,0,0,0,1675,0,0,81794,0,724,0,0,0,397,0,0,0,0,0,0,0,0,0,93781,180,30769,861,13713,1350,0,10298576,3627,0,0,0,37,117,121,0,0,0,6641,142,0,0,0,0,0,146,0,0,495,0,531,0,0,0,0,0
Blank_ProdMar12_3172019_2.qgd,1916,0,0,0,0,6338,38,0,0,0,0,171,0,87162,0,0,523,0,0,188,0,0,0,0,0,0,0,952,0,91561,344,34725,0,16314,1606,0,10677312,0,0,0,0,745,296,208,0,0,0,8260,0,0,0,0,0,0,187,0,0,380,0,262,0,0,0,0,0
