Sample,C12:0,i-C13:0,C13:0,C13:1w,i-C14:0,C14:0,C14:1w,C14:1w5,i-C15:0,a-C15:0,C15:0,C15:1w,i-C16:0,C16:0,C16:1w9,C16:1w7,C16:1w5,i-C17:0,C16:2w6,C16:2w3,a-C17:0,C17:0,C16:3w3,C17:1w9,C16:4w,i-C18:0,C17:3w,C16:2w,C16:4w3,C18:0,C18:1w,C18:1w9,C18:1w7,C18:2w6,i-C19:0,C18:3w6,C19:0,C18:3w3,C18:4w3,C18:4w2,C20:0,C20:1w9,C20:1w7,C20:2w,C20:2w3,C20:2w6,C20:3w6,C21:0,C20:4w6,C20:3w3,C20:4w3,C20:5w3,C20:6w3,C22:0,C22:1w,C22:1w9,C22:2w6,C22:2w3,C22:4w3,C23:0,C22:4w6,C22:3w3,C22:5w3,C22:6w3
B_184_PMacoma_3152019_16.qgd,0.0058,0.0000,0.0056,0.0000,0.0057,1.1128,0.0037,0.0015,0.0358,0.0183,1.2281,0.0044,0.3777,14.3112,0.0000,2.1595,0.1170,1.5407,0.0195,0.0116,0.5457,1.4468,0.0000,0.5507,0.0000,0.0507,0.0000,0.0345,0.0000,10.1828,0.1413,3.2698,0.2683,0.5102,0.1302,0.1116,25.4617,0.2471,0.5251,0.0000,0.1257,8.8045,3.9264,0.0935,0.0000,0.3466,0.2660,0.0327,4.5948,0.0310,0.4255,13.5077,0.0000,0.0327,0.0196,0.2186,0.0005,0.0000,0.9357,0.0072,0.8596,0.1168,5.3740,10.5847
B_185_HelmetC_3152019_18.qgd,0.0235,0.0000,0.0028,0.0000,0.0040,0.7587,0.0189,0.0027,0.0524,0.0205,0.7737,0.0145,0.1108,20.6425,0.0000,1.9874,0.0369,0.5498,0.0634,0.0077,0.6186,1.5580,0.0000,0.5601,0.0000,0.0825,0.0000,0.1511,0.0000,8.1366,0.6723,5.2735,4.1013,2.0772,0.1022,0.1862,26.2521,0.6885,0.4632,0.0000,0.3460,1.2246,0.8143,0.0288,0.0000,1.1480,0.2026,0.0580,4.3580,0.3070,0.5948,52.8300,0.0000,0.1987,0.0143,0.2774,0.0000,0.0266,1.0484,0.0142,0.3087,0.0497,4.1163,21.5329
B_186_HelmetC_3152019_19.qgd,0.0222,0.0000,0.0023,0.0000,0.0023,0.7852,0.0032,0.0003,0.0281,0.0072,0.5921,0.0019,0.0689,20.2587,0.0000,1.6617,0.0454,0.3744,0.0584,0.0087,0.2566,1.0379,0.0000,0.3008,0.0000,0.0597,0.0000,0.0880,0.0000,7.8849,0.5280,4.8435,4.2326,1.7519,0.0480,0.1412,23.4904,0.4180,0.3679,0.0000,0.2819,0.9657,0.8478,0.0304,0.0000,1.0474,0.1340,0.0480,3.5334,0.2695,0.4469,51.5236,0.0000,0.1915,0.0088,0.2521,0.0000,0.0140,1.0403,0.0114,0.1388,0.0670,3.1078,20.5325
B_198_HelmetC_3152019_25.qgd,0.0230,0.0000,0.0009,0.0000,0.0019,0.8333,0.0055,0.0009,0.0268,0.0060,0.3017,0.0024,0.0529,24.2846,0.0000,1.1639,0.0490,0.2695,0.0347,0.0048,0.1048,0.6972,0.0000,0.0730,0.0000,0.0942,0.0000,0.0475,0.0000,9.0557,0.4745,5.6776,3.6676,3.4144,0.0241,0.2726,31.9033,0.8714,0.4666,0.0000,0.3937,0.6383,0.6863,0.0262,0.0000,1.6813,0.2025,0.0523,6.3245,0.5609,0.6373,52.3185,0.0000,0.2061,0.0055,0.2313,0.0000,0.0064,0.9712,0.0165,0.1344,0.0355,3.4464,28.5295
B_201_HelmetC_3152019_26.qgd,0.0148,0.0000,0.0008,0.0000,0.0017,0.6542,0.0069,0.0000,0.0227,0.0060,0.5345,0.0016,0.0792,23.2941,0.0000,1.4128,0.0309,0.3328,0.0379,0.0059,0.1799,1.0267,0.0000,0.1473,0.0000,0.1192,0.0000,0.0354,0.0000,9.0310,0.4108,6.3182,4.4379,3.6649,0.0298,0.2206,29.7974,0.9864,0.5255,0.0000,0.4026,0.6768,0.8938,0.0273,0.0000,1.6368,0.2158,0.0508,7.9521,0.4397,0.6314,56.2880,0.0000,0.2330,0.0094,0.1608,0.0019,0.0083,0.8157,0.0177,0.1624,0.0338,3.5923,25.7909
B_202_HelmetC_3152019_27.qgd,0.0174,0.0000,0.0013,0.0000,0.0014,0.9234,0.0075,0.0000,0.0252,0.0070,0.4737,0.0073,0.0963,24.3233,0.0000,1.6165,0.0508,0.4752,0.0710,0.0085,0.2374,0.9622,0.0000,0.1680,0.0000,0.0923,0.0000,0.0052,0.0000,9.3378,0.5016,6.0002,3.5867,3.4054,0.0354,0.2772,26.7554,1.0285,0.6785,0.0000,0.4598,0.8332,0.9205,0.0257,0.0000,1.4521,0.2051,0.0485,7.8317,0.4896,0.6579,57.9186,0.0000,0.2653,0.0077,0.2518,0.0085,0.0350,1.2741,0.0178,0.2103,0.0394,3.3415,24.3780
B_195_DungC_3152019_22.qgd,0.0233,0.0000,0.0020,0.0000,0.0022,0.6491,0.0043,0.0010,0.0385,0.0164,0.7427,0.0115,0.1496,25.5275,0.0000,2.9613,0.1068,0.6360,0.0615,0.0048,0.3631,1.3276,0.0000,0.4532,0.0000,0.2320,0.0000,0.1174,0.0000,6.7490,0.8836,7.8796,3.4977,4.3467,0.0188,0.0960,23.2650,0.6712,0.5409,0.0000,0.2659,0.7385,0.5247,0.0322,0.0000,2.6608,0.1326,0.0453,4.1196,0.3837,0.4922,44.6907,0.0000,0.2052,0.0117,0.2294,0.0000,0.0326,0.5817,0.0153,0.5135,0.0634,5.2775,32.0610
B_197_DungC_3152019_23.qgd,0.0200,0.0000,0.0023,0.0000,0.0013,0.9342,0.0040,0.0017,0.0227,0.0087,0.7846,0.0011,0.1305,25.7225,0.0000,3.9086,0.0943,0.5849,0.1481,0.0081,0.3031,1.2554,0.0000,0.4046,0.0000,0.2055,0.0000,0.0065,0.0000,6.8171,0.7666,6.4055,3.5632,4.0446,0.0173,0.1357,25.2831,0.8722,0.5030,0.0000,0.2438,0.6119,0.5846,0.0208,0.0000,2.0258,0.1088,0.0440,3.4054,0.3181,0.3536,48.9092,0.0000,0.2025,0.0078,0.1975,0.0000,0.0269,1.1565,0.0146,0.4327,0.0453,5.2171,25.5916
B_204_DungC_3152019_29.qgd,0.0323,0.0000,0.0038,0.0000,0.0023,0.5178,0.0047,0.0000,0.0291,0.0118,0.7644,0.0078,0.1955,23.5392,0.0000,2.5847,0.0792,0.8815,0.0216,0.0680,0.4131,1.3648,0.0000,0.2771,0.0000,0.3028,0.0000,0.0082,0.0000,8.5699,1.2783,6.2014,4.0118,4.4967,0.0325,0.0903,26.5250,0.9948,0.2997,0.0000,0.3851,1.0034,0.8267,0.0318,0.0000,3.7406,0.2207,0.0538,4.8965,0.8858,0.5413,44.6487,0.0000,0.2417,0.0191,0.2033,0.0000,0.0422,0.6152,0.0167,1.0212,0.0532,8.1215,22.6770
B_205_DungC_3152019_30.qgd,0.0182,0.0000,0.0037,0.0000,0.0039,0.6013,0.0085,0.0000,0.0724,0.0391,1.6266,0.0069,0.3433,27.7726,0.0000,6.6388,0.1620,1.5859,0.1238,0.0110,0.9050,2.6025,0.0000,2.3741,0.0000,0.1095,0.0000,0.2904,0.0000,7.1172,0.7941,5.7546,4.6973,2.6209,0.0402,0.1267,26.8805,0.4505,0.2976,0.0000,0.2558,0.9940,0.7025,0.0347,0.0000,1.3581,0.1562,0.0419,5.3370,0.1889,0.4403,50.8922,0.0000,0.1300,0.0141,0.3515,0.0000,0.0277,1.2938,0.0097,0.7282,0.0947,7.9537,27.9087
