Sample,C12:0,C13:0,C14:0,C14:1w5,i-C15:0,C15:0,i-C16:0,C16:0,C16:1w9,C16:1w7,C16:1w5,i-C17:0,C16:2w6,a-C17:0,C16:3w3,C16:2w,C17:0,C17:1w9,C16:4w3,i-C18:0,C17:3w3,a-C18:0,C17:2w3,C18:0,C18:1w,C18:1w9,C18:1w7,C18:2w,C18:2w6,C18:3w6,C19:0,C19:1w11,C18:3w3,C18:4w3,C20:0,C20:1w9,C20:1w,C20:1w7,C20:2w,C20:2w6,C20:3w6,C21:0,C20:4w6,C20:3w3,C20:4w3,C20:5w3,C22:0,C22:1w9,C22:2w6,C22:4w3,C22:2w,C22:4w6,C22:3w3,C22:5w3,C24:0,C22:6w3
B_015_Dung_342019_11.qgd,0.03890,0.00520,0.66360,0.00420,0.05300,1.47230,0.40780,31.02400,0.00000,10.39200,0.24970,2.01650,0.01750,1.25740,0.19410,0.00000,2.01800,2.07850,0.00670,0.54410,0.00000,0.14760,0.00000,9.63180,0.78650,17.72320,10.09560,0.00000,4.39280,0.13800,31.42150,0.05410,0.87130,0.26820,0.35040,0.87280,0.00000,0.79680,0.09990,1.50820,0.13220,0.07230,6.57610,0.31300,0.27860,29.09420,0.82400,0.02600,0.01190,0.75550,0.03610,0.96570,0.11220,7.73950,0.00110,30.21570
B_018_Ido_342019_12.qgd,0.11120,0.00970,2.02300,0.00010,0.27850,0.58530,0.18900,30.44930,0.00000,9.19130,0.32770,0.36830,0.13810,0.23140,0.04980,0.00000,0.84120,0.16530,0.01570,0.00440,0.00000,0.00420,0.02440,15.34130,0.15980,13.30960,17.99760,0.00000,5.32890,0.73920,24.58620,0.03400,1.79050,0.89690,0.55050,2.79730,0.00000,1.85760,0.01850,2.93360,0.53000,0.08330,7.02640,2.85700,1.04550,21.13090,4.07770,0.36960,0.03350,0.33750,0.00050,0.05590,0.09700,1.49300,0.00040,10.57720
B_019_Ido_342019_13.qgd,0.23760,0.01810,3.17560,0.00820,0.35360,0.59940,0.17480,27.54110,0.00000,15.08900,0.43750,0.30510,0.23490,0.20120,0.09590,0.00000,0.36240,0.29430,0.06170,0.00550,0.00000,0.00350,0.07930,11.13120,0.13140,17.61400,10.83810,0.00000,6.09000,1.19650,24.05900,0.03930,2.87010,2.48650,0.44480,1.14570,0.00000,0.35650,0.02380,1.10410,0.66870,0.07990,7.07190,0.71840,1.30480,22.65650,4.00770,0.50510,1.50150,0.43640,0.00140,0.09710,0.13110,1.91360,0.00010,11.11270
B_020_Ido_342019_14.qgd,0.13840,0.01110,2.31090,0.00000,0.22570,0.49850,0.13170,23.81540,0.00000,14.45750,0.31160,0.21870,0.24340,0.13460,0.04860,0.00000,0.26680,0.19240,0.05140,0.00620,0.00000,0.00010,0.08150,8.79920,0.08330,14.55860,8.60610,0.00000,5.26730,1.32900,21.68650,0.02900,1.53560,2.25490,0.39490,0.87040,0.00000,0.16270,0.00000,1.03240,0.42080,0.07110,7.03860,0.53750,0.75960,20.68040,3.99930,0.38700,0.00280,0.29850,0.00000,0.09560,0.09960,1.31980,0.00040,8.53660
B_040_EG_342019_15.qgd,0.13740,0.00500,0.46790,0.00030,0.00010,0.08350,0.03070,27.50000,0.00000,3.60810,0.00030,0.00010,0.82550,0.00000,13.98400,0.00000,0.18820,1.99320,0.01300,0.00000,0.00000,0.00000,0.01300,2.93900,0.00000,2.24860,0.66340,0.00000,21.33870,0.01000,24.64380,0.00020,67.45240,0.04340,2.67820,0.17780,0.00000,0.00000,0.00000,0.14860,0.00010,0.52170,0.02900,0.22490,0.00040,0.11480,15.04790,0.23150,0.00020,0.00010,0.00030,0.00010,0.00000,0.00060,1.96070,-0.00030
B_042_Ido_342019_16.qgd,0.10020,0.00520,0.52560,0.00020,0.06990,0.33210,0.09650,18.04990,0.00000,4.22540,0.12610,0.16810,0.02570,0.13330,0.03710,0.00000,0.27690,0.19220,0.01110,0.00720,0.00000,0.00180,0.02570,9.98530,0.00000,14.79660,7.69440,0.00000,4.90190,0.30240,25.12910,0.00050,2.83770,0.81220,0.54340,0.97970,0.00000,0.11570,0.00000,1.48060,0.29270,0.10780,7.57980,0.99080,0.68930,18.97060,5.79670,0.38780,0.00410,0.23800,0.00510,0.08090,0.07860,1.60350,0.00020,9.15540
B_048_ButterC_342019_18.qgd,0.01280,0.00340,1.16760,0.00010,0.11260,0.92570,1.04040,34.11000,0.00000,4.86310,0.36290,4.44420,0.04660,1.72660,0.01340,0.00000,2.03300,0.07860,-0.00100,0.14720,0.00000,0.03890,0.00000,15.42600,0.37850,4.65260,3.13220,0.00000,0.97160,0.22920,26.59970,0.05640,0.36100,0.77340,0.15140,5.14320,0.00000,7.70060,0.38730,1.04670,0.23500,0.04510,6.01310,0.07520,0.70400,9.84350,0.22650,14.57400,0.03230,1.28570,1.35090,5.96610,0.33580,15.78520,0.00050,45.39510
B_063_EG_342019_7.qgd,0.14470,0.00690,0.73300,0.00010,0.00010,0.31550,0.03280,36.29610,0.00000,3.08730,0.00010,0.00000,0.96730,0.00010,15.16410,0.00000,0.29490,2.21100,0.03010,0.00000,0.00000,0.00000,0.00710,6.31320,0.00000,2.87200,1.11200,0.00000,35.91170,0.02760,28.87550,0.00040,76.94610,0.43570,2.99390,0.20070,0.00000,0.00000,0.00000,0.20370,0.01850,0.69740,0.16460,0.30010,0.02050,0.35460,18.40150,0.00030,0.00000,0.00010,0.00010,-0.00010,0.00000,0.00070,2.53610,0.00050
B_064_EG_342019_9.qgd,0.09040,0.00560,0.64090,-0.00020,0.00020,0.15230,0.03140,31.97140,0.00000,3.33570,-0.00010,0.00000,0.68050,0.00000,13.22140,0.00000,0.19570,1.91140,0.01790,0.00000,0.00000,0.00000,0.01960,5.02480,0.00000,2.22750,0.82300,0.00000,25.78680,0.03020,26.77010,0.00060,71.27200,0.24170,2.89460,0.15940,0.00000,0.00000,0.00000,0.19250,0.01020,0.65210,0.12610,0.29610,0.01470,0.24500,17.76320,0.00010,0.00040,0.00000,0.00010,-0.00010,0.00020,0.01810,2.25530,0.00000
B_066_Fucus_342019_8.qgd,0.32330,0.05270,44.92910,0.77180,0.00000,1.85050,0.01830,79.14430,0.00000,8.71880,0.55390,0.00000,0.27380,0.00000,0.12970,0.00000,0.90140,1.15210,0.16140,0.00000,0.00000,0.00000,0.76390,6.51470,0.00000,136.69970,0.38120,0.10340,107.79760,3.22180,21.22120,0.37690,24.12950,11.11040,2.97180,1.76190,0.00000,0.00000,0.00000,0.63730,5.05670,0.05260,26.96840,0.33160,1.97560,10.00530,2.37410,0.07520,0.00010,0.00000,0.00000,0.01960,0.00000,0.02430,0.36160,0.00000
B_067_Fucus_342019_19.qgd,0.36290,0.05990,48.16170,0.95120,0.00000,1.98050,0.01840,83.24830,0.00000,10.50030,0.52870,0.00000,0.36720,0.00000,0.14380,0.00000,0.94860,1.23400,0.18410,0.00000,0.00000,0.00000,0.93390,6.62860,0.00000,144.75660,0.37040,0.12440,111.86560,3.94270,19.53750,0.34950,23.59480,9.71210,2.94160,1.88300,0.00000,0.00000,0.00000,0.54020,5.56650,0.04950,27.43060,0.26260,1.87840,8.94340,2.40720,0.21190,0.00650,0.00000,0.00000,0.00960,0.00010,0.02980,0.31190,0.00020
B_069_Ulva_342019_20.qgd,0.06010,0.02020,2.75380,0.00020,0.09590,0.34920,0.02970,45.96420,0.00000,4.35440,0.13430,0.00000,1.69870,0.00010,8.43400,0.00000,0.06650,1.36750,21.50740,0.00000,0.00000,0.00000,0.33760,2.17030,0.00000,6.33340,20.15410,0.00000,23.64820,0.68410,23.69840,0.00040,42.67700,20.75450,0.09550,0.22480,0.00000,10.99910,0.00000,1.13370,0.09550,0.03870,0.52130,0.89860,0.59770,2.14960,2.27970,0.05380,0.08730,0.00000,-0.00010,0.40250,0.02500,17.05540,0.31260,0.00020
B_070_Ulva_342019_21.qgd,0.06730,0.02200,2.67730,0.00010,0.09320,0.38360,0.03130,59.03210,0.00000,4.05380,0.15600,0.00000,4.40090,0.00000,13.59840,0.00000,0.07790,1.90430,26.62060,0.00000,0.00000,0.00000,1.37540,1.98100,0.00000,10.90130,28.56420,0.00000,35.72940,1.04370,26.42790,0.00000,50.65050,25.18610,0.10130,0.40340,0.00000,16.01220,0.00000,1.75730,0.12130,0.03940,0.53540,1.02730,0.93580,2.19710,2.43560,0.00520,0.11610,0.00000,0.00020,0.54490,0.02710,20.68940,0.37810,0.00020
B_079_Ido_342019_22.qgd,0.24710,0.01640,2.30740,0.00060,0.16620,0.38700,0.09230,20.70590,0.00000,5.51430,0.18620,0.14600,0.10250,0.10180,0.05130,0.00000,0.22620,0.09060,0.07810,0.00300,0.00000,0.00110,0.02140,8.95840,0.09220,15.58420,7.02320,0.00000,6.11930,0.51910,22.99440,0.00100,2.60320,2.29660,0.41640,0.90220,0.00000,0.00000,0.00000,1.10120,0.43420,0.07880,7.22870,0.87550,1.18610,18.03690,4.50460,0.10460,0.57170,0.25160,0.00000,0.07550,0.04290,1.23260,0.50970,8.26670
Blank_2-28_064__342019_10.qgd,0.01180,0.00060,0.02980,0.00000,0.00000,0.00000,0.00000,0.26590,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00180,0.00000,0.00760,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.22910,0.00000,0.45250,0.00000,0.00000,0.19000,0.68050,24.72660,0.00020,0.03330,0.00000,0.01590,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00070,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00290,0.00300,0.00000,0.00000,0.00000,0.00000,0.00000
Blank_3-1_342019_23.qgd,0.01360,0.00060,0.02070,0.00900,0.00210,0.00370,0.00000,0.28970,0.00000,0.00000,0.00000,0.00150,0.00000,0.00150,0.00000,0.00000,0.00800,0.00000,0.00100,0.00000,0.00000,0.00000,0.00000,0.28750,0.00000,0.44290,0.00040,0.00000,0.19360,0.00000,21.53310,0.00090,0.02000,0.00000,0.01480,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02640,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00110,0.00110,0.00000,0.00060,0.00000,0.00000,0.00000
