site,longitude,latitude,replicate,date_MM/DD/YY,waypoint_name,so_count
Garcia Cove,-133.447556,55.56382,1,05/23/18,WP0019,1
Garcia Cove,-133.446381,55.564392,1,05/23/18,WP0020,1
Garcia Cove,-133.451477,55.565678,1,05/23/18,WP0021,23
Garcia Cove,-133.448288,55.569313,1,05/23/18,WP0022,1
Garcia Cove,-133.457382,55.56546,1,05/23/18,WP0023,2
Garcia Cove,-133.456207,55.558716,1,05/23/18,WP0024,1
Garcia Cove,-133.457825,55.557762,1,05/23/18,WP0025,2
Garcia Cove,-133.460007,55.558914,1,05/23/18,WP0026,1
Garcia Cove,-133.460037,55.552109,1,05/23/18,WP0027,1
Garcia Cove,-133.457657,55.553585,1,05/23/18,WP0028,1
Garcia Cove,-133.457825,55.550152,1,05/23/18,WP0029,2
Garcia Cove,-133.454926,55.545158,1,05/23/18,WP0030,16
Garcia Cove,-133.451538,55.546383,1,05/23/18,WP0031,2
Garcia Cove,-133.449249,55.550697,1,05/23/18,WP0032,1
Garcia Cove,-133.468246,55.565861,1,05/23/18,WP0033,1
Goat Mouth Inlet,-132.874207,55.168964,1,6/12/18,WP0035,1
Goat Mouth Inlet,-132.962601,55.172592,1,6/12/18,WP0036,2
Goat Mouth Inlet,-132.965973,55.174992,1,6/12/18,WP0037,15
Goat Mouth Inlet,-132.964783,55.177486,1,6/12/18,WP0038,15
Goat Mouth Inlet,-132.951157,55.200565,1,6/12/18,WP0039,1
Guktu Cove,-133.327209,55.761986,1,6/6/18,WP0002,2
Guktu Cove,-133.323639,55.764294,1,6/6/18,WP0003,1
Guktu Cove,-133.326904,55.768661,1,6/6/18,WP0004,1
Guktu Cove,-133.320877,55.765911,1,6/6/18,WP0005,1
Guktu Cove,-133.312042,55.770447,1,6/6/18,WP0006,1
Guktu Cove,-133.307114,55.760326,1,6/6/18,WP0007,1
Guktu Cove,-133.311768,55.767998,1,6/6/18,WP0008,1
Guktu Cove,-133.309067,55.769699,1,6/6/18,WP0009,1
Guktu Cove,-133.300461,55.767597,1,6/6/18,WP0010,1
Guktu Cove,-133.299179,55.767147,1,6/6/18,WP0011,3
Guktu Cove,-133.300644,55.764339,1,6/6/18,WP0012,1
Guktu Cove,-133.303635,55.762115,1,6/6/18,WP0013,2
Guktu Cove,-133.308655,55.758949,1,6/6/18,WP0014,1
Guktu Cove,-133.308044,55.758083,1,6/6/18,WP0015,1
