site,latitude,longitude
2017_H_03,55.80692,-133.171
2017_H_03,55.80692,-133.171
2017_H_03,55.80692,-133.171
2017_H_03,55.80692,-133.171
2017_H_03,55.80692,-133.171
2017_H_03,55.80692,-133.171
2017_H_03,55.80692,-133.171
2017_H_03,55.80692,-133.171
2017_H_03,55.80692,-133.171
2017_H_03,55.80692,-133.171
2017_H_03,55.80692,-133.171
2017_H_03,55.80692,-133.171
2017_H_03,55.80692,-133.171
2017_H_03,55.80692,-133.171
2017_H_03,55.80692,-133.171
2017_H_03,55.80692,-133.171
2017_H_03,55.80692,-133.171
2017_H_03,55.80692,-133.171
2017_H_03,55.80692,-133.171
2017_H_03,55.80692,-133.171
