"","site_code","site_name","latitude","longitude","date_MMDDYYYY","date_YYYYMMDD","time_24hr","depth_m","temperature_c","salinity_ppt","DO_mg.L","light_umol_water","light_umol_air","nox_umol","nh4_umol","po4_umol"
"26","2017_H_07","Blanquizal Point",55.62082,-133.38664,"8/14/2017",20170814,"09:40",4,13.3,30.7,8.55,NA,NA,0.25,1.264,0.387
"27","2017_H_07","Blanquizal Point",55.62082,-133.38664,"8/20/2017",20170820,"08:30",1,12.9,30.6,8.22,42.6,131.2,NA,NA,NA
"28","2017_H_07","Blanquizal Point",55.62082,-133.38664,"8/20/2017",20170820,"08:30",0,12.9,30.7,8.24,98.2,131.2,2.013,2.076,0.669
"29","2017_L_01","Soda Bay",55.26366,-132.995,"4/30/2017",20170430,"13:00",1,10,30,10.9,460,785,NA,NA,NA
"30","2017_L_01","Soda Bay",55.26366,-132.995,"4/30/2017",20170430,"13:00",0,10,15,12.7,605,785,0.8,2.246,0.352
"31","2017_L_01","Soda Bay",55.26366,-132.995,"8/14/2017",20170814,"11:20",1,14.3,24,NA,NA,NA,0.214,1.581,0.169
"32","2017_L_01","Soda Bay",55.26366,-132.995,"8/14/2017",20170814,"11:17",4,13.7,32,NA,NA,NA,0.711,2.786,0.452
"33","2017_L_02","Goats mouth inlet",55.19286,-132.9,"5/27/2017",20170527,"11:00",1,11.1,30.7,10.14,1166.5,2100,NA,NA,NA
"34","2017_L_02","Goats mouth inlet",55.19286,-132.9,"5/27/2017",20170527,"11:00",0,11.3,30.6,9.88,1647.3,2100,1.753,2.626,0.562
"35","2017_L_02","Goats mouth inlet",55.19286,-132.9,"8/14/2017",20170814,"09:38",1,14.1,28,NA,NA,NA,0.888,8.696,0.831
"36","2017_L_02","Goats mouth inlet",55.19286,-132.9,"8/14/2017",20170814,"09:33",4,13.7,32,NA,NA,NA,0.415,1.501,0.412
"37","2017_L_03","North Pass",55.22962,-132.925,"5/26/2017",20170526,"10:00",1,9.9,30,9.87,1082.9,2181,NA,NA,NA
"38","2017_L_03","North Pass",55.22962,-132.925,"5/26/2017",20170526,"10:00",0,10.3,30,9.74,1680.4,2181,2.793,2.361,0.683
"39","2017_L_03","North Pass",55.22962,-132.925,"8/14/2017",20170814,"07:21",1,13,30,NA,NA,NA,0.557,2.49,0.492
"40","2017_L_03","North Pass",55.22962,-132.925,"8/14/2017",20170814,"07:15",4,12.8,31,NA,NA,NA,0.744,1.436,0.537
"41","2017_L_04","Natzuhini Bay",55.25051,-132.883,"6/28/2017",20170628,"12:30",1,12.5,29.8,9.43,524.4,1204.2,NA,NA,NA
"42","2017_L_04","Natzuhini Bay",55.25051,-132.883,"6/28/2017",20170628,"12:30",0,12.7,29.8,9.57,631.5,1204.2,0.798,2.351,0.607
"43","2017_L_04","Natzuhini Bay",55.25051,-132.883,"8/14/2017",20170814,"07:46",1,13.4,27,NA,NA,NA,0.349,2.196,0.338
"44","2017_L_04","Natzuhini Bay",55.25051,-132.883,"8/14/2017",20170814,"07:41",4,12.7,31,NA,NA,NA,0.331,1.676,0.591
"45","2017_L_05","Dunbar Inlet",55.0848,-132.826,"6/27/2017",20170627,"12:00",1,13.1,30.1,9.8,900.8,2583,NA,NA,NA
"46","2017_L_05","Dunbar Inlet",55.0848,-132.826,"6/27/2017",20170627,"12:00",0,13.6,30.1,9.97,1976.2,2583,0.015,1.526,0.333
"47","2017_L_05","Dunbar Inlet",55.0848,-132.826,"8/14/2017",20170814,"10:13",1,14,21,NA,NA,NA,0.254,1.611,0.303
"48","2017_L_05","Dunbar Inlet",55.0848,-132.826,"8/14/2017",20170814,"10:08",4,13.7,31,NA,NA,NA,0.512,1.501,0.343
"49","2017_L_06","Farallon Bay",55.19112,-133.105314,"7/23/2017",20170723,"09:40",1,12.4,28.7,6.52,118.2,612.5,NA,NA,NA
"50","2017_L_06","Farallon Bay",55.19112,-133.105314,"7/23/2017",20170723,"09:40",0,13.1,8.6,9.91,401.3,612.5,1.803,0.991,0.295
"51","2017_L_06","Farallon Bay",55.19112,-133.105314,"8/14/2017",20170814,"10:53",1,12.9,29,NA,NA,NA,2.433,3.111,0.556
"52","2017_L_06","Farallon Bay",55.19112,-133.105314,"8/14/2017",20170814,"10:44",4,12.2,32,NA,NA,NA,2.238,2.621,0.72
"53","2017_L_07","Hetta Cove",55.155625,-132.589934,"7/22/2017",20170722,"08:30",1,13.4,29.3,8.61,39.8,235.6,NA,NA,NA
"54","2017_L_07","Hetta Cove",55.155625,-132.589934,"7/22/2017",20170722,"08:30",0,12.8,3.8,10.9,85.5,235.6,0.388,1.371,0.533
"55","2017_L_07","Hetta Cove",55.155625,-132.589934,"8/14/2017",20170814,"08:35",1,13.4,19,NA,NA,NA,1.004,0.46,0.196
"56","2017_L_07","Hetta Cove",55.155625,-132.589934,"8/14/2017",20170814,"08:32",4,13.6,31,NA,NA,NA,0.613,2.598,0.366
"57","2017_M_02","North Fish Egg Island",55.49709,-133.17,"5/24/2017",20170524,"07:30",1,10,24.3,9.86,328.9,1091.6,NA,NA,NA
"58","2017_M_02","North Fish Egg Island",55.49709,-133.17,"5/24/2017",20170524,"07:30",0,10.1,24.1,9.88,1020.9,1091.6,0.233,1.184,0.275
"59","2017_M_02","North Fish Egg Island",55.49709,-133.17,"8/14/2017",20170814,"14:23",1,14,31,NA,NA,NA,0.082,1.154,0.297
"60","2017_M_02","North Fish Egg Island",55.49709,-133.17,"8/14/2017",20170814,"14:19",4,13.8,32,NA,NA,NA,0.169,1.646,0.363
"61","2017_M_03","South Fish Egg Island",55.48442,-133.175,"5/25/2017",20170525,"09:20",1,10.7,30.3,10.44,290.7,874,NA,NA,NA
"62","2017_M_03","South Fish Egg Island",55.48442,-133.175,"5/25/2017",20170525,"09:20",0,10.7,30.3,10.35,609.6,874,0.51,1.731,0.462
"63","2017_M_03","South Fish Egg Island",55.48442,-133.175,"8/14/2017",20170814,"13:31",1,14.7,31,NA,NA,NA,0,1.176,0.315
"64","2017_M_03","South Fish Egg Island",55.48442,-133.175,"8/14/2017",20170814,"13:27",4,14.7,31,NA,NA,NA,0,0.901,0.203
"65","2017_M_04","South Wadleigh Island",55.52904,-133.147,"6/22/2017",20170622,"08:55",1,12.4,29.7,9.19,205.6,690.5,NA,NA,NA
"66","2017_M_04","South Wadleigh Island",55.52904,-133.147,"6/22/2017",20170622,"08:55",0,12.5,29.1,9.12,318.1,690.5,0.424,1.301,0.364
"67","2017_M_04","South Wadleigh Island",55.52904,-133.147,"8/14/2017",20170814,"13:55",1,14,31,NA,NA,NA,0,1.406,0.532
"68","2017_M_04","South Wadleigh Island",55.52904,-133.147,"8/14/2017",20170814,"13:52",4,13.9,32,NA,NA,NA,0,0.798,0.377
"69","2017_M_05","Shinaku Inlet",55.59929,-133.16,"6/23/2017",20170623,"10:00",1,13.5,28,9.82,523.2,2057,NA,NA,NA
"70","2017_M_05","Shinaku Inlet",55.59929,-133.16,"6/23/2017",20170623,"10:00",0,14.7,27.2,9.53,1420.5,2057,0.798,1.766,0.53
"71","2017_M_05","Shinaku Inlet",55.59929,-133.16,"8/14/2017",20170814,"16:19",1,14,29,NA,NA,NA,0.935,3.341,0.625
"72","2017_M_05","Shinaku Inlet",55.59929,-133.16,"8/14/2017",20170814,"16:16",4,14.6,31,NA,NA,NA,0.416,1.751,0.512
"73","2017_M_06","Trocadero Bay",55.344914,-133.0011,"8/21/2017",20170814,"12:54",1,12.6,32,NA,NA,NA,0.722,2.446,0.463
"74","2017_M_06","Trocadero Bay",55.344914,-133.0011,"8/14/2017",20170814,"12:52",4,13.6,31,NA,NA,NA,1.36,2.341,0.571
"75","2017_M_06","Trocadero Bay",55.344914,-133.0011,"8/14/2017",20170821,"09:45",1,12.4,31.1,8.11,38.8,69.5,NA,NA,NA
"76","2017_M_06","Trocadero Bay",55.344914,-133.0011,"8/14/2017",20170821,"09:45",0,12.5,28.5,8.48,52.3,69.5,2.068,2.836,0.622
"77","2017_M_07","Garcia Bay",55.552669,-133.431392,"7/26/2017",20170726,"12:00",1,12.6,31.5,9.1,251.7,692.6,NA,NA,NA
