site_name,site_code,latitude_N,longitude_E,so_region,year,date_mm.dd.yyyy,date_yyyy.mm.dd,trans_loc,bin_no,bin_area_m2,pit_count_bin,sed1_type,sed2_type,sed1_no,sed2_no,field_collector,notes
Nossuk Bay a,H_02_a,55.7073,-133.342,High,2017,8/21/2013,20170822,Outside,6,20,1,Muddy Sand,Coarse Sand,3,5,"Ashley Bolwerk, Nicole LaRoche",
Nossuk Bay a,H_02_a,55.7073,-133.342,High,2017,8/21/2013,20170822,Outside,7,20,1,Muddy Sand,Sand,3,4,"Ashley Bolwerk, Nicole LaRoche",
Nossuk Bay a,H_02_a,55.7073,-133.342,High,2017,8/21/2013,20170822,Outside,8,20,0,Coarse Sand,Sand,5,4,"Ashley Bolwerk, Nicole LaRoche",
Nossuk Bay a,H_02_a,55.7073,-133.342,High,2017,8/21/2013,20170822,Outside,9,20,0,Muddy Sand,Coarse Sand,3,5,"Ashley Bolwerk, Nicole LaRoche",
Nossuk Bay a,H_02_a,55.7073,-133.342,High,2017,8/21/2013,20170822,Outside,10,20,1,Muddy Sand,Coarse Sand,3,5,"Ashley Bolwerk, Nicole LaRoche",
Chusini Cove a,H_03_a,55.80692,-133.171,High,2017,8/20/2013,20170821,Edge,1,20,1,Mud,Mud,1,1,"Ashley Bolwerk, Nicole LaRoche",
Chusini Cove a,H_03_a,55.80692,-133.171,High,2017,8/20/2013,20170821,Edge,2,20,0,Mud,Mud,1,1,"Ashley Bolwerk, Nicole LaRoche",
Chusini Cove a,H_03_a,55.80692,-133.171,High,2017,8/20/2013,20170821,Edge,3,20,1,Mud,Mud,1,1,"Ashley Bolwerk, Nicole LaRoche",
Chusini Cove a,H_03_a,55.80692,-133.171,High,2017,8/20/2013,20170821,Edge,4,20,1,Mud,Mud,1,1,"Ashley Bolwerk, Nicole LaRoche",
Chusini Cove a,H_03_a,55.80692,-133.171,High,2017,8/20/2013,20170821,Edge,5,20,0,Mud,Mud,1,1,"Ashley Bolwerk, Nicole LaRoche",
Chusini Cove a,H_03_a,55.80692,-133.171,High,2017,8/20/2013,20170821,Edge,6,20,0,Mud,Mud,1,1,"Ashley Bolwerk, Nicole LaRoche",
Chusini Cove a,H_03_a,55.80692,-133.171,High,2017,8/20/2013,20170821,Edge,7,20,0,Mud,Mud,1,1,"Ashley Bolwerk, Nicole LaRoche",
Chusini Cove a,H_03_a,55.80692,-133.171,High,2017,8/20/2013,20170821,Edge,8,20,0,Mud,Mud,1,1,"Ashley Bolwerk, Nicole LaRoche",
Chusini Cove a,H_03_a,55.80692,-133.171,High,2017,8/20/2013,20170821,Edge,9,20,0,Mud,Mud,1,1,"Ashley Bolwerk, Nicole LaRoche",
Chusini Cove a,H_03_a,55.80692,-133.171,High,2017,8/20/2013,20170821,Edge,10,20,0,Mud,Mud,1,1,"Ashley Bolwerk, Nicole LaRoche",
Chusini Cove a,H_03_a,55.80692,-133.171,High,2017,8/20/2013,20170821,Inside,1,20,0,Mud,Mud,1,1,"Ashley Bolwerk, Nicole LaRoche",
Chusini Cove a,H_03_a,55.80692,-133.171,High,2017,8/20/2013,20170821,Inside,2,20,0,Mud,Mud,1,1,"Ashley Bolwerk, Nicole LaRoche",
Chusini Cove a,H_03_a,55.80692,-133.171,High,2017,8/20/2013,20170821,Inside,3,20,0,Mud,Mud,1,1,"Ashley Bolwerk, Nicole LaRoche",
Chusini Cove a,H_03_a,55.80692,-133.171,High,2017,8/20/2013,20170821,Inside,4,20,0,Mud,Mud,1,1,"Ashley Bolwerk, Nicole LaRoche",
Chusini Cove a,H_03_a,55.80692,-133.171,High,2017,8/20/2013,20170821,Inside,5,20,0,Mud,Mud,1,1,"Ashley Bolwerk, Nicole LaRoche",
Chusini Cove a,H_03_a,55.80692,-133.171,High,2017,8/20/2013,20170821,Inside,6,20,0,Mud,Mud,1,1,"Ashley Bolwerk, Nicole LaRoche",
Chusini Cove a,H_03_a,55.80692,-133.171,High,2017,8/20/2013,20170821,Inside,7,20,0,Mud,Mud,1,1,"Ashley Bolwerk, Nicole LaRoche",
Chusini Cove a,H_03_a,55.80692,-133.171,High,2017,8/20/2013,20170821,Inside,8,20,0,Mud,Mud,1,1,"Ashley Bolwerk, Nicole LaRoche",
Chusini Cove a,H_03_a,55.80692,-133.171,High,2017,8/20/2013,20170821,Inside,9,20,0,Mud,Mud,1,1,"Ashley Bolwerk, Nicole LaRoche",
Chusini Cove a,H_03_a,55.80692,-133.171,High,2017,8/20/2013,20170821,Inside,10,20,0,Mud,Mud,1,1,"Ashley Bolwerk, Nicole LaRoche",
Chusini Cove a,H_03_a,55.80692,-133.171,High,2017,8/20/2013,20170821,Outside,1,20,0,Gravel,Mud,7,1,"Ashley Bolwerk, Nicole LaRoche",
Chusini Cove a,H_03_a,55.80692,-133.171,High,2017,8/20/2013,20170821,Outside,2,20,0,Gravel,Mud,7,1,"Ashley Bolwerk, Nicole LaRoche",
Chusini Cove a,H_03_a,55.80692,-133.171,High,2017,8/20/2013,20170821,Outside,3,20,0,Gravel,Mud,7,1,"Ashley Bolwerk, Nicole LaRoche",
Chusini Cove a,H_03_a,55.80692,-133.171,High,2017,8/20/2013,20170821,Outside,4,20,0,Gravel,Mud,7,1,"Ashley Bolwerk, Nicole LaRoche",
Chusini Cove a,H_03_a,55.80692,-133.171,High,2017,8/20/2013,20170821,Outside,5,20,0,Gravel,Mud,7,1,"Ashley Bolwerk, Nicole LaRoche",
Chusini Cove a,H_03_a,55.80692,-133.171,High,2017,8/20/2013,20170821,Outside,6,20,0,Gravel,Mud,7,1,"Ashley Bolwerk, Nicole LaRoche",
Chusini Cove a,H_03_a,55.80692,-133.171,High,2017,8/20/2013,20170821,Outside,7,20,0,Gravel,Mud,7,1,"Ashley Bolwerk, Nicole LaRoche",
Chusini Cove a,H_03_a,55.80692,-133.171,High,2017,8/20/2013,20170821,Outside,8,20,0,Mud,Mud,1,1,"Ashley Bolwerk, Nicole LaRoche",
Chusini Cove a,H_03_a,55.80692,-133.171,High,2017,8/20/2013,20170821,Outside,9,20,0,Gravel,Mud,7,1,"Ashley Bolwerk, Nicole LaRoche",
Chusini Cove a,H_03_a,55.80692,-133.171,High,2017,8/20/2013,20170821,Outside,10,20,0,Gravel,Mud,7,1,"Ashley Bolwerk, Nicole LaRoche",
Kaguk Cove a,H_04_a,55.73361,-133.29,High,2017,7/7/13,20170707,Edge,1,20,0,Sandy mud,Mud,2,1,Tiff Stephens,
Kaguk Cove a,H_04_a,55.73361,-133.29,High,2017,7/7/13,20170707,Edge,2,20,0,Sandy mud,Mud,2,1,Tiff Stephens,
Kaguk Cove a,H_04_a,55.73361,-133.29,High,2017,7/7/13,20170707,Edge,3,20,6,Sand,Pebble,4,6,Tiff Stephens,
Kaguk Cove a,H_04_a,55.73361,-133.29,High,2017,7/7/13,20170707,Edge,4,20,9,Sandy mud,Sand,2,4,Tiff Stephens,
Kaguk Cove a,H_04_a,55.73361,-133.29,High,2017,7/7/13,20170707,Edge,5,20,0,Sandy mud,Muddy sand,2,3,Tiff Stephens,
Kaguk Cove a,H_04_a,55.73361,-133.29,High,2017,7/7/13,20170707,Edge,6,20,1,Sandy mud,Cobble,2,8,Tiff Stephens,
Kaguk Cove a,H_04_a,55.73361,-133.29,High,2017,7/7/13,20170707,Edge,7,20,1,Sandy mud,Cobble,2,8,Tiff Stephens,
Kaguk Cove a,H_04_a,55.73361,-133.29,High,2017,7/7/13,20170707,Edge,8,20,2,Sandy mud,Sandy mud,2,2,Tiff Stephens,
Kaguk Cove a,H_04_a,55.73361,-133.29,High,2017,7/7/13,20170707,Edge,9,20,4,Sandy mud,Sandy mud,2,2,Tiff Stephens,
Kaguk Cove a,H_04_a,55.73361,-133.29,High,2017,7/7/13,20170707,Edge,10,20,2,Sandy mud,Sandy mud,2,2,Tiff Stephens,
Kaguk Cove a,H_04_a,55.73361,-133.29,High,2017,7/7/13,20170707,Inside,1,20,0,Sandy mud,Sandy mud,2,2,Tiff Stephens,
Kaguk Cove a,H_04_a,55.73361,-133.29,High,2017,7/7/13,20170707,Inside,2,20,0,Sandy mud,Sandy mud,2,2,Tiff Stephens,
Kaguk Cove a,H_04_a,55.73361,-133.29,High,2017,7/7/13,20170707,Inside,3,20,1,Mud,Mud,1,1,Tiff Stephens,
Kaguk Cove a,H_04_a,55.73361,-133.29,High,2017,7/7/13,20170707,Inside,4,20,1,Mud,Mud,1,1,Tiff Stephens,
Kaguk Cove a,H_04_a,55.73361,-133.29,High,2017,7/7/13,20170707,Inside,5,20,0,Mud,Mud,1,1,Tiff Stephens,
Kaguk Cove a,H_04_a,55.73361,-133.29,High,2017,7/7/13,20170707,Inside,6,20,0,Mud,Mud,1,1,Tiff Stephens,
Kaguk Cove a,H_04_a,55.73361,-133.29,High,2017,7/7/13,20170707,Inside,7,20,0,Mud,Mud,1,1,Tiff Stephens,
Kaguk Cove a,H_04_a,55.73361,-133.29,High,2017,7/7/13,20170707,Inside,8,20,0,Mud,Mud,1,1,Tiff Stephens,
Kaguk Cove a,H_04_a,55.73361,-133.29,High,2017,7/7/13,20170707,Inside,9,20,0,Mud,Mud,1,1,Tiff Stephens,
Kaguk Cove a,H_04_a,55.73361,-133.29,High,2017,7/7/13,20170707,Inside,10,20,0,Mud,Mud,1,1,Tiff Stephens,
Kaguk Cove a,H_04_a,55.73361,-133.29,High,2017,7/7/13,20170707,Outside,1,20,0,Mud,Sandy mud,1,2,Tiff Stephens,
Kaguk Cove a,H_04_a,55.73361,-133.29,High,2017,7/7/13,20170707,Outside,2,20,0,Mud,Sandy mud,1,2,Tiff Stephens,
Kaguk Cove a,H_04_a,55.73361,-133.29,High,2017,7/7/13,20170707,Outside,3,20,8,Sand,Sand,4,4,Tiff Stephens,
Kaguk Cove a,H_04_a,55.73361,-133.29,High,2017,7/7/13,20170707,Outside,4,20,9,Sand,Pebble,4,6,Tiff Stephens,
Kaguk Cove a,H_04_a,55.73361,-133.29,High,2017,7/7/13,20170707,Outside,5,20,3,Sand,Pebble,4,6,Tiff Stephens,
